SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Additional Reputational Factors,10.0,9.88982402448355,0.5121693852067031,10,5
ZMB,Zambia,Zambia,Additional Reputational Factors,8.0,8.155252094576463,0.617692434930749,10,6
YEM,Yemen,Yemen,Additional Reputational Factors,9.0,8.78407931185304,0.9958768178202133,10,1
VNM,Vietnam,Vietnam,Additional Reputational Factors,6.0,6.461054860697505,0.9014297860382346,10,1
VEN,Venezuela,Venezuela,Additional Reputational Factors,7.0,7.201226710465534,0.7299683588612988,10,5
VAT,Vatican,Vatican,Additional Reputational Factors,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Additional Reputational Factors,5.0,4.73062015503876,0.8277598909787512,5,1
UZB,Uzbekistan,Uzbekistan,Additional Reputational Factors,6.0,6.0882841711674285,0.47877232456892177,9,6
URY,Uruguay,Uruguay,Additional Reputational Factors,3.0,3.704062262718299,1.3503306119240608,10,3
FSM,Federated States of Micronesia,Federated States of Micronesia,Additional Reputational Factors,7.0,6.730769230769231,1.429300321235542,9,1
MHL,Marshall Islands,Marshall Islands,Additional Reputational Factors,9.0,9.25,0.4330127018922193,10,9
US1,United States of America,United States of America,Additional Reputational Factors,5.0,5.2821615047495225,1.1483443595105427,10,1
GB1,United Kingdom,Jersey,Additional Reputational Factors,10.0,10.0,0.0,10,10
GB1,United Kingdom,Guernsey,Additional Reputational Factors,10.0,10.0,0.0,10,10
GB1,United Kingdom,Isle of Man,Additional Reputational Factors,7.0,7.166666666666667,0.37267799624996495,8,7
GB1,United Kingdom,United Kingdom,Additional Reputational Factors,10.0,8.962449785524614,2.198091347831797,10,4
ARE,United Arab Emirates,United Arab Emirates,Additional Reputational Factors,4.0,4.950320960089311,1.487988669091862,10,4
UKR,Ukraine,Ukraine,Additional Reputational Factors,6.0,6.349146721047547,0.8024121346146623,10,4
UGA,Uganda,Uganda,Additional Reputational Factors,9.0,9.183783783783785,0.5311268743815842,10,7
TKM,Turkmenistan,Turkmenistan,Additional Reputational Factors,6.0,6.041708588676484,0.4427993930661928,10,5
TUR,Turkey,Turkey,Additional Reputational Factors,8.0,8.121199830386608,0.49438193106144374,10,3
TUN,Tunisia,Tunisia,Additional Reputational Factors,7.0,6.449911393724591,0.9605033615048816,10,5
TTO,Trinidad and Tobago,Trinidad and Tobago,Additional Reputational Factors,3.0,3.2752293577981653,0.8225219623740517,10,3
TON,Tonga,Tonga,Additional Reputational Factors,1.0,1.0,0.0,1,1
TGO,Togo,Togo,Additional Reputational Factors,8.0,8.454545454545455,1.3658495425048203,10,5
TLS,East Timor,East Timor,Additional Reputational Factors,8.0,7.876175548589342,0.7709639249481182,10,6
THA,Thailand,Thailand,Additional Reputational Factors,8.0,8.206395598727758,0.43383149093295925,10,5
TZA,United Republic of Tanzania,United Republic of Tanzania,Additional Reputational Factors,8.0,8.367060873895182,0.5160783842566536,10,7
TJK,Tajikistan,Tajikistan,Additional Reputational Factors,8.0,8.49445471349353,0.787181692429091,10,6
TWN,Taiwan,Taiwan,Additional Reputational Factors,8.0,8.033945464663327,0.18413618912819357,10,8
SYR,Syria,Syria,Additional Reputational Factors,9.0,8.92764346554246,0.2918710176026229,10,6
CHE,Switzerland,Switzerland,Additional Reputational Factors,7.0,6.901297998918334,2.1108397879738674,10,2
SWE,Sweden,Sweden,Additional Reputational Factors,7.0,5.3434167838517155,2.3277170765082045,10,2
SWZ,eSwatini,eSwatini,Additional Reputational Factors,9.0,8.892655367231638,0.9247398534087802,10,8
SUR,Suriname,Suriname,Additional Reputational Factors,5.0,5.629037520391517,0.9144865755153361,10,5
SDS,South Sudan,South Sudan,Additional Reputational Factors,7.0,7.715656033704484,1.239394430345428,10,6
SDN,Sudan,Sudan,Additional Reputational Factors,10.0,9.912986491592669,0.5026826467906945,10,1
LKA,Sri Lanka,Sri Lanka,Additional Reputational Factors,7.0,6.667259153928191,0.540751201659564,10,6
ESP,Spain,Spain,Additional Reputational Factors,4.0,5.951802937308198,2.7235748708095047,10,4
KOR,South Korea,South Korea,Additional Reputational Factors,5.0,6.573613766730402,1.8854627538118804,10,5
ZAF,South Africa,South Africa,Additional Reputational Factors,8.0,8.18579031320344,0.5007038073124355,10,5
SOM,Somalia,Somalia,Additional Reputational Factors,7.0,7.058979092859638,0.36706691823283455,10,1
SOL,Somaliland,Somaliland,Additional Reputational Factors,7.0,7.037901675363911,0.28404886837728455,10,6
