SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Air Condition,3.0,2.9002623237512295,0.43427950118377817,3,1
ZMB,Zambia,Zambia,Air Condition,6.0,4.733176302215331,1.4685670125302583,6,1
YEM,Yemen,Yemen,Air Condition,10.0,9.068280118578995,0.990970225251599,10,5
VNM,Vietnam,Vietnam,Air Condition,6.0,6.989279332936271,1.0074260452154118,10,1
VEN,Venezuela,Venezuela,Air Condition,6.0,4.662680285376996,1.7419664755514566,10,1
VAT,Vatican,Vatican,Air Condition,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Air Condition,1.0,1.0348837209302326,0.5592285886702814,10,1
UZB,Uzbekistan,Uzbekistan,Air Condition,8.0,7.783547985043623,0.621617775931411,8,1
URY,Uruguay,Uruguay,Air Condition,1.0,1.0025626423690206,0.1518460213020842,10,1
FSM,Federated States of Micronesia,Federated States of Micronesia,Air Condition,1.0,1.0,0.0,1,1
MHL,Marshall Islands,Marshall Islands,Air Condition,1.0,3.25,3.897114317029974,10,1
US1,United States of America,United States of America,Air Condition,1.0,2.001774656187955,1.445050593296903,10,1
GB1,United Kingdom,Jersey,Air Condition,3.0,2.857142857142857,0.5150787536377127,3,1
GB1,United Kingdom,Guernsey,Air Condition,3.0,3.0,0.0,3,3
GB1,United Kingdom,Isle of Man,Air Condition,1.0,1.0,0.0,1,1
GB1,United Kingdom,United Kingdom,Air Condition,3.0,2.9117927418805745,1.6936961831698751,10,1
ARE,United Arab Emirates,United Arab Emirates,Air Condition,8.0,8.738487301144293,0.950338541728157,10,5
UKR,Ukraine,Ukraine,Air Condition,6.0,5.807663410969196,0.7321999194392029,10,1
UGA,Uganda,Uganda,Air Condition,6.0,6.074496314496314,1.5914245559586808,8,1
TKM,Turkmenistan,Turkmenistan,Air Condition,8.0,7.986371535717552,0.17814592302752935,10,5
TUR,Turkey,Turkey,Air Condition,6.0,6.0110064342471565,0.34308141481049553,10,1
TUN,Tunisia,Tunisia,Air Condition,6.0,6.55655165224643,0.9077983562378077,10,5
TTO,Trinidad and Tobago,Trinidad and Tobago,Air Condition,1.0,1.0412844036697249,0.6081572420362666,10,1
TON,Tonga,Tonga,Air Condition,10.0,10.0,0.0,10,10
TGO,Togo,Togo,Air Condition,10.0,9.914798206278027,0.39004783232452794,10,8
TLS,East Timor,East Timor,Air Condition,3.0,3.7210031347962382,1.2988652860624674,6,1
THA,Thailand,Thailand,Air Condition,8.0,6.819178199948422,1.4747987970416443,10,1
TZA,United Republic of Tanzania,United Republic of Tanzania,Air Condition,3.0,3.350031121623304,1.6970468301609836,10,1
TJK,Tajikistan,Tajikistan,Air Condition,8.0,6.953994660094475,1.4125202851420586,8,3
TWN,Taiwan,Taiwan,Air Condition,4.0,4.469671675013912,1.485525995272784,10,1
SYR,Syria,Syria,Air Condition,6.0,6.453497375892627,0.824880633282528,8,5
CHE,Switzerland,Switzerland,Air Condition,3.0,4.030827474310438,1.389569977948247,6,3
SWE,Sweden,Sweden,Air Condition,1.0,1.4626355009799255,0.8595406778087668,10,1
SWZ,eSwatini,eSwatini,Air Condition,3.0,3.0,0.0,3,3
SUR,Suriname,Suriname,Air Condition,6.0,5.674388254486134,0.9243911585589254,10,3
SDS,South Sudan,South Sudan,Air Condition,8.0,7.53430634968402,0.8424380086486458,8,6
SDN,Sudan,Sudan,Air Condition,8.0,8.043961364065748,0.2906318777453524,10,5
LKA,Sri Lanka,Sri Lanka,Air Condition,6.0,6.014575186633487,0.28743222348170544,10,5
ESP,Spain,Spain,Air Condition,3.0,2.4250602805786934,0.9410076477489758,10,1
KOR,South Korea,South Korea,Air Condition,6.0,6.578075207138305,0.918850733910645,10,5
ZAF,South Africa,South Africa,Air Condition,3.0,2.560695278841997,1.4054007868957312,10,1
SOM,Somalia,Somalia,Air Condition,3.0,4.100643680455067,2.3474461767085084,10,1
SOL,Somaliland,Somaliland,Air Condition,8.0,7.306646525679758,0.9577921882537226,10,5
SLB,Solomon Islands,Solomon Islands,Air Condition,1.0,1.0326382592928378,0.5409982233481667,10,1
SVK,Slovakia,Slovakia,Air Condition,6.0,6.00279750376587,0.0638814004448736,8,6
SVN,Slovenia,Slovenia,Air Condition,6.0,5.119614512471656,1.3324319525171662,10,3
SGP,Singapore,Singapore,Air Condition,8.0,8.0,0.0,8,8
SLE,Sierra Leone,Sierra Leone,Air Condition,8.0,7.999027237354086,0.059714739396463094,10,6
SYC,Seychelles,Seychelles,Air Condition,10.0,10.0,0.0,10,10
SRB,Republic of Serbia,Republic of Serbia,Air Condition,6.0,6.019765970904491,0.18926321642419064,8,6
SEN,Senegal,Senegal,Air Condition,8.0,8.533000113597637,0.8756078018836485,10,6
SAU,Saudi Arabia,Saudi Arabia,Air Condition,8.0,8.728690218005777,0.999627372961202,10,3
STP,São Tomé and Principe,São Tomé and Principe,Air Condition,8.0,7.977777777777778,0.14740554623801777,8,7
SMR,San Marino,San Marino,Air Condition,6.0,6.0,0.0,6,6
WSM,Samoa,Samoa,Air Condition,10.0,10.0,0.0,10,10
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Air Condition,1.0,1.0,0.0,1,1
LCA,Saint Lucia,Saint Lucia,Air Condition,1.0,1.0,0.0,1,1
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,Air Condition,1.0,1.0,0.0,1,1
RWA,Rwanda,Rwanda,Air Condition,8.0,7.778403755868545,0.60646229317043,8,6
RUS,Russia,Russia,Air Condition,3.0,3.0463468890203265,2.2772404560633692,10,1
ROU,Romania,Romania,Air Condition,6.0,5.999607091989588,0.019818012859704588,6,5
QAT,Qatar,Qatar,Air Condition,8.0,8.052910052910052,0.3573681437199636,10,6
PRT,Portugal,Portugal,Air Condition,1.0,1.2579637726420987,1.3977676862130453,10,1
POL,Poland,Poland,Air Condition,6.0,6.4789420727325,0.8555734306929175,10,5
PHL,Philippines,Philippines,Air Condition,3.0,3.187607843137255,1.633215090699172,10,1
PER,Peru,Peru,Air Condition,3.0,4.42203471466543,1.6572403660016457,10,1
PRY,Paraguay,Paraguay,Air Condition,3.0,3.5331491712707184,1.1415538668354894,6,1
PNG,Papua New Guinea,Papua New Guinea,Air Condition,1.0,1.521163215590743,0.9565036622736413,10,1
PAN,Panama,Panama,Air Condition,6.0,4.783868935097669,2.2131056972459358,10,1
PLW,Palau,Palau,Air Condition,1.0,1.5625,2.178553132241672,10,1
PAK,Pakistan,Pakistan,Air Condition,10.0,9.047400236899072,1.5836166993533767,10,3
OMN,Oman,Oman,Air Condition,10.0,9.490291912158543,0.8642683903238941,10,5
NOR,Norway,Norway,Air Condition,1.0,1.24588664180863,1.467146732831364,10,1
PRK,North Korea,North Korea,Air Condition,6.0,6.333105879677015,0.7535754177282162,10,5
NGA,Nigeria,Nigeria,Air Condition,10.0,9.996618271504488,0.060625166130842074,10,8
NER,Niger,Niger,Air Condition,10.0,9.618981413727498,0.7791853613885756,10,8
NIC,Nicaragua,Nicaragua,Air Condition,3.0,2.651730803022316,0.7868773545544222,10,1
