SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Cultural Services,6.0,6.5856924254016835,1.3927606316670331,10,6
ZMB,Zambia,Zambia,Cultural Services,10.0,9.93094606279257,0.509197761463953,10,6
YEM,Yemen,Yemen,Cultural Services,10.0,10.0,0.0,10,10
VNM,Vietnam,Vietnam,Cultural Services,8.0,7.4003044140030445,1.9114394041068814,9,1
VEN,Venezuela,Venezuela,Cultural Services,8.0,7.501437150336191,1.3577895088132472,8,3
VAT,Vatican,Vatican,Cultural Services,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Cultural Services,6.0,6.0,0.0,6,6
UZB,Uzbekistan,Uzbekistan,Cultural Services,6.0,7.115793222149683,1.762689381999857,10,6
URY,Uruguay,Uruguay,Cultural Services,10.0,8.686028853454822,2.564790348141381,10,3
FSM,Federated States of Micronesia,Federated States of Micronesia,Cultural Services,6.0,5.846153846153846,0.36080121229410994,6,5
MHL,Marshall Islands,Marshall Islands,Cultural Services,6.0,6.0,0.0,6,6
US1,United States of America,United States of America,Cultural Services,3.0,2.9883080176273684,0.15205738099795324,4,1
GB1,United Kingdom,Jersey,Cultural Services,3.0,3.0,0.0,3,3
GB1,United Kingdom,Guernsey,Cultural Services,3.0,3.0,0.0,3,3
GB1,United Kingdom,Isle of Man,Cultural Services,6.0,5.924242424242424,0.2646098363117118,6,5
GB1,United Kingdom,United Kingdom,Cultural Services,6.0,5.973071423708041,0.19903931935333005,6,3
ARE,United Arab Emirates,United Arab Emirates,Cultural Services,10.0,10.0,0.0,10,10
UKR,Ukraine,Ukraine,Cultural Services,6.0,6.3663017423348,1.1307040427014936,10,6
UGA,Uganda,Uganda,Cultural Services,6.0,6.167469287469287,0.6279824043413889,10,6
TKM,Turkmenistan,Turkmenistan,Cultural Services,6.0,6.105826397146254,0.6447747836626092,10,5
TUR,Turkey,Turkey,Cultural Services,8.0,8.00001843623827,0.004293704504860792,9,8
TUN,Tunisia,Tunisia,Cultural Services,10.0,9.300323152298551,2.3452138582857147,10,1
TTO,Trinidad and Tobago,Trinidad and Tobago,Cultural Services,10.0,9.825688073394495,0.4854589561586405,10,7
TON,Tonga,Tonga,Cultural Services,6.0,6.0,0.0,6,6
TGO,Togo,Togo,Cultural Services,10.0,9.140236445169181,1.5696570784767445,10,6
TLS,East Timor,East Timor,Cultural Services,3.0,3.41692789968652,1.0452888628095922,6,1
THA,Thailand,Thailand,Cultural Services,6.0,6.000257887045474,0.018541383126326357,8,6
TZA,United Republic of Tanzania,United Republic of Tanzania,Cultural Services,6.0,6.0,0.0,6,6
TJK,Tajikistan,Tajikistan,Cultural Services,10.0,9.097555966317518,2.6738451176700533,10,1
TWN,Taiwan,Taiwan,Cultural Services,1.0,1.0,0.0,1,1
