SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Ecosystem Condition,7.0,7.065198382336868,1.3763618605754449,9,2
ZMB,Zambia,Zambia,Ecosystem Condition,4.0,4.456155520438892,2.3670610315272245,9,1
YEM,Yemen,Yemen,Ecosystem Condition,5.0,5.368275258784079,1.0308741748226067,9,3
VNM,Vietnam,Vietnam,Ecosystem Condition,6.0,5.8493150684931505,1.8644043554850698,10,2
VEN,Venezuela,Venezuela,Ecosystem Condition,4.0,3.961812862495509,2.514941122419693,9,1
VAT,Vatican,Vatican,Ecosystem Condition,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Ecosystem Condition,4.0,4.327519379844961,0.8255245276479994,9,4
UZB,Uzbekistan,Uzbekistan,Ecosystem Condition,5.0,5.8259243872039885,1.8562890461749468,10,2
URY,Uruguay,Uruguay,Ecosystem Condition,8.0,7.4207479119210324,1.8130083531984815,10,3
FSM,Federated States of Micronesia,Federated States of Micronesia,Ecosystem Condition,5.0,5.1923076923076925,0.39411349099844606,6,5
MHL,Marshall Islands,Marshall Islands,Ecosystem Condition,4.0,4.0,0.0,4,4
US1,United States of America,United States of America,Ecosystem Condition,6.0,5.459280579985895,3.1050381035564683,10,1
GB1,United Kingdom,Jersey,Ecosystem Condition,6.0,5.857142857142857,0.8329931278350429,8,5
GB1,United Kingdom,Guernsey,Ecosystem Condition,5.5,5.5,0.5,6,5
GB1,United Kingdom,Isle of Man,Ecosystem Condition,7.0,7.166666666666667,0.37267799624996495,8,7
GB1,United Kingdom,United Kingdom,Ecosystem Condition,6.0,6.263566419282358,1.592728215413125,10,2
ARE,United Arab Emirates,United Arab Emirates,Ecosystem Condition,5.0,5.178063075634943,1.1851245364214051,8,4
UKR,Ukraine,Ukraine,Ecosystem Condition,7.0,6.57833351221781,2.066393233249367,10,2
UGA,Uganda,Uganda,Ecosystem Condition,3.0,3.7792628992628994,2.0576034930994798,10,2
TKM,Turkmenistan,Turkmenistan,Ecosystem Condition,7.0,6.729229549681393,2.183495849443721,10,1
