SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Ecosystem Condition,4.0,3.9257295879331076,1.317298466258738,9,2
ZMB,Zambia,Zambia,Ecosystem Condition,7.0,6.521720981543874,2.37950268839236,10,1
YEM,Yemen,Yemen,Ecosystem Condition,6.0,5.625309811925937,1.0339792173046805,8,2
VNM,Vietnam,Vietnam,Ecosystem Condition,5.0,5.130964198266164,1.8563282913166774,9,1
VEN,Venezuela,Venezuela,Ecosystem Condition,7.0,7.01177950007699,2.5272705175316514,10,2
VAT,Vatican,Vatican,Ecosystem Condition,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Ecosystem Condition,7.0,6.6395348837209305,0.9117594035837723,7,2
UZB,Uzbekistan,Uzbekistan,Ecosystem Condition,6.0,5.141788830197638,1.8563982340826346,9,1
URY,Uruguay,Uruguay,Ecosystem Condition,4.0,3.568716780561883,1.8015182012485684,8,1
FSM,Federated States of Micronesia,Federated States of Micronesia,Ecosystem Condition,6.0,6.0,0.0,6,6
MHL,Marshall Islands,Marshall Islands,Ecosystem Condition,7.0,7.0,0.0,7,7
US1,United States of America,United States of America,Ecosystem Condition,5.0,5.523573239332473,3.1023667159377726,10,1
GB1,United Kingdom,Jersey,Ecosystem Condition,5.0,4.571428571428571,0.8206518066482897,5,2
GB1,United Kingdom,Guernsey,Ecosystem Condition,5.0,5.0,0.0,5,5
GB1,United Kingdom,Isle of Man,Ecosystem Condition,4.0,3.9393939393939394,0.2953574043881504,4,2
GB1,United Kingdom,United Kingdom,Ecosystem Condition,5.0,4.608769660243753,1.508063491987128,9,1
ARE,United Arab Emirates,United Arab Emirates,Ecosystem Condition,6.0,5.81579681830868,1.1893595022953218,7,3
UKR,Ukraine,Ukraine,Ecosystem Condition,4.0,4.415137204393403,2.0557196222101277,9,1
UGA,Uganda,Uganda,Ecosystem Condition,8.0,7.22928746928747,2.06060682205533,9,1
TKM,Turkmenistan,Turkmenistan,Ecosystem Condition,4.0,4.226287386810574,2.167267528138905,10,1
TUR,Turkey,Turkey,Ecosystem Condition,4.0,4.296639073763389,1.5805007614957607,9,1
TUN,Tunisia,Tunisia,Ecosystem Condition,5.0,5.144897320963202,1.617318471173863,8,3
TTO,Trinidad and Tobago,Trinidad and Tobago,Ecosystem Condition,7.0,7.064220183486238,0.37770988716034687,8,5
