SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Environmental Factors,5.0,4.61318176849929,1.5963961722387552,10,3
ZMB,Zambia,Zambia,Environmental Factors,5.0,5.9562300605265515,1.681288624504327,10,3
YEM,Yemen,Yemen,Environmental Factors,5.0,3.641978908490062,2.0794289636890064,8,1
VNM,Vietnam,Vietnam,Environmental Factors,7.0,6.909403745615776,1.7880361405393328,10,3
VEN,Venezuela,Venezuela,Environmental Factors,9.0,7.990170918236411,2.1997538244311534,10,3
VAT,Vatican,Vatican,Environmental Factors,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Environmental Factors,8.0,8.436046511627907,1.238035402059003,10,5
UZB,Uzbekistan,Uzbekistan,Environmental Factors,5.0,5.247581458840287,1.2357734295428948,10,1
URY,Uruguay,Uruguay,Environmental Factors,5.0,4.714217919514047,2.218564895829317,10,1
FSM,Federated States of Micronesia,Federated States of Micronesia,Environmental Factors,8.0,8.153846153846153,0.455083060238432,9,7
MHL,Marshall Islands,Marshall Islands,Environmental Factors,6.0,5.75,0.4330127018922193,6,5
US1,United States of America,United States of America,Environmental Factors,5.0,5.9560397355232535,2.6986089679992555,10,1
GB1,United Kingdom,Jersey,Environmental Factors,6.0,5.714285714285714,0.5890150893739515,7,5
GB1,United Kingdom,Guernsey,Environmental Factors,5.5,5.5,0.5,6,5
GB1,United Kingdom,Isle of Man,Environmental Factors,4.0,4.166666666666667,0.41132945334843113,6,4
GB1,United Kingdom,United Kingdom,Environmental Factors,5.0,5.210798665486485,1.6421618481806832,8,2
ARE,United Arab Emirates,United Arab Emirates,Environmental Factors,6.0,5.621825286073123,1.8106403391611705,8,1
UKR,Ukraine,Ukraine,Environmental Factors,5.0,4.131193874995528,1.5258134749752785,10,1
UGA,Uganda,Uganda,Environmental Factors,7.0,6.748402948402949,2.025389495660367,10,1
TKM,Turkmenistan,Turkmenistan,Environmental Factors,5.0,4.777676148663069,1.7303408707920944,10,1
TUR,Turkey,Turkey,Environmental Factors,5.0,5.036780295348537,1.2959969547081134,10,2
TUN,Tunisia,Tunisia,Environmental Factors,5.0,5.151673094965079,1.6591157378143124,8,1
TTO,Trinidad and Tobago,Trinidad and Tobago,Environmental Factors,8.0,7.967889908256881,0.2223233177257364,8,6
TON,Tonga,Tonga,Environmental Factors,8.0,8.0,0.0,8,8
TGO,Togo,Togo,Environmental Factors,5.0,5.864247859763555,1.7580743246933708,10,3
TLS,East Timor,East Timor,Environmental Factors,8.0,8.0,0.0,8,8
THA,Thailand,Thailand,Environmental Factors,8.0,7.3897103068855845,2.055068988306156,10,3
TZA,United Republic of Tanzania,United Republic of Tanzania,Environmental Factors,8.0,7.24573633760737,1.844108597818502,10,1
