SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Extreme Heat,3.0,3.739971581593617,1.357280896548642,8,3
ZMB,Zambia,Zambia,Extreme Heat,3.0,3.1646441456215153,0.7046005116591828,6,1
YEM,Yemen,Yemen,Extreme Heat,8.0,7.584147348981873,2.4420438595262826,10,1
VNM,Vietnam,Vietnam,Extreme Heat,6.0,6.345377539540732,2.3891543846911643,10,1
VEN,Venezuela,Venezuela,Extreme Heat,6.0,5.51506441513114,1.8901915057086935,10,1
VAT,Vatican,Vatican,Extreme Heat,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Extreme Heat,3.0,3.0717054263565893,0.8697621737048375,10,1
UZB,Uzbekistan,Uzbekistan,Extreme Heat,6.0,6.412813816843729,1.7855230818843544,10,1
URY,Uruguay,Uruguay,Extreme Heat,6.0,6.443147304479878,1.2416748292087008,10,1
FSM,Federated States of Micronesia,Federated States of Micronesia,Extreme Heat,6.0,5.8076923076923075,0.39411349099844606,6,5
MHL,Marshall Islands,Marshall Islands,Extreme Heat,5.0,6.25,2.165063509461097,10,5
US1,United States of America,United States of America,Extreme Heat,3.0,3.641071371418544,3.004172454179268,10,1
GB1,United Kingdom,Jersey,Extreme Heat,1.0,1.0,0.0,1,1
GB1,United Kingdom,Guernsey,Extreme Heat,1.0,1.0,0.0,1,1
GB1,United Kingdom,Isle of Man,Extreme Heat,1.0,1.0,0.0,1,1
GB1,United Kingdom,United Kingdom,Extreme Heat,1.0,1.011949342956356,0.3277213752719145,10,1
ARE,United Arab Emirates,United Arab Emirates,Extreme Heat,10.0,9.972090427016466,0.16471377817113592,10,9
UKR,Ukraine,Ukraine,Extreme Heat,3.0,3.020374941862545,0.5095733529037084,10,1
UGA,Uganda,Uganda,Extreme Heat,3.0,2.6237837837837836,1.1413102657839005,6,1
TKM,Turkmenistan,Turkmenistan,Extreme Heat,8.0,7.90036281593951,0.9415748394161784,10,3
TUR,Turkey,Turkey,Extreme Heat,3.0,3.096052801386405,1.68793608905013,10,1
TUN,Tunisia,Tunisia,Extreme Heat,8.0,8.24715938705306,1.429790748253034,10,5
TTO,Trinidad and Tobago,Trinidad and Tobago,Extreme Heat,3.0,3.0045871559633026,0.5289569658881866,10,1
TON,Tonga,Tonga,Extreme Heat,10.0,10.0,0.0,10,10
TGO,Togo,Togo,Extreme Heat,8.0,8.251528740317978,0.8683891885590707,10,6
TLS,East Timor,East Timor,Extreme Heat,3.0,3.158307210031348,0.7666756105608769,6,1
THA,Thailand,Thailand,Extreme Heat,8.0,7.34458007392762,1.4193178754737783,10,3
TZA,United Republic of Tanzania,United Republic of Tanzania,Extreme Heat,3.0,3.316793227934769,1.5074991840166876,10,1
TJK,Tajikistan,Tajikistan,Extreme Heat,1.0,2.269151776545492,2.1916202081451712,8,1
TWN,Taiwan,Taiwan,Extreme Heat,3.0,4.132999443516972,2.2489981858001973,10,1
SYR,Syria,Syria,Extreme Heat,8.0,7.456336574034243,1.2992956619581917,10,3
CHE,Switzerland,Switzerland,Extreme Heat,1.0,1.6519740400216334,0.9353190282258464,3,1
SWE,Sweden,Sweden,Extreme Heat,1.0,1.003986137100971,0.18936563737846385,10,1
SWZ,eSwatini,eSwatini,Extreme Heat,7.0,6.1514124293785315,2.0600342091568185,8,3
SUR,Suriname,Suriname,Extreme Heat,6.0,5.939477977161501,0.4076243851891126,10,3
SDS,South Sudan,South Sudan,Extreme Heat,8.0,7.573766175142943,1.3222975001868251,10,3
SDN,Sudan,Sudan,Extreme Heat,8.0,8.570092575099187,1.3498427709406602,10,5
LKA,Sri Lanka,Sri Lanka,Extreme Heat,6.0,6.778528261642375,0.9845993457586678,10,5
ESP,Spain,Spain,Extreme Heat,3.0,3.1432211749232795,1.1928792698328132,10,1
KOR,South Korea,South Korea,Extreme Heat,6.0,5.8588272785213515,1.5386936763268326,10,1
ZAF,South Africa,South Africa,Extreme Heat,3.0,3.8378974672410964,1.437026513312792,10,1
SOM,Somalia,Somalia,Extreme Heat,8.0,7.612294795668879,0.88502588828257,10,3
SOL,Somaliland,Somaliland,Extreme Heat,3.0,4.705163416643779,2.1234227503750915,10,3
SLB,Solomon Islands,Solomon Islands,Extreme Heat,3.0,4.0797824116047146,1.5296937479862078,10,1
SVK,Slovakia,Slovakia,Extreme Heat,3.0,2.593931568754035,0.8022387534157162,3,1
SVN,Slovenia,Slovenia,Extreme Heat,3.0,2.72562358276644,0.7171378826026469,10,1
SGP,Singapore,Singapore,Extreme Heat,6.0,5.954545454545454,0.20829889522526546,6,5
SLE,Sierra Leone,Sierra Leone,Extreme Heat,8.0,7.526588845654993,0.8678617884608082,10,5
SYC,Seychelles,Seychelles,Extreme Heat,10.0,10.0,0.0,10,10
SRB,Republic of Serbia,Republic of Serbia,Extreme Heat,3.0,3.4699557242251737,1.1709705281514569,6,1
SEN,Senegal,Senegal,Extreme Heat,10.0,9.710212427581506,0.7179678921883514,10,5
SAU,Saudi Arabia,Saudi Arabia,Extreme Heat,8.0,8.057713457565448,1.7321159020404102,10,3
STP,São Tomé and Principe,São Tomé and Principe,Extreme Heat,3.0,2.9555555555555557,0.29481109247603554,3,1
SMR,San Marino,San Marino,Extreme Heat,3.0,3.0,0.0,3,3
WSM,Samoa,Samoa,Extreme Heat,10.0,10.0,0.0,10,10
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Extreme Heat,3.0,3.0,0.0,3,3
LCA,Saint Lucia,Saint Lucia,Extreme Heat,3.0,3.0,0.0,3,3
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,Extreme Heat,3.0,3.0,0.0,3,3
RWA,Rwanda,Rwanda,Extreme Heat,1.0,1.0,0.0,1,1
RUS,Russia,Russia,Extreme Heat,1.0,1.6955512918536044,1.1730690398602388,10,1
ROU,Romania,Romania,Extreme Heat,3.0,3.335346986886695,1.2896860670113988,6,1
QAT,Qatar,Qatar,Extreme Heat,10.0,9.91710758377425,0.2757195378604981,10,9
PRT,Portugal,Portugal,Extreme Heat,3.0,3.897095565271705,1.663492051486337,10,1
POL,Poland,Poland,Extreme Heat,3.0,2.9037228690527526,0.486959982035486,10,1
PHL,Philippines,Philippines,Extreme Heat,5.0,4.518588235294118,1.6142768571798016,10,1
PER,Peru,Peru,Extreme Heat,3.0,3.2989635549529943,2.308674870933004,10,1
PRY,Paraguay,Paraguay,Extreme Heat,10.0,9.213962832747363,0.9660359367355866,10,7
PNG,Papua New Guinea,Papua New Guinea,Extreme Heat,3.0,4.022330491270808,2.3228569832751966,10,1
PAN,Panama,Panama,Extreme Heat,3.0,3.5270951480781347,1.34210682513624,10,1
PLW,Palau,Palau,Extreme Heat,6.0,6.125,1.0532687216470449,10,5
PAK,Pakistan,Pakistan,Extreme Heat,10.0,7.871686476330515,3.2446462935312215,10,1
OMN,Oman,Oman,Extreme Heat,10.0,9.911288162828066,0.5342736821306664,10,3
NOR,Norway,Norway,Extreme Heat,1.0,1.24588664180863,1.467146732831364,10,1
PRK,North Korea,North Korea,Extreme Heat,3.0,3.535653360627772,1.7865474236550245,10,1
NGA,Nigeria,Nigeria,Extreme Heat,10.0,8.992829718528313,1.198560609399989,10,3
NER,Niger,Niger,Extreme Heat,8.0,8.405989316552027,1.333651841225656,10,5
NIC,Nicaragua,Nicaragua,Extreme Heat,6.0,5.558074152170093,1.393155224032025,10,3
NZ1,New Zealand,New Zealand,Extreme Heat,1.0,1.0680470448705277,0.7796108025926385,10,1
NL1,Netherlands,Netherlands,Extreme Heat,2.0,2.30162188332123,1.8880671757066958,10,1
NL1,Netherlands,Aruba,Extreme Heat,6.0,6.0,0.0,6,6
NL1,Netherlands,Curaçao,Extreme Heat,6.0,5.7,0.45825756949558405,6,5
NPL,Nepal,Nepal,Extreme Heat,1.0,3.7815643863179074,3.5651379241042833,10,1
NRU,Nauru,Nauru,Extreme Heat,5.0,5.0,0.0,5,5
NAM,Namibia,Namibia,Extreme Heat,3.0,3.630016329358207,1.2174940069321885,10,1
MOZ,Mozambique,Mozambique,Extreme Heat,6.0,6.501163777759523,1.9915736161064015,10,3
MAR,Morocco,Morocco,Extreme Heat,6.0,6.295161488394941,2.319277248625526,10,1
SAH,Western Sahara,Western Sahara,Extreme Heat,9.0,8.944698454169389,1.0250459631205295,10,5
MNE,Montenegro,Montenegro,Extreme Heat,3.0,2.0357478833490124,1.0636566883803944,6,1
MNG,Mongolia,Mongolia,Extreme Heat,3.0,2.0292088612114894,1.040797671441855,6,1
MDA,Moldova,Moldova,Extreme Heat,3.0,3.1106679960119643,0.5445117445835035,6,3
MCO,Monaco,Monaco,Extreme Heat,3.0,3.0,0.0,3,3
MEX,Mexico,Mexico,Extreme Heat,5.0,5.2498233857457155,3.01153993603934,10,1
MUS,Mauritius,Mauritius,Extreme Heat,10.0,10.0,0.0,10,10
MRT,Mauritania,Mauritania,Extreme Heat,8.0,8.946401534268698,0.9994517127518506,10,5
MLT,Malta,Malta,Extreme Heat,3.0,3.0,0.0,3,3
MLI,Mali,Mali,Extreme Heat,10.0,9.530394351644567,0.8344429621976202,10,5
MDV,Maldives,Maldives,Extreme Heat,10.0,10.0,0.0,10,10
MYS,Malaysia,Malaysia,Extreme Heat,6.0,5.537881534111506,1.6612762635778306,10,1
MWI,Malawi,Malawi,Extreme Heat,3.0,3.2597206493016233,1.2751527037964618,8,1
MDG,Madagascar,Madagascar,Extreme Heat,5.0,4.640910548252645,2.05229256032745,10,1
MKD,North Macedonia,North Macedonia,Extreme Heat,3.0,3.226961558715113,0.955893988151618,6,1
LUX,Luxembourg,Luxembourg,Extreme Heat,3.0,3.0,0.0,3,3
LTU,Lithuania,Lithuania,Extreme Heat,3.0,2.936460452315424,0.4003200377259934,10,1
LIE,Liechtenstein,Liechtenstein,Extreme Heat,1.0,1.0,0.0,1,1
LBY,Libya,Libya,Extreme Heat,6.0,6.680534089456498,1.1139954824273801,10,1
LBR,Liberia,Liberia,Extreme Heat,6.0,6.022665681202267,0.22192840985465068,8,5
LSO,Lesotho,Lesotho,Extreme Heat,1.0,1.3293269230769231,0.7385052007825269,3,1
LBN,Lebanon,Lebanon,Extreme Heat,6.0,5.420361247947455,1.0966342900218125,6,3
LVA,Latvia,Latvia,Extreme Heat,3.0,2.4325224925024993,0.9191314140430159,10,1
LAO,Laos,Laos,Extreme Heat,4.0,4.89493908153702,2.0091456009858812,8,3
KGZ,Kyrgyzstan,Kyrgyzstan,Extreme Heat,1.0,1.2655165442415257,0.7637529753999869,6,1
KWT,Kuwait,Kuwait,Extreme Heat,10.0,9.97092419522326,0.16801905354252028,10,9
KIR,Kiribati,Kiribati,Extreme Heat,10.0,8.536585365853659,2.27497050075337,10,5
KEN,Kenya,Kenya,Extreme Heat,6.0,4.555876685934489,2.2049586099578593,8,1
JOR,Jordan,Jordan,Extreme Heat,8.0,7.122152395915161,1.145538599173224,10,6
JPN,Japan,Japan,Extreme Heat,3.0,4.133030473586878,1.86275067588818,10,1
JAM,Jamaica,Jamaica,Extreme Heat,3.0,2.9881656804733727,0.1533903123883517,3,1
ITA,Italy,Italy,Extreme Heat,3.0,2.908850613915416,1.113967860912639,10,1
IS1,Israel,Palestine,Extreme Heat,8.0,8.17027027027027,1.6093249994892294,10,6
IRL,Ireland,Ireland,Extreme Heat,1.0,1.0067331670822943,0.24607553352922,10,1
IRQ,Iraq,Iraq,Extreme Heat,10.0,8.741976254308694,1.678949056957646,10,1
IRN,Iran,Iran,Extreme Heat,6.0,5.592537142738322,2.8158685290746894,10,1
IDN,Indonesia,Indonesia,Extreme Heat,5.0,4.567518503002374,1.860394122605282,10,1
IND,India,India,Extreme Heat,10.0,8.471408700291533,2.718843587695117,10,1
ISL,Iceland,Iceland,Extreme Heat,1.0,1.0606801230458052,0.7365046028908384,10,1
HUN,Hungary,Hungary,Extreme Heat,3.0,3.0,0.0,3,3
HND,Honduras,Honduras,Extreme Heat,3.0,4.146470588235294,1.5734056026058314,10,1
HTI,Haiti,Haiti,Extreme Heat,3.0,3.910031847133758,1.3934656421315332,6,1
GUY,Guyana,Guyana,Extreme Heat,6.0,5.493354182955434,1.106919766653131,10,2
GNB,Guinea-Bissau,Guinea-Bissau,Extreme Heat,8.0,8.168683274021353,0.5564388959089615,10,6
GIN,Guinea,Guinea,Extreme Heat,8.0,7.3914315372275174,1.0691105002884203,10,5
GTM,Guatemala,Guatemala,Extreme Heat,6.0,5.506712774613507,2.847306782744102,10,1
GRD,Grenada,Grenada,Extreme Heat,3.0,3.0,0.0,3,3
GRC,Greece,Greece,Extreme Heat,3.0,3.426220455047493,1.3206911953537201,10,1
GHA,Ghana,Ghana,Extreme Heat,8.0,8.746487119437939,1.186599551219825,10,5
DEU,Germany,Germany,Extreme Heat,3.0,2.7764268382740793,0.665165902237125,10,1
GEO,Georgia,Georgia,Extreme Heat,3.0,2.3572646334533056,1.5681886214468945,10,1
GMB,Gambia,Gambia,Extreme Heat,10.0,9.23841059602649,0.9858285649372426,10,6
GAB,Gabon,Gabon,Extreme Heat,3.0,4.228479853479853,1.4572963691266012,10,3
FR1,France,France,Extreme Heat,3.0,3.04702842377261,1.33384609120372,10,1
FI1,Finland,Aland,Extreme Heat,1.0,1.0,0.0,1,1
FI1,Finland,Finland,Extreme Heat,1.0,1.0048823085777796,0.2095636902303622,10,1
FJI,Fiji,Fiji,Extreme Heat,3.0,4.294811320754717,1.821095322037623,10,1
ETH,Ethiopia,Ethiopia,Extreme Heat,3.0,3.4924817443175975,2.4091301960464033,10,1
EST,Estonia,Estonia,Extreme Heat,1.0,1.7475465794339353,1.096593241403665,10,1
ERI,Eritrea,Eritrea,Extreme Heat,8.0,7.579343733189887,2.6813008572153882,10,1
GNQ,Equatorial Guinea,Equatorial Guinea,Extreme Heat,3.0,3.6330608537693005,1.2091674442338798,6,1
SLV,El Salvador,El Salvador,Extreme Heat,6.0,5.160575858250277,1.885926340633819,8,3
EGY,Egypt,Egypt,Extreme Heat,8.0,7.215143593240888,1.1659948991911673,10,3
ECU,Ecuador,Ecuador,Extreme Heat,3.0,3.213925704685458,2.069261831936161,10,1
DOM,Dominican Republic,Dominican Republic,Extreme Heat,6.0,4.731922398589065,1.4813670485745118,10,3
DMA,Dominica,Dominica,Extreme Heat,3.0,2.9375,0.34798527267687634,3,1
DJI,Djibouti,Djibouti,Extreme Heat,10.0,9.565400843881857,0.785513046675342,10,8
DN1,Denmark,Greenland,Extreme Heat,1.0,1.1172293350209328,1.0204515168291648,10,1
DN1,Denmark,Denmark,Extreme Heat,1.0,1.0871939404615114,0.8815569640700462,10,1
CZE,Czechia,Czechia,Extreme Heat,3.0,2.9590643274853803,0.2818383210965676,3,1
CYN,Northern Cyprus,Northern Cyprus,Extreme Heat,7.0,6.807174887892376,1.4497696124058748,8,1
CYP,Cyprus,Cyprus,Extreme Heat,5.0,4.485955056179775,1.482983796877187,6,1
HRV,Croatia,Croatia,Extreme Heat,3.0,3.496932515337423,1.1635492499120088,10,1
CIV,Ivory Coast,Ivory Coast,Extreme Heat,8.0,7.4570576685331975,0.9243194326581442,10,5
CRI,Costa Rica,Costa Rica,Extreme Heat,3.0,3.5464750785810506,2.0060460733470324,6,1
COD,Democratic Republic of the Congo,Democratic Republic of the Congo,Extreme Heat,6.0,4.648930991115258,1.6707399060929105,8,1
