SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Financial Inequality,10.0,10.0,0.0,10,10
ZMB,Zambia,Zambia,Financial Inequality,10.0,9.947821938638599,0.34666864070025294,10,6
YEM,Yemen,Yemen,Financial Inequality,6.0,5.789084900617194,0.9852049446907668,10,1
VNM,Vietnam,Vietnam,Financial Inequality,3.0,3.156773211567732,0.779239097046405,10,1
VEN,Venezuela,Venezuela,Financial Inequality,8.0,8.030385464250886,0.2548117050655579,10,5
VAT,Vatican,Vatican,Financial Inequality,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Financial Inequality,3.0,2.9186046511627906,0.6327333888564088,10,1
UZB,Uzbekistan,Uzbekistan,Financial Inequality,3.0,2.7643777078758385,0.6429251057240231,3,1
URY,Uruguay,Uruguay,Financial Inequality,6.0,6.105163249810174,0.44511598302656236,10,5
FSM,Federated States of Micronesia,Federated States of Micronesia,Financial Inequality,6.0,5.8076923076923075,0.39411349099844606,6,5
MHL,Marshall Islands,Marshall Islands,Financial Inequality,1.0,3.25,3.897114317029974,10,1
US1,United States of America,United States of America,Financial Inequality,6.0,5.985066621343773,0.30707326623969194,10,1
GB1,United Kingdom,Jersey,Financial Inequality,3.0,2.857142857142857,0.5150787536377127,3,1
GB1,United Kingdom,Guernsey,Financial Inequality,3.0,3.0,0.0,3,3
GB1,United Kingdom,Isle of Man,Financial Inequality,1.0,1.0,0.0,1,1
GB1,United Kingdom,United Kingdom,Financial Inequality,3.0,2.9513855790835435,0.4223845989971505,10,1
ARE,United Arab Emirates,United Arab Emirates,Financial Inequality,1.0,1.015071169411108,0.3679855765550516,10,1
UKR,Ukraine,Ukraine,Financial Inequality,1.0,1.0379056205502486,0.30306998923677647,10,1
UGA,Uganda,Uganda,Financial Inequality,8.0,7.897493857493857,0.42825124010928944,8,6
TKM,Turkmenistan,Turkmenistan,Financial Inequality,1.0,1.1201865910546054,0.6858921310448258,10,1
TUR,Turkey,Turkey,Financial Inequality,8.0,7.932578676646817,0.5142184801011238,10,1
TUN,Tunisia,Tunisia,Financial Inequality,3.0,2.807880746377567,0.641271752538631,10,1
TTO,Trinidad and Tobago,Trinidad and Tobago,Financial Inequality,6.0,5.977064220183486,0.33786513446459254,10,5
TON,Tonga,Tonga,Financial Inequality,10.0,10.0,0.0,10,10
TGO,Togo,Togo,Financial Inequality,8.0,7.81736649001223,0.5559521852251469,8,6
TLS,East Timor,East Timor,Financial Inequality,1.0,1.3699059561128526,1.2796344221998062,6,1
THA,Thailand,Thailand,Financial Inequality,3.0,2.9999140376515085,0.46690524561688695,10,1
TZA,United Republic of Tanzania,United Republic of Tanzania,Financial Inequality,6.0,6.04212622930412,0.34944862119154,10,5
TJK,Tajikistan,Tajikistan,Financial Inequality,3.0,2.824399260628466,0.6532635054912871,6,1
TWN,Taiwan,Taiwan,Financial Inequality,6.0,5.9827490261547025,0.1675799459721835,10,5
SYR,Syria,Syria,Financial Inequality,6.0,5.860621182138862,0.9856671511533975,8,1
CHE,Switzerland,Switzerland,Financial Inequality,3.0,2.918334234721471,0.39443702611855735,3,1
SWE,Sweden,Sweden,Financial Inequality,1.0,1.003986137100971,0.18936563737846385,10,1
SWZ,eSwatini,eSwatini,Financial Inequality,10.0,10.0,0.0,10,10
SUR,Suriname,Suriname,Financial Inequality,1.0,1.2494290375203916,3.5787031608502855,63,1
SDS,South Sudan,South Sudan,Financial Inequality,8.0,7.721298525428829,1.1689910406944215,63,1
SDN,Sudan,Sudan,Financial Inequality,3.0,3.044339221613452,0.6710395620855159,63,1
LKA,Sri Lanka,Sri Lanka,Financial Inequality,6.0,5.985780305723427,0.16803924793876848,10,5
ESP,Spain,Spain,Financial Inequality,3.0,2.980710214818062,0.32749982812006745,10,1
KOR,South Korea,South Korea,Financial Inequality,3.0,2.9192160611854683,0.4302982170681389,10,1
ZAF,South Africa,South Africa,Financial Inequality,10.0,9.99408178172657,0.08517434614277845,10,8
