SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Forest Productivity and Distance to Markets,3.0,3.1365723029839327,1.051824293008242,10,1
ZMB,Zambia,Zambia,Forest Productivity and Distance to Markets,6.0,5.491576970094517,3.119972902142933,10,1
YEM,Yemen,Yemen,Forest Productivity and Distance to Markets,10.0,9.11590610876221,1.033166376419952,10,5
VNM,Vietnam,Vietnam,Forest Productivity and Distance to Markets,1.0,2.5317318509694924,2.1067804572398185,10,1
VEN,Venezuela,Venezuela,Forest Productivity and Distance to Markets,6.0,5.665297952060771,3.4329231940256193,10,1
VAT,Vatican,Vatican,Forest Productivity and Distance to Markets,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Forest Productivity and Distance to Markets,9.0,9.0484496124031,1.0265740038816424,10,5
UZB,Uzbekistan,Uzbekistan,Forest Productivity and Distance to Markets,8.0,8.868241438661048,0.9963282342544427,10,6
URY,Uruguay,Uruguay,Forest Productivity and Distance to Markets,3.0,3.83001138952164,1.5724876431544117,10,1
FSM,Federated States of Micronesia,Federated States of Micronesia,Forest Productivity and Distance to Markets,10.0,9.538461538461538,0.4985185152621431,10,9
MHL,Marshall Islands,Marshall Islands,Forest Productivity and Distance to Markets,9.0,9.25,0.4330127018922193,10,9
US1,United States of America,United States of America,Forest Productivity and Distance to Markets,8.0,6.884575611058933,3.132440181713991,10,1
GB1,United Kingdom,Jersey,Forest Productivity and Distance to Markets,6.0,5.714285714285714,0.45175395145262565,6,5
GB1,United Kingdom,Guernsey,Forest Productivity and Distance to Markets,6.0,6.0,0.0,6,6
GB1,United Kingdom,Isle of Man,Forest Productivity and Distance to Markets,6.0,5.954545454545454,0.20829889522526546,6,5
GB1,United Kingdom,United Kingdom,Forest Productivity and Distance to Markets,6.0,6.200347245863689,0.8593059022797388,10,3
ARE,United Arab Emirates,United Arab Emirates,Forest Productivity and Distance to Markets,8.0,8.900362824448786,0.9908075299235046,10,5
UKR,Ukraine,Ukraine,Forest Productivity and Distance to Markets,6.0,5.072573432077564,1.5875833545890623,10,1
UGA,Uganda,Uganda,Forest Productivity and Distance to Markets,3.0,3.6012776412776413,1.9854355042631175,10,1
TKM,Turkmenistan,Turkmenistan,Forest Productivity and Distance to Markets,8.0,8.677551144851977,0.9326177863864976,10,5
TUR,Turkey,Turkey,Forest Productivity and Distance to Markets,6.0,5.42696484209362,2.225770752314908,10,1
TUN,Tunisia,Tunisia,Forest Productivity and Distance to Markets,8.0,7.9282810382570625,1.6576807560044122,10,1
TTO,Trinidad and Tobago,Trinidad and Tobago,Forest Productivity and Distance to Markets,1.0,1.0412844036697249,0.6081572420362666,10,1
TON,Tonga,Tonga,Forest Productivity and Distance to Markets,10.0,10.0,0.0,10,10
TGO,Togo,Togo,Forest Productivity and Distance to Markets,6.0,4.8499796167957605,1.5845246945169316,8,1
TLS,East Timor,East Timor,Forest Productivity and Distance to Markets,10.0,9.448275862068966,1.7400830086171681,10,1
THA,Thailand,Thailand,Forest Productivity and Distance to Markets,3.0,3.2556090432390614,1.9931207769537838,10,1
TZA,United Republic of Tanzania,United Republic of Tanzania,Forest Productivity and Distance to Markets,3.0,3.780580107058384,1.9860164235210507,10,1
TJK,Tajikistan,Tajikistan,Forest Productivity and Distance to Markets,8.0,8.72181146025878,1.1431431505572482,10,6
TWN,Taiwan,Taiwan,Forest Productivity and Distance to Markets,1.0,1.951029493600445,1.3758572165659668,10,1
SYR,Syria,Syria,Forest Productivity and Distance to Markets,8.0,8.270584186526714,1.0652793009842638,10,1
CHE,Switzerland,Switzerland,Forest Productivity and Distance to Markets,6.0,5.856949702541915,0.7933141375824774,8,3
SWE,Sweden,Sweden,Forest Productivity and Distance to Markets,8.0,7.059072337315779,3.2641638497744148,10,1
SWZ,eSwatini,eSwatini,Forest Productivity and Distance to Markets,1.0,1.9096045197740112,0.991926939161821,3,1
SUR,Suriname,Suriname,Forest Productivity and Distance to Markets,10.0,8.46574225122349,3.0760694468567036,10,1
SDS,South Sudan,South Sudan,Forest Productivity and Distance to Markets,6.0,5.521215768883539,1.8544100625796667,10,1
SDN,Sudan,Sudan,Forest Productivity and Distance to Markets,8.0,8.51955412809371,1.4667404138012485,10,3
LKA,Sri Lanka,Sri Lanka,Forest Productivity and Distance to Markets,1.0,1.0764308567365801,0.628895217897852,10,1
ESP,Spain,Spain,Forest Productivity and Distance to Markets,4.0,4.27419443226655,1.8000311775478672,10,1
KOR,South Korea,South Korea,Forest Productivity and Distance to Markets,3.0,3.39308476736775,1.9807574903668348,10,1
ZAF,South Africa,South Africa,Forest Productivity and Distance to Markets,6.0,6.129157287458446,2.2445519520018826,10,1
SOM,Somalia,Somalia,Forest Productivity and Distance to Markets,9.0,8.3459408213163,1.8801550200308066,10,1
SOL,Somaliland,Somaliland,Forest Productivity and Distance to Markets,8.0,8.654627849491899,0.9430639146049188,10,5
SLB,Solomon Islands,Solomon Islands,Forest Productivity and Distance to Markets,9.0,7.9202175883952854,2.796348342136592,10,1
SVK,Slovakia,Slovakia,Forest Productivity and Distance to Markets,3.0,3.838605551969012,1.4265575802606683,10,1
SVN,Slovenia,Slovenia,Forest Productivity and Distance to Markets,3.0,2.701814058956916,0.7350760812626966,10,1
SGP,Singapore,Singapore,Forest Productivity and Distance to Markets,3.0,3.0,0.0,3,3
SLE,Sierra Leone,Sierra Leone,Forest Productivity and Distance to Markets,1.0,1.1793125810635539,0.5889823222844948,10,1
SYC,Seychelles,Seychelles,Forest Productivity and Distance to Markets,10.0,10.0,0.0,10,10
SRB,Republic of Serbia,Republic of Serbia,Forest Productivity and Distance to Markets,3.0,3.6239721695129665,1.9134418248770404,10,1
SEN,Senegal,Senegal,Forest Productivity and Distance to Markets,6.0,5.962967170282858,1.524159906728367,10,1
SAU,Saudi Arabia,Saudi Arabia,Forest Productivity and Distance to Markets,10.0,9.400180900597178,0.9035086555872779,10,5
STP,São Tomé and Principe,São Tomé and Principe,Forest Productivity and Distance to Markets,1.0,1.0,0.0,1,1
SMR,San Marino,San Marino,Forest Productivity and Distance to Markets,3.0,3.0,0.0,3,3
WSM,Samoa,Samoa,Forest Productivity and Distance to Markets,10.0,10.0,0.0,10,10
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Forest Productivity and Distance to Markets,6.0,5.857142857142857,0.3499271061118826,6,5
LCA,Saint Lucia,Saint Lucia,Forest Productivity and Distance to Markets,6.0,5.875,0.33071891388307384,6,5
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,Forest Productivity and Distance to Markets,6.0,5.818181818181818,0.385694607919935,6,5
RWA,Rwanda,Rwanda,Forest Productivity and Distance to Markets,3.0,4.184976525821596,1.5150449332226767,6,1
RUS,Russia,Russia,Forest Productivity and Distance to Markets,10.0,9.169138908524358,1.6939906588771343,10,1
ROU,Romania,Romania,Forest Productivity and Distance to Markets,3.0,4.242276901920338,1.808550108935055,10,1
QAT,Qatar,Qatar,Forest Productivity and Distance to Markets,8.0,8.24514991181658,0.6381799548521753,10,6
PRT,Portugal,Portugal,Forest Productivity and Distance to Markets,3.0,3.1766083697688945,1.6745353674137353,10,1
POL,Poland,Poland,Forest Productivity and Distance to Markets,5.0,4.513985913468449,1.497959379078197,10,1
PHL,Philippines,Philippines,Forest Productivity and Distance to Markets,1.0,2.1830588235294117,1.7753152872345834,10,1
PER,Peru,Peru,Forest Productivity and Distance to Markets,8.0,7.500990063685178,2.074414344819692,10,1
PRY,Paraguay,Paraguay,Forest Productivity and Distance to Markets,6.0,5.85143144148669,3.2436201275874286,10,1
PNG,Papua New Guinea,Papua New Guinea,Forest Productivity and Distance to Markets,10.0,9.040803897685748,2.2088616792594613,10,1
PAN,Panama,Panama,Forest Productivity and Distance to Markets,3.0,3.6528040327662255,2.796466289158222,10,1
PLW,Palau,Palau,Forest Productivity and Distance to Markets,9.5,9.5,0.5,10,9
PAK,Pakistan,Pakistan,Forest Productivity and Distance to Markets,8.0,7.839276232487848,1.5204974278191743,10,3
OMN,Oman,Oman,Forest Productivity and Distance to Markets,8.0,8.878414568826996,1.0096349197588337,10,5
NOR,Norway,Norway,Forest Productivity and Distance to Markets,10.0,9.177695687731312,1.6055498630154048,10,1
PRK,North Korea,North Korea,Forest Productivity and Distance to Markets,3.0,3.59467758444217,1.5288808015286302,10,1
NGA,Nigeria,Nigeria,Forest Productivity and Distance to Markets,6.0,5.371863001856137,1.7526528176033505,10,1
NER,Niger,Niger,Forest Productivity and Distance to Markets,10.0,9.385811503000147,1.004428539199255,10,6
NIC,Nicaragua,Nicaragua,Forest Productivity and Distance to Markets,3.0,4.31980319803198,2.9581500277440935,10,1
NZ1,New Zealand,New Zealand,Forest Productivity and Distance to Markets,3.0,2.965161099031429,2.3883285767938713,10,1
NL1,Netherlands,Netherlands,Forest Productivity and Distance to Markets,6.0,6.859598160251755,1.2349865201292671,10,3
NL1,Netherlands,Aruba,Forest Productivity and Distance to Markets,8.0,8.0,0.0,8,8
NL1,Netherlands,Curaçao,Forest Productivity and Distance to Markets,8.0,8.0,0.0,8,8
NPL,Nepal,Nepal,Forest Productivity and Distance to Markets,3.0,3.652288732394366,2.526160369096978,10,1
NRU,Nauru,Nauru,Forest Productivity and Distance to Markets,9.0,9.0,0.0,9,9
NAM,Namibia,Namibia,Forest Productivity and Distance to Markets,10.0,8.953436587658963,1.3435938328226078,10,3
MOZ,Mozambique,Mozambique,Forest Productivity and Distance to Markets,3.0,2.8324707686409814,1.7242236304685636,10,1
MAR,Morocco,Morocco,Forest Productivity and Distance to Markets,8.0,7.864024315362888,1.6001193819511816,10,1
SAH,Western Sahara,Western Sahara,Forest Productivity and Distance to Markets,10.0,9.998911386893099,0.032976173647124206,10,9
MNE,Montenegro,Montenegro,Forest Productivity and Distance to Markets,3.0,2.5531514581373473,1.2957514128886944,6,1
MNG,Mongolia,Mongolia,Forest Productivity and Distance to Markets,10.0,9.508576978561125,0.9908966728139542,10,6
MDA,Moldova,Moldova,Forest Productivity and Distance to Markets,6.0,6.081090063143901,0.3833585573764524,8,6
MCO,Monaco,Monaco,Forest Productivity and Distance to Markets,6.0,6.0,0.0,6,6
MEX,Mexico,Mexico,Forest Productivity and Distance to Markets,6.0,4.41494257513675,2.7793508144009196,10,1
MUS,Mauritius,Mauritius,Forest Productivity and Distance to Markets,10.0,10.0,0.0,10,10
MRT,Mauritania,Mauritania,Forest Productivity and Distance to Markets,10.0,9.669566972847482,0.7436209280394829,10,5
MLT,Malta,Malta,Forest Productivity and Distance to Markets,8.0,8.0,0.0,8,8
MLI,Mali,Mali,Forest Productivity and Distance to Markets,10.0,8.706629929395557,1.7861865326873587,10,3
MDV,Maldives,Maldives,Forest Productivity and Distance to Markets,10.0,10.0,0.0,10,10
MYS,Malaysia,Malaysia,Forest Productivity and Distance to Markets,3.0,3.9093743203074025,3.5389180517970726,10,1
MWI,Malawi,Malawi,Forest Productivity and Distance to Markets,3.0,4.037183842959608,1.6247469694651342,10,1
MDG,Madagascar,Madagascar,Forest Productivity and Distance to Markets,6.0,4.412240390438531,2.3702671969204885,10,1
MKD,North Macedonia,North Macedonia,Forest Productivity and Distance to Markets,3.0,3.0416008425487098,0.9269567588482405,6,1
LUX,Luxembourg,Luxembourg,Forest Productivity and Distance to Markets,3.0,3.5057471264367814,1.077888846390821,6,3
LTU,Lithuania,Lithuania,Forest Productivity and Distance to Markets,3.0,3.226157712097643,0.8017990066211864,10,1
LIE,Liechtenstein,Liechtenstein,Forest Productivity and Distance to Markets,6.0,6.0,0.0,6,6
LBY,Libya,Libya,Forest Productivity and Distance to Markets,10.0,9.70649483457869,0.7373831963957241,10,5
LBR,Liberia,Liberia,Forest Productivity and Distance to Markets,1.0,3.5272234540527223,3.693069683567911,10,1
LSO,Lesotho,Lesotho,Forest Productivity and Distance to Markets,8.0,7.486177884615385,1.2417230998973168,10,5
LBN,Lebanon,Lebanon,Forest Productivity and Distance to Markets,6.0,6.430213464696223,0.8356624976230802,8,5
LVA,Latvia,Latvia,Forest Productivity and Distance to Markets,3.0,2.7940686437854048,1.4128857202903073,10,1
LAO,Laos,Laos,Forest Productivity and Distance to Markets,1.0,2.0296157450796626,1.9462949066353334,10,1
KGZ,Kyrgyzstan,Kyrgyzstan,Forest Productivity and Distance to Markets,8.0,8.112406496394636,0.8587288990465319,10,6
KWT,Kuwait,Kuwait,Forest Productivity and Distance to Markets,8.0,8.71754932502596,0.9301533591030775,10,5
KIR,Kiribati,Kiribati,Forest Productivity and Distance to Markets,10.0,9.707317073170731,0.454994100150674,10,9
KEN,Kenya,Kenya,Forest Productivity and Distance to Markets,6.0,6.917068079640334,2.411026428017392,10,1
JOR,Jordan,Jordan,Forest Productivity and Distance to Markets,9.0,8.956009426551454,1.0351393027934221,10,6
JPN,Japan,Japan,Forest Productivity and Distance to Markets,1.0,2.409664710139101,1.8746339633994755,10,1
JAM,Jamaica,Jamaica,Forest Productivity and Distance to Markets,1.0,1.0,0.0,1,1
ITA,Italy,Italy,Forest Productivity and Distance to Markets,3.0,4.252174283765348,1.7799209440785586,10,1
IS1,Israel,Palestine,Forest Productivity and Distance to Markets,8.0,7.535135135135135,0.8154641245911753,8,6
IRL,Ireland,Ireland,Forest Productivity and Distance to Markets,6.0,5.440274314214464,1.1417267949810264,10,1
