SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
ZMB,Zambia,Zambia,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
YEM,Yemen,Yemen,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
VNM,Vietnam,Vietnam,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
VEN,Venezuela,Venezuela,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
VAT,Vatican,Vatican,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
UZB,Uzbekistan,Uzbekistan,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
URY,Uruguay,Uruguay,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
FSM,Federated States of Micronesia,Federated States of Micronesia,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
MHL,Marshall Islands,Marshall Islands,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
US1,United States of America,United States of America,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
GB1,United Kingdom,Jersey,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
GB1,United Kingdom,Guernsey,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
GB1,United Kingdom,Isle of Man,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
GB1,United Kingdom,United Kingdom,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
ARE,United Arab Emirates,United Arab Emirates,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
UKR,Ukraine,Ukraine,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
UGA,Uganda,Uganda,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
TKM,Turkmenistan,Turkmenistan,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
TUR,Turkey,Turkey,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
TUN,Tunisia,Tunisia,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
TTO,Trinidad and Tobago,Trinidad and Tobago,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
TON,Tonga,Tonga,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
TGO,Togo,Togo,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
TLS,East Timor,East Timor,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
THA,Thailand,Thailand,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
TZA,United Republic of Tanzania,United Republic of Tanzania,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
TJK,Tajikistan,Tajikistan,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
TWN,Taiwan,Taiwan,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
SYR,Syria,Syria,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
CHE,Switzerland,Switzerland,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
SWE,Sweden,Sweden,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
SWZ,eSwatini,eSwatini,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
SUR,Suriname,Suriname,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
SDS,South Sudan,South Sudan,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
SDN,Sudan,Sudan,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
LKA,Sri Lanka,Sri Lanka,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
ESP,Spain,Spain,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
KOR,South Korea,South Korea,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
ZAF,South Africa,South Africa,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
SOM,Somalia,Somalia,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
SOL,Somaliland,Somaliland,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
SLB,Solomon Islands,Solomon Islands,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
SVK,Slovakia,Slovakia,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
SVN,Slovenia,Slovenia,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
SGP,Singapore,Singapore,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
SLE,Sierra Leone,Sierra Leone,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
SYC,Seychelles,Seychelles,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
SRB,Republic of Serbia,Republic of Serbia,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
SEN,Senegal,Senegal,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
SAU,Saudi Arabia,Saudi Arabia,Indigenous Peoples (IPs) and Local Communities (LCs) Lands and Territories,10.0,10.0,0.0,10,10
