SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Invasives,3.0,3.0533938135315335,0.4962882363739988,8,3
ZMB,Zambia,Zambia,Invasives,3.0,2.9493127403917825,0.39563766859727123,6,1
YEM,Yemen,Yemen,Invasives,1.0,1.0595810856781844,0.3371473678068921,3,1
VNM,Vietnam,Vietnam,Invasives,1.0,1.2406855932764211,0.8942357817322379,6,1
VEN,Venezuela,Venezuela,Invasives,3.0,3.0284093825386234,0.25337382717545015,6,3
VAT,Vatican,Vatican,Invasives,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Invasives,6.0,5.812015503875969,0.4956506644351228,6,3
UZB,Uzbekistan,Uzbekistan,Invasives,1.0,1.0,0.0,1,1
URY,Uruguay,Uruguay,Invasives,3.0,3.156700835231587,0.6541357622010454,6,1
FSM,Federated States of Micronesia,Federated States of Micronesia,Invasives,6.0,5.269230769230769,1.1285692885477854,6,1
MHL,Marshall Islands,Marshall Islands,Invasives,1.0,1.0,0.0,1,1
US1,United States of America,United States of America,Invasives,10.0,9.951003817497359,0.43468876947415497,10,1
GB1,United Kingdom,Jersey,Invasives,8.0,8.0,0.0,8,8
GB1,United Kingdom,Guernsey,Invasives,8.0,8.0,0.0,8,8
GB1,United Kingdom,Isle of Man,Invasives,1.0,1.2272727272727273,0.7938295089351355,4,1
GB1,United Kingdom,United Kingdom,Invasives,8.0,7.894192142711241,0.7127210585236752,8,3
ARE,United Arab Emirates,United Arab Emirates,Invasives,1.0,1.1024281328495673,0.43864686615914494,3,1
UKR,Ukraine,Ukraine,Invasives,3.0,3.0314300025043828,0.4588886849628466,10,1
UGA,Uganda,Uganda,Invasives,3.0,3.133955773955774,0.740702786013848,6,1
TKM,Turkmenistan,Turkmenistan,Invasives,1.0,1.0375011433275405,0.35026106450553396,10,1
TUR,Turkey,Turkey,Invasives,3.0,3.024151472133626,0.35015375267664983,10,1
TUN,Tunisia,Tunisia,Invasives,3.0,3.0140727613885123,0.47529393399839304,10,1
TTO,Trinidad and Tobago,Trinidad and Tobago,Invasives,3.0,3.229357798165138,0.6077938376165829,6,3
TON,Tonga,Tonga,Invasives,1.0,1.0,0.0,1,1
TGO,Togo,Togo,Invasives,1.0,1.4386465552384835,0.8236259373633598,3,1
TLS,East Timor,East Timor,Invasives,1.0,1.4717868338557993,1.6726605629801015,8,1
THA,Thailand,Thailand,Invasives,6.0,5.892761970257028,0.5240474042778379,6,1
TZA,United Republic of Tanzania,United Republic of Tanzania,Invasives,6.0,5.907008589568032,0.5846638954003854,6,1
TJK,Tajikistan,Tajikistan,Invasives,1.0,1.0368658862189362,0.41035141991441376,6,1
TWN,Taiwan,Taiwan,Invasives,6.0,5.93322203672788,0.4272224254216578,6,1
SYR,Syria,Syria,Invasives,3.0,3.003355415985546,0.0834127213116849,6,3
CHE,Switzerland,Switzerland,Invasives,6.0,6.127366143861547,0.8984408323401825,8,3
SWE,Sweden,Sweden,Invasives,3.0,3.020484315657768,0.23087802591558235,8,3
SWZ,eSwatini,eSwatini,Invasives,1.0,3.374011299435028,3.1881139173741593,8,1
