SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Labor,10.0,9.854301016504536,0.6523776481478192,10,6
ZMB,Zambia,Zambia,Labor,8.0,7.997286740809207,0.24240470980373297,10,6
YEM,Yemen,Yemen,Labor,10.0,9.908781649414395,0.3881276906382884,10,8
VNM,Vietnam,Vietnam,Labor,8.0,8.112500827211965,0.4481410801863881,10,5
VEN,Venezuela,Venezuela,Labor,6.0,6.058024944823693,0.338158419016188,10,5
VAT,Vatican,Vatican,Labor,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Labor,8.0,7.905038759689923,0.48293935939647287,10,5
UZB,Uzbekistan,Uzbekistan,Labor,8.0,7.905305952875541,0.4161137711409501,8,6
URY,Uruguay,Uruguay,Labor,1.0,1.2581624905087319,1.2129003979170334,10,1
FSM,Federated States of Micronesia,Federated States of Micronesia,Labor,8.0,7.846153846153846,0.455083060238432,8,6
MHL,Marshall Islands,Marshall Islands,Labor,6.0,6.583333333333333,2.0190069065976193,10,5
US1,United States of America,United States of America,Labor,10.0,9.954411863709053,0.38588555340666614,10,5
GB1,United Kingdom,Jersey,Labor,3.0,2.857142857142857,0.5150787536377127,3,1
GB1,United Kingdom,Guernsey,Labor,3.0,3.0,0.0,3,3
GB1,United Kingdom,Isle of Man,Labor,6.0,5.954545454545454,0.20829889522526546,6,5
GB1,United Kingdom,United Kingdom,Labor,6.0,5.927589024307211,0.4676132432409881,10,1
ARE,United Arab Emirates,United Arab Emirates,Labor,10.0,9.715601451297795,0.6605163532274978,10,5
UKR,Ukraine,Ukraine,Labor,8.0,7.98014382311903,0.39025827511930744,10,3
UGA,Uganda,Uganda,Labor,8.0,8.067813267813268,0.34672335589661507,10,6
TKM,Turkmenistan,Turkmenistan,Labor,6.0,6.1684502576298055,0.6742377566815697,10,5
TUR,Turkey,Turkey,Labor,8.0,8.018141258457625,0.2885494741937629,10,5
TUN,Tunisia,Tunisia,Labor,6.0,6.344313561972271,1.0789598282307082,10,5
TTO,Trinidad and Tobago,Trinidad and Tobago,Labor,10.0,9.86697247706422,0.3396044774106348,10,9
TON,Tonga,Tonga,Labor,10.0,10.0,0.0,10,10
TGO,Togo,Togo,Labor,6.0,5.999184671830411,0.028542309114087724,6,5
TLS,East Timor,East Timor,Labor,8.0,8.11128526645768,0.48016903058547306,10,7
THA,Thailand,Thailand,Labor,8.0,8.049987105647727,0.30602316261444995,10,5
TZA,United Republic of Tanzania,United Republic of Tanzania,Labor,8.0,7.992331632017926,0.25056332115389296,10,5
TJK,Tajikistan,Tajikistan,Labor,8.0,8.165639761758062,0.595890550168626,10,6
TWN,Taiwan,Taiwan,Labor,10.0,9.954924874791319,0.20746893332762584,10,9
SYR,Syria,Syria,Labor,10.0,9.919125871117611,0.379730148533291,10,6
CHE,Switzerland,Switzerland,Labor,3.0,2.814223904813413,0.5789184033533235,3,1
SWE,Sweden,Sweden,Labor,3.0,2.998693432839126,0.1746836767153683,10,1
SWZ,eSwatini,eSwatini,Labor,8.0,7.311864406779661,0.9168389712095592,8,6
SUR,Suriname,Suriname,Labor,8.0,7.971125611745514,0.23477775172396664,10,5
SDS,South Sudan,South Sudan,Labor,10.0,9.967800180559735,0.23050182685117893,10,6
SDN,Sudan,Sudan,Labor,10.0,9.963831947855658,0.2763639307190058,10,6
LKA,Sri Lanka,Sri Lanka,Labor,6.0,5.985780305723427,0.16803924793876848,10,5
ESP,Spain,Spain,Labor,3.0,3.0331543182814555,0.39650915631168293,10,1
KOR,South Korea,South Korea,Labor,10.0,9.891650732950923,0.39883564169924385,10,8
ZAF,South Africa,South Africa,Labor,6.0,6.02095973524545,0.21733475884866832,10,5
SOM,Somalia,Somalia,Labor,10.0,9.94186916820518,0.3052423212054795,10,8
SOL,Somaliland,Somaliland,Labor,10.0,9.936830541060148,0.31289727263982653,10,8
SLB,Solomon Islands,Solomon Islands,Labor,8.0,7.9582955575702625,0.32719250774493164,10,5
SVK,Slovakia,Slovakia,Labor,3.0,3.131052291801162,0.5762663293588483,6,3
SVN,Slovenia,Slovenia,Labor,6.0,5.899659863945578,0.5157605593705755,10,1
SGP,Singapore,Singapore,Labor,10.0,9.818181818181818,0.385694607919935,10,9
SLE,Sierra Leone,Sierra Leone,Labor,8.0,7.838197146562905,0.5287641834050785,10,6
SYC,Seychelles,Seychelles,Labor,10.0,10.0,0.0,10,10
SRB,Republic of Serbia,Republic of Serbia,Labor,6.0,6.121758380771664,0.7282852725006442,8,3
SEN,Senegal,Senegal,Labor,6.0,6.07985913892991,0.3943338064323266,10,5
SAU,Saudi Arabia,Saudi Arabia,Labor,8.0,8.02939634704135,0.23676543715969348,10,5
STP,São Tomé and Principe,São Tomé and Principe,Labor,8.0,7.977777777777778,0.14740554623801777,8,7
SMR,San Marino,San Marino,Labor,1.0,1.0,0.0,1,1
WSM,Samoa,Samoa,Labor,10.0,10.0,0.0,10,10
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Labor,6.0,5.857142857142857,0.3499271061118826,6,5
LCA,Saint Lucia,Saint Lucia,Labor,6.0,5.875,0.33071891388307384,6,5
