SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,"Land, Freshwater and Sea Use Change",8.0,6.882282216635698,1.8932379612310737,10,1
ZMB,Zambia,Zambia,"Land, Freshwater and Sea Use Change",4.0,3.7832672411222754,2.727928236186271,10,1
YEM,Yemen,Yemen,"Land, Freshwater and Sea Use Change",2.0,2.2782718569276375,1.2507589249270246,8,1
VNM,Vietnam,Vietnam,"Land, Freshwater and Sea Use Change",4.0,4.242869432863477,1.8352980823600533,10,1
VEN,Venezuela,Venezuela,"Land, Freshwater and Sea Use Change",2.0,2.589821896011908,1.7128089813758216,8,1
VAT,Vatican,Vatican,"Land, Freshwater and Sea Use Change",--,--,--,--,--
VUT,Vanuatu,Vanuatu,"Land, Freshwater and Sea Use Change",1.0,1.178294573643411,0.5491305658426306,3,1
UZB,Uzbekistan,Uzbekistan,"Land, Freshwater and Sea Use Change",2.0,3.1491483174075614,2.406272471326709,9,1
URY,Uruguay,Uruguay,"Land, Freshwater and Sea Use Change",5.0,5.960990888382688,2.3721477548971364,10,2
FSM,Federated States of Micronesia,Federated States of Micronesia,"Land, Freshwater and Sea Use Change",1.0,1.3076923076923077,0.6661733875264914,3,1
MHL,Marshall Islands,Marshall Islands,"Land, Freshwater and Sea Use Change",3.0,3.0,0.0,3,3
US1,United States of America,United States of America,"Land, Freshwater and Sea Use Change",3.0,3.252802422714716,2.2346420051927702,10,1
GB1,United Kingdom,Jersey,"Land, Freshwater and Sea Use Change",6.0,5.857142857142857,0.8329931278350429,8,5
GB1,United Kingdom,Guernsey,"Land, Freshwater and Sea Use Change",5.5,5.5,0.5,6,5
GB1,United Kingdom,Isle of Man,"Land, Freshwater and Sea Use Change",5.0,5.181818181818182,0.4231587892051194,7,5
GB1,United Kingdom,United Kingdom,"Land, Freshwater and Sea Use Change",5.0,4.678252876693675,1.5557562387973305,10,1
ARE,United Arab Emirates,United Arab Emirates,"Land, Freshwater and Sea Use Change",2.0,1.978230533072844,1.0176096694992955,8,1
UKR,Ukraine,Ukraine,"Land, Freshwater and Sea Use Change",7.0,5.884834174090372,2.286728076985,10,1
UGA,Uganda,Uganda,"Land, Freshwater and Sea Use Change",5.0,5.208353808353809,2.3576586463078293,10,1
TKM,Turkmenistan,Turkmenistan,"Land, Freshwater and Sea Use Change",3.0,3.799749992377816,2.3619722075475478,10,1
TUR,Turkey,Turkey,"Land, Freshwater and Sea Use Change",5.0,4.688206338378717,1.8287970213455529,10,1
TUN,Tunisia,Tunisia,"Land, Freshwater and Sea Use Change",3.0,3.506306681955593,2.2200405520440087,10,1
TTO,Trinidad and Tobago,Trinidad and Tobago,"Land, Freshwater and Sea Use Change",2.0,2.1743119266055047,0.7274945908843673,6,2
TON,Tonga,Tonga,"Land, Freshwater and Sea Use Change",3.0,3.0,0.0,3,3
TGO,Togo,Togo,"Land, Freshwater and Sea Use Change",8.0,6.6408479412963715,2.214596634532362,10,1
