SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Landslides,3.0,2.640671111596896,0.7662122692814439,3,1
ZMB,Zambia,Zambia,Landslides,3.0,2.341155073198366,0.9375455885428455,3,1
YEM,Yemen,Yemen,Landslides,3.0,4.693978714098265,2.4141777209361392,10,1
VNM,Vietnam,Vietnam,Landslides,8.0,7.095228641387069,3.013787895049127,10,1
VEN,Venezuela,Venezuela,Landslides,3.0,3.7766257763178155,2.201529419649918,10,1
VAT,Vatican,Vatican,Landslides,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Landslides,10.0,9.2984496124031,0.9107867368485498,10,5
UZB,Uzbekistan,Uzbekistan,Landslides,3.0,3.2651492670188142,2.509722865976124,10,1
URY,Uruguay,Uruguay,Landslides,1.0,1.7755315110098708,0.9820973415415301,10,1
FSM,Federated States of Micronesia,Federated States of Micronesia,Landslides,8.0,7.846153846153846,0.455083060238432,8,6
MHL,Marshall Islands,Marshall Islands,Landslides,1.0,3.25,3.897114317029974,10,1
US1,United States of America,United States of America,Landslides,3.0,3.5480740896885634,2.4187805182891196,63,1
GB1,United Kingdom,Jersey,Landslides,3.0,2.857142857142857,0.5150787536377127,3,1
GB1,United Kingdom,Guernsey,Landslides,3.0,3.0,0.0,3,3
GB1,United Kingdom,Isle of Man,Landslides,3.0,2.9696969696969697,0.2443108408575318,3,1
GB1,United Kingdom,United Kingdom,Landslides,3.0,2.9930550827262206,0.8648075644560557,10,1
ARE,United Arab Emirates,United Arab Emirates,Landslides,3.0,3.4850683784538097,1.667518253220877,10,1
UKR,Ukraine,Ukraine,Landslides,3.0,2.7896497441951986,1.318439574617331,10,1
UGA,Uganda,Uganda,Landslides,3.0,2.983783783783784,0.7618885319183704,8,1
TKM,Turkmenistan,Turkmenistan,Landslides,3.0,3.4366901429921644,1.830830471149514,10,1
TUR,Turkey,Turkey,Landslides,8.0,7.674692575726849,2.680352164385978,10,1
TUN,Tunisia,Tunisia,Landslides,3.0,2.826540185551965,0.7923960308408445,10,1
TTO,Trinidad and Tobago,Trinidad and Tobago,Landslides,8.0,7.995412844036697,0.17913416687859302,10,7
TON,Tonga,Tonga,Landslides,10.0,10.0,0.0,10,10
TGO,Togo,Togo,Landslides,3.0,2.9131675499388505,0.4050761722376503,3,1
TLS,East Timor,East Timor,Landslides,8.0,8.078369905956112,0.3960650984739059,10,7
THA,Thailand,Thailand,Landslides,3.0,4.386099888248947,2.4714710607560324,10,1
TZA,United Republic of Tanzania,United Republic of Tanzania,Landslides,3.0,3.091671853603884,1.17310905008731,63,1
TJK,Tajikistan,Tajikistan,Landslides,10.0,9.232491271308277,1.7514961407111547,10,3
TWN,Taiwan,Taiwan,Landslides,10.0,9.567056204785754,0.867123416944387,10,3
SYR,Syria,Syria,Landslides,3.0,3.207433536952594,1.5463494336015726,10,1
CHE,Switzerland,Switzerland,Landslides,10.0,8.637912385073012,1.9209756092684283,10,3
SWE,Sweden,Sweden,Landslides,3.0,3.025821310331846,0.4809870938137314,10,1
SWZ,eSwatini,eSwatini,Landslides,3.0,3.0,0.0,3,3
SUR,Suriname,Suriname,Landslides,3.0,2.8270799347471454,0.5783907374432888,10,1
SDS,South Sudan,South Sudan,Landslides,3.0,2.034155883238038,0.9967783354541974,3,1
SDN,Sudan,Sudan,Landslides,3.0,2.561933213678443,0.9000910504976218,10,1
LKA,Sri Lanka,Sri Lanka,Landslides,3.0,2.9580519018841094,0.35627038926557697,10,1
ESP,Spain,Spain,Landslides,3.0,4.4470078912757565,2.327390097108799,10,1
KOR,South Korea,South Korea,Landslides,8.0,7.581261950286807,1.708130950969116,10,1
ZAF,South Africa,South Africa,Landslides,3.0,2.9181884587289995,1.3898166927124096,10,1
SOM,Somalia,Somalia,Landslides,3.0,2.2329724065665384,1.5129343021993258,10,1
SOL,Somaliland,Somaliland,Landslides,3.0,3.1950013732491076,1.1839294018718454,10,1
SLB,Solomon Islands,Solomon Islands,Landslides,10.0,9.178603807796918,0.9386507986073457,10,6
SVK,Slovakia,Slovakia,Landslides,8.0,6.357865289434043,2.4887900178376117,10,1
SVN,Slovenia,Slovenia,Landslides,8.0,8.449546485260772,1.721958628330074,10,3
SGP,Singapore,Singapore,Landslides,3.0,3.0,0.0,3,3
SLE,Sierra Leone,Sierra Leone,Landslides,3.0,2.992217898832685,0.1886992384323518,10,1
SYC,Seychelles,Seychelles,Landslides,10.0,10.0,0.0,10,10
SRB,Republic of Serbia,Republic of Serbia,Landslides,8.0,5.603415559772296,2.7277176800250205,10,1
SEN,Senegal,Senegal,Landslides,1.0,1.351130296489833,0.7645484890364482,10,1
SAU,Saudi Arabia,Saudi Arabia,Landslides,3.0,2.68600384413769,1.1360410999026034,10,1
STP,São Tomé and Principe,São Tomé and Principe,Landslides,8.0,7.977777777777778,0.14740554623801777,8,7
SMR,San Marino,San Marino,Landslides,8.0,8.0,0.0,8,8
WSM,Samoa,Samoa,Landslides,10.0,10.0,0.0,10,10
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Landslides,3.0,3.0,0.0,3,3
LCA,Saint Lucia,Saint Lucia,Landslides,3.0,3.0,0.0,3,3
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,Landslides,8.0,8.0,0.0,8,8
RWA,Rwanda,Rwanda,Landslides,8.0,6.254460093896713,2.3561011230269022,10,3
RUS,Russia,Russia,Landslides,3.0,2.6761958481801527,1.9882635168458762,63,1
ROU,Romania,Romania,Landslides,3.0,5.34561170865871,2.564495701065665,10,1
QAT,Qatar,Qatar,Landslides,3.0,2.2751322751322753,1.010595861286285,10,1
PRT,Portugal,Portugal,Landslides,3.0,5.239225484072454,2.5375846419116477,10,1
POL,Poland,Poland,Landslides,3.0,2.59591778065258,1.1217429855857677,10,1
PHL,Philippines,Philippines,Landslides,8.0,8.427058823529412,1.681214889995837,10,1
PER,Peru,Peru,Landslides,8.0,6.317748006493391,3.0067215509667786,10,1
PRY,Paraguay,Paraguay,Landslides,1.0,1.8443495730788548,0.9846802244885459,3,1
PNG,Papua New Guinea,Papua New Guinea,Landslides,8.0,6.805217214778725,2.740802576845259,10,1
PAN,Panama,Panama,Landslides,8.0,7.850346565847511,2.0493220956976965,10,1
PLW,Palau,Palau,Landslides,8.0,8.0625,0.5555121510822243,10,7
PAK,Pakistan,Pakistan,Landslides,3.0,5.24114691826982,3.1371544245073597,10,1
OMN,Oman,Oman,Landslides,3.0,3.175615961435458,2.0377128493676335,10,1
NOR,Norway,Norway,Landslides,3.0,3.3071538472201043,2.8648156639426214,10,1
PRK,North Korea,North Korea,Landslides,3.0,4.852610030706243,2.388583640857183,10,1
NGA,Nigeria,Nigeria,Landslides,3.0,2.697831116987465,0.7544695908753523,8,1
NER,Niger,Niger,Landslides,3.0,2.2129738036001756,0.9737946368598166,3,1
NIC,Nicaragua,Nicaragua,Landslides,8.0,5.796345106308206,2.537678254962442,10,1
NZ1,New Zealand,New Zealand,Landslides,8.0,7.676566515121565,2.826837888033188,10,1
NL1,Netherlands,Netherlands,Landslides,3.0,2.5291696925683853,1.8317802262817005,10,1
NL1,Netherlands,Aruba,Landslides,3.0,3.0,0.0,3,3
NL1,Netherlands,Curaçao,Landslides,3.0,3.0,0.0,3,3
NPL,Nepal,Nepal,Landslides,10.0,8.533324949698189,2.5277426706640496,10,3
NRU,Nauru,Nauru,Landslides,1.0,1.0,0.0,1,1
NAM,Namibia,Namibia,Landslides,3.0,2.4247117620861993,1.2257383516499898,10,1
MOZ,Mozambique,Mozambique,Landslides,3.0,2.588022673129056,1.0630446053657636,63,1
MAR,Morocco,Morocco,Landslides,3.0,3.50678496868476,1.8292375930933014,10,1
SAH,Western Sahara,Western Sahara,Landslides,3.0,2.6311778793816676,0.7736707102378477,3,1
MNE,Montenegro,Montenegro,Landslides,8.0,8.049858889934148,0.6182832716341169,10,3
MNG,Mongolia,Mongolia,Landslides,3.0,3.933612329138874,2.168878175077216,10,1
MDA,Moldova,Moldova,Landslides,3.0,2.9877035559986704,0.1531165454629254,3,1
MCO,Monaco,Monaco,Landslides,10.0,10.0,0.0,10,10
MEX,Mexico,Mexico,Landslides,3.0,4.739105423571443,2.8460215509509648,10,1
MUS,Mauritius,Mauritius,Landslides,10.0,10.0,0.0,10,10
MRT,Mauritania,Mauritania,Landslides,1.0,1.8935298273947714,0.9912962936337858,3,1
MLT,Malta,Malta,Landslides,3.0,3.0,0.0,3,3
MLI,Mali,Mali,Landslides,1.0,1.6871189943172034,0.9473869422718886,3,1
MDV,Maldives,Maldives,Landslides,10.0,10.0,0.0,10,10
MYS,Malaysia,Malaysia,Landslides,8.0,7.349960124700935,2.7710131574054935,10,1
MWI,Malawi,Malawi,Landslides,3.0,3.8229520573801437,2.0142906314124285,63,1
MDG,Madagascar,Madagascar,Landslides,3.0,4.791884863382138,2.4184920405493395,10,1
MKD,North Macedonia,North Macedonia,Landslides,8.0,6.866245392311743,2.06910959035957,10,3
LUX,Luxembourg,Luxembourg,Landslides,3.0,3.0,0.0,3,3
LTU,Lithuania,Lithuania,Landslides,1.0,1.008017231063779,0.2316530555591735,10,1
