SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Limited Marine Fish Availability,10.0,10.0,0.0,10,10
ZMB,Zambia,Zambia,Limited Marine Fish Availability,10.0,10.0,0.0,10,10
YEM,Yemen,Yemen,Limited Marine Fish Availability,10.0,9.968411333041745,0.36752743269874016,10,5
VNM,Vietnam,Vietnam,Limited Marine Fish Availability,10.0,9.91588908741976,0.6359873042043842,10,5
VEN,Venezuela,Venezuela,Limited Marine Fish Availability,10.0,9.993173535903095,0.08233992643206975,10,9
VAT,Vatican,Vatican,Limited Marine Fish Availability,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Limited Marine Fish Availability,10.0,9.763565891472869,0.4248917754583068,10,9
UZB,Uzbekistan,Uzbekistan,Limited Marine Fish Availability,10.0,10.0,0.0,10,10
URY,Uruguay,Uruguay,Limited Marine Fish Availability,10.0,9.989749430523919,0.10072484947369253,10,9
FSM,Federated States of Micronesia,Federated States of Micronesia,Limited Marine Fish Availability,10.0,9.538461538461538,0.4985185152621431,10,9
MHL,Marshall Islands,Marshall Islands,Limited Marine Fish Availability,9.0,9.25,0.4330127018922193,10,9
US1,United States of America,United States of America,Limited Marine Fish Availability,10.0,9.977369822677854,0.3839344853862026,10,1
GB1,United Kingdom,Jersey,Limited Marine Fish Availability,9.0,9.357142857142858,0.47915742374995496,10,9
GB1,United Kingdom,Guernsey,Limited Marine Fish Availability,9.5,9.5,0.5,10,9
GB1,United Kingdom,Isle of Man,Limited Marine Fish Availability,10.0,9.833333333333334,0.3726779962499649,10,9
GB1,United Kingdom,United Kingdom,Limited Marine Fish Availability,10.0,9.961496561585076,0.19240822135541108,10,9
ARE,United Arab Emirates,United Arab Emirates,Limited Marine Fish Availability,10.0,9.961763885012559,0.27234709893083603,10,5
UKR,Ukraine,Ukraine,Limited Marine Fish Availability,10.0,9.997263067511001,0.0522440588923685,10,9
UGA,Uganda,Uganda,Limited Marine Fish Availability,10.0,10.0,0.0,10,10
TKM,Turkmenistan,Turkmenistan,Limited Marine Fish Availability,10.0,10.0,0.0,10,10
TUR,Turkey,Turkey,Limited Marine Fish Availability,10.0,9.989122619420733,0.10372590405005105,10,9
TUN,Tunisia,Tunisia,Limited Marine Fish Availability,10.0,9.984050870426353,0.12527870864392904,10,9
TTO,Trinidad and Tobago,Trinidad and Tobago,Limited Marine Fish Availability,10.0,9.86697247706422,0.3396044774106348,10,9
TON,Tonga,Tonga,Limited Marine Fish Availability,6.0,6.0,0.0,6,6
TGO,Togo,Togo,Limited Marine Fish Availability,10.0,9.997554015491236,0.049396373030291006,10,9
TLS,East Timor,East Timor,Limited Marine Fish Availability,10.0,9.67398119122257,1.0683448128505433,10,5
THA,Thailand,Thailand,Limited Marine Fish Availability,10.0,9.971460500300868,0.3098049408227627,10,5
TZA,United Republic of Tanzania,United Republic of Tanzania,Limited Marine Fish Availability,10.0,9.99043943732105,0.19583162345802066,10,5
TJK,Tajikistan,Tajikistan,Limited Marine Fish Availability,10.0,10.0,0.0,10,10
TWN,Taiwan,Taiwan,Limited Marine Fish Availability,10.0,9.954924874791319,0.20746893332762584,10,9
SYR,Syria,Syria,Limited Marine Fish Availability,10.0,9.998881528004818,0.03342485625366189,10,9
CHE,Switzerland,Switzerland,Limited Marine Fish Availability,10.0,10.0,0.0,10,10
SWE,Sweden,Sweden,Limited Marine Fish Availability,10.0,9.990101092865922,0.09899958975485225,10,9
SWZ,eSwatini,eSwatini,Limited Marine Fish Availability,10.0,10.0,0.0,10,10
SUR,Suriname,Suriname,Limited Marine Fish Availability,10.0,9.995595432300163,0.06622059712215242,10,9
SDS,South Sudan,South Sudan,Limited Marine Fish Availability,10.0,10.0,0.0,10,10
SDN,Sudan,Sudan,Limited Marine Fish Availability,10.0,9.999232476856225,0.027693574200499414,10,9
LKA,Sri Lanka,Sri Lanka,Limited Marine Fish Availability,10.0,9.95805190188411,0.2004705843268536,10,9
ESP,Spain,Spain,Limited Marine Fish Availability,10.0,9.984107847435336,0.1709681915463182,10,5
KOR,South Korea,South Korea,Limited Marine Fish Availability,10.0,9.957934990439771,0.20073750155595554,10,9
