SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Limited Wild Flora & Fauna Availability,1.0,5.2405180894086785,7.8956000782122775,63,1
ZMB,Zambia,Zambia,Limited Wild Flora & Fauna Availability,1.0,3.1631235278332688,6.458413044565378,63,1
YEM,Yemen,Yemen,Limited Wild Flora & Fauna Availability,1.0,3.023181221752442,5.618269161179445,63,1
VNM,Vietnam,Vietnam,Limited Wild Flora & Fauna Availability,10.0,9.785123420025148,4.561053529704364,63,1
VEN,Venezuela,Venezuela,Limited Wild Flora & Fauna Availability,1.0,4.375173227942309,7.077514854193936,63,1
VAT,Vatican,Vatican,Limited Wild Flora & Fauna Availability,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Limited Wild Flora & Fauna Availability,1.0,1.0348837209302326,0.5592285886702814,10,1
UZB,Uzbekistan,Uzbekistan,Limited Wild Flora & Fauna Availability,1.0,2.2594219241498013,5.373182877516729,63,1
URY,Uruguay,Uruguay,Limited Wild Flora & Fauna Availability,10.0,9.005599848139711,8.02420567821054,63,1
FSM,Federated States of Micronesia,Federated States of Micronesia,Limited Wild Flora & Fauna Availability,1.0,1.0,0.0,1,1
MHL,Marshall Islands,Marshall Islands,Limited Wild Flora & Fauna Availability,1.0,3.25,3.897114317029974,10,1
US1,United States of America,United States of America,Limited Wild Flora & Fauna Availability,1.0,2.6713365434597627,5.486840745493106,63,1
GB1,United Kingdom,Jersey,Limited Wild Flora & Fauna Availability,9.0,9.357142857142858,0.47915742374995496,10,9
GB1,United Kingdom,Guernsey,Limited Wild Flora & Fauna Availability,9.5,9.5,0.5,10,9
GB1,United Kingdom,Isle of Man,Limited Wild Flora & Fauna Availability,10.0,9.833333333333334,0.3726779962499649,10,9
GB1,United Kingdom,United Kingdom,Limited Wild Flora & Fauna Availability,10.0,7.925376183018996,8.698376637685923,63,1
ARE,United Arab Emirates,United Arab Emirates,Limited Wild Flora & Fauna Availability,10.0,7.903991068936645,9.343731758386502,63,1
UKR,Ukraine,Ukraine,Limited Wild Flora & Fauna Availability,1.0,1.923222782726915,3.9389287835375604,63,1
UGA,Uganda,Uganda,Limited Wild Flora & Fauna Availability,10.0,6.566584766584767,7.824931105948423,63,1
TKM,Turkmenistan,Turkmenistan,Limited Wild Flora & Fauna Availability,1.0,2.3558340193298575,5.772008192506227,63,1
TUR,Turkey,Turkey,Limited Wild Flora & Fauna Availability,1.0,5.969801441713833,8.10492908413232,63,1
TUN,Tunisia,Tunisia,Limited Wild Flora & Fauna Availability,1.0,6.019180652559157,8.723968564586281,63,1
TTO,Trinidad and Tobago,Trinidad and Tobago,Limited Wild Flora & Fauna Availability,10.0,9.86697247706422,0.3396044774106348,10,9
TON,Tonga,Tonga,Limited Wild Flora & Fauna Availability,10.0,10.0,0.0,10,10
TGO,Togo,Togo,Limited Wild Flora & Fauna Availability,1.0,5.239706481858948,8.645225951495549,63,1
TLS,East Timor,East Timor,Limited Wild Flora & Fauna Availability,1.0,1.9294670846394983,5.28495617625792,63,1
THA,Thailand,Thailand,Limited Wild Flora & Fauna Availability,10.0,9.942792057079,4.038640707810359,63,1
TZA,United Republic of Tanzania,United Republic of Tanzania,Limited Wild Flora & Fauna Availability,1.0,5.395120129465953,8.042686817367692,63,1
TJK,Tajikistan,Tajikistan,Limited Wild Flora & Fauna Availability,1.0,3.301704662148285,6.556433000413431,63,1
TWN,Taiwan,Taiwan,Limited Wild Flora & Fauna Availability,10.0,9.954924874791319,0.20746893332762584,10,9
SYR,Syria,Syria,Limited Wild Flora & Fauna Availability,1.0,4.2416759872666265,8.153785851213938,63,1
CHE,Switzerland,Switzerland,Limited Wild Flora & Fauna Availability,1.0,2.3009734991887507,6.050714471697581,63,1
SWE,Sweden,Sweden,Limited Wild Flora & Fauna Availability,1.0,1.097040293202529,1.3261851921460976,63,1
SWZ,eSwatini,eSwatini,Limited Wild Flora & Fauna Availability,10.0,10.403389830508475,10.353906428955094,63,1
SUR,Suriname,Suriname,Limited Wild Flora & Fauna Availability,1.0,1.8083197389885808,4.581681656501139,63,1
SDS,South Sudan,South Sudan,Limited Wild Flora & Fauna Availability,1.0,2.8410321998194403,6.496052535451877,63,1
SDN,Sudan,Sudan,Limited Wild Flora & Fauna Availability,1.0,1.6947973738900435,3.86837142894979,63,1
LKA,Sri Lanka,Sri Lanka,Limited Wild Flora & Fauna Availability,10.0,9.95805190188411,0.2004705843268536,10,9
ESP,Spain,Spain,Limited Wild Flora & Fauna Availability,10.0,7.477257781674704,8.666543384915558,63,1
KOR,South Korea,South Korea,Limited Wild Flora & Fauna Availability,10.0,7.3347673677501595,8.224809483443074,63,1
ZAF,South Africa,South Africa,Limited Wild Flora & Fauna Availability,1.0,4.31785453407075,6.802671032300007,63,1
SOM,Somalia,Somalia,Limited Wild Flora & Fauna Availability,1.0,1.7615388453669976,4.5241585168972716,63,1
SOL,Somaliland,Somaliland,Limited Wild Flora & Fauna Availability,1.0,4.643092556989838,7.824069700538314,63,1
SLB,Solomon Islands,Solomon Islands,Limited Wild Flora & Fauna Availability,1.0,3.054397098821396,3.7407772564515325,10,1
SVK,Slovakia,Slovakia,Limited Wild Flora & Fauna Availability,1.0,5.140090380890897,8.626304365051249,63,1
SVN,Slovenia,Slovenia,Limited Wild Flora & Fauna Availability,1.0,5.676303854875283,8.157191834740718,63,1
SGP,Singapore,Singapore,Limited Wild Flora & Fauna Availability,10.0,9.818181818181818,0.385694607919935,10,9
SLE,Sierra Leone,Sierra Leone,Limited Wild Flora & Fauna Availability,10.0,9.986381322957198,0.11590171991133448,10,9
SYC,Seychelles,Seychelles,Limited Wild Flora & Fauna Availability,10.0,10.0,0.0,10,10
SRB,Republic of Serbia,Republic of Serbia,Limited Wild Flora & Fauna Availability,1.0,4.879506641366224,8.430522916441351,63,1
SEN,Senegal,Senegal,Limited Wild Flora & Fauna Availability,1.0,5.583891855049415,8.341776299892427,63,1
SAU,Saudi Arabia,Saudi Arabia,Limited Wild Flora & Fauna Availability,1.0,1.8937208991581955,4.438308846847049,63,1
STP,São Tomé and Principe,São Tomé and Principe,Limited Wild Flora & Fauna Availability,10.0,9.622222222222222,0.4848316495393651,10,9
SMR,San Marino,San Marino,Limited Wild Flora & Fauna Availability,10.0,10.0,0.0,10,10
WSM,Samoa,Samoa,Limited Wild Flora & Fauna Availability,10.0,10.0,0.0,10,10
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Limited Wild Flora & Fauna Availability,10.0,9.857142857142858,0.34992710611188255,10,9
LCA,Saint Lucia,Saint Lucia,Limited Wild Flora & Fauna Availability,10.0,9.791666666666666,0.4061164310337068,10,9
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,Limited Wild Flora & Fauna Availability,1.0,1.0,0.0,1,1
RWA,Rwanda,Rwanda,Limited Wild Flora & Fauna Availability,10.0,8.72300469483568,9.147579088391733,63,1
RUS,Russia,Russia,Limited Wild Flora & Fauna Availability,1.0,1.2489819529998991,2.023869576497681,63,1
ROU,Romania,Romania,Limited Wild Flora & Fauna Availability,1.0,2.668336525710918,5.599922455200116,63,1
QAT,Qatar,Qatar,Limited Wild Flora & Fauna Availability,10.0,10.865961199294533,14.893852113474066,63,1
PRT,Portugal,Portugal,Limited Wild Flora & Fauna Availability,10.0,7.875858838226109,8.554618469244518,63,1
POL,Poland,Poland,Limited Wild Flora & Fauna Availability,1.0,1.8391260600833692,4.1339987134048375,63,1
PHL,Philippines,Philippines,Limited Wild Flora & Fauna Availability,10.0,9.926901960784313,3.980539648383005,63,1
PER,Peru,Peru,Limited Wild Flora & Fauna Availability,10.0,6.861212694221953,7.892624839198283,63,1
PRY,Paraguay,Paraguay,Limited Wild Flora & Fauna Availability,1.0,3.999146157709694,7.710055223942117,63,1
PNG,Papua New Guinea,Papua New Guinea,Limited Wild Flora & Fauna Availability,1.0,2.08252131546894,5.209437294326564,63,1
PAN,Panama,Panama,Limited Wild Flora & Fauna Availability,10.0,8.233774417139257,6.9650432269039815,63,1
PLW,Palau,Palau,Limited Wild Flora & Fauna Availability,1.0,1.5625,2.178553132241672,10,1
PAK,Pakistan,Pakistan,Limited Wild Flora & Fauna Availability,1.0,5.639831719968958,8.508242508625221,63,1
OMN,Oman,Oman,Limited Wild Flora & Fauna Availability,1.0,5.63182913765399,8.904933051282756,63,1
