SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Media Scrutiny,6.0,5.924964476992021,0.5527174408335388,8,3
ZMB,Zambia,Zambia,Media Scrutiny,3.0,3.091863204031128,0.4975256905594251,6,1
YEM,Yemen,Yemen,Media Scrutiny,3.0,2.9978130922875055,0.08620152932018342,10,1
VNM,Vietnam,Vietnam,Media Scrutiny,6.0,6.1341406922109725,0.6604382876874884,10,5
VEN,Venezuela,Venezuela,Media Scrutiny,3.0,3.110121644510599,0.7412246986426372,10,1
VAT,Vatican,Vatican,Media Scrutiny,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Media Scrutiny,3.0,2.9186046511627906,0.6327333888564088,10,1
UZB,Uzbekistan,Uzbekistan,Media Scrutiny,3.0,3.211852335450175,0.7537388984645909,6,3
URY,Uruguay,Uruguay,Media Scrutiny,3.0,3.306188306757783,1.318212350318208,10,1
FSM,Federated States of Micronesia,Federated States of Micronesia,Media Scrutiny,3.0,2.769230769230769,0.6389710663783135,3,1
MHL,Marshall Islands,Marshall Islands,Media Scrutiny,1.0,3.25,3.897114317029974,10,1
US1,United States of America,United States of America,Media Scrutiny,10.0,9.992509582370866,0.08622245225505672,10,9
GB1,United Kingdom,Jersey,Media Scrutiny,9.0,9.357142857142858,0.47915742374995496,10,9
GB1,United Kingdom,Guernsey,Media Scrutiny,9.5,9.5,0.5,10,9
GB1,United Kingdom,Isle of Man,Media Scrutiny,3.0,2.9696969696969697,0.2443108408575318,3,1
GB1,United Kingdom,United Kingdom,Media Scrutiny,10.0,9.811465922244162,1.0207871853371921,10,1
ARE,United Arab Emirates,United Arab Emirates,Media Scrutiny,3.0,2.9972090427016465,0.3332751281326308,10,1
UKR,Ukraine,Ukraine,Media Scrutiny,6.0,6.026349683374477,0.6331253259605694,10,3
UGA,Uganda,Uganda,Media Scrutiny,6.0,5.981130221130221,0.21997922672910367,6,3
TKM,Turkmenistan,Turkmenistan,Media Scrutiny,3.0,3.0264032440013415,0.3392625561499406,10,1
TUR,Turkey,Turkey,Media Scrutiny,8.0,7.889843476337088,0.7076842499866289,10,1
TUN,Tunisia,Tunisia,Media Scrutiny,3.0,2.997706661107057,0.2650552864259313,10,1
TTO,Trinidad and Tobago,Trinidad and Tobago,Media Scrutiny,3.0,3.0045871559633026,0.5289569658881866,10,1
TON,Tonga,Tonga,Media Scrutiny,10.0,10.0,0.0,10,10
TGO,Togo,Togo,Media Scrutiny,1.0,1.4378312270688953,0.8230696479547949,3,1
TLS,East Timor,East Timor,Media Scrutiny,10.0,9.32601880877743,1.368125784661496,10,5
THA,Thailand,Thailand,Media Scrutiny,8.0,7.948336628556692,0.29999717952807115,10,5
TZA,United Republic of Tanzania,United Republic of Tanzania,Media Scrutiny,6.0,5.9517739325283205,0.36406443545871753,10,1
TJK,Tajikistan,Tajikistan,Media Scrutiny,3.0,3.047237625795851,0.5350970809370074,10,3
TWN,Taiwan,Taiwan,Media Scrutiny,10.0,9.954924874791319,0.20746893332762584,10,9
SYR,Syria,Syria,Media Scrutiny,3.0,3.1669104362040783,0.8657742080039996,8,1
CHE,Switzerland,Switzerland,Media Scrutiny,6.0,6.75040562466198,1.509177297251188,10,6
SWE,Sweden,Sweden,Media Scrutiny,6.0,5.997807624594466,0.10509829371696605,10,5
SWZ,eSwatini,eSwatini,Media Scrutiny,3.0,4.661016949152542,2.2734789003743114,8,3
SUR,Suriname,Suriname,Media Scrutiny,3.0,3.009298531810767,0.2092751350913477,10,1
SDS,South Sudan,South Sudan,Media Scrutiny,3.0,3.0213286187180257,0.23697698268927717,6,3
SDN,Sudan,Sudan,Media Scrutiny,3.0,2.999811071226148,0.04319300808822482,10,1
LKA,Sri Lanka,Sri Lanka,Media Scrutiny,3.0,2.987202275151084,0.2649975564184094,10,1
ESP,Spain,Spain,Media Scrutiny,10.0,9.822062691801841,0.9260892244591726,10,1
KOR,South Korea,South Korea,Media Scrutiny,8.0,7.757010834926705,1.246437979185702,10,1
ZAF,South Africa,South Africa,Media Scrutiny,8.0,7.924583712228499,0.5568883286152659,10,3
SOM,Somalia,Somalia,Media Scrutiny,3.0,3.0611246943765282,0.4296831691333429,10,1
SOL,Somaliland,Somaliland,Media Scrutiny,3.0,3.0076901950013735,0.37454895497905566,10,1
SLB,Solomon Islands,Solomon Islands,Media Scrutiny,3.0,2.9619220308250225,0.5506122244041882,10,1
SVK,Slovakia,Slovakia,Media Scrutiny,3.0,3.0451904454486765,0.42981972751532316,8,3
SVN,Slovenia,Slovenia,Media Scrutiny,3.0,3.1258503401360542,0.5763976528802977,10,3
SGP,Singapore,Singapore,Media Scrutiny,6.0,5.954545454545454,0.20829889522526546,6,5
SLE,Sierra Leone,Sierra Leone,Media Scrutiny,3.0,3.350194552529183,0.9415109629778188,10,1
SYC,Seychelles,Seychelles,Media Scrutiny,10.0,10.0,0.0,10,10
SRB,Republic of Serbia,Republic of Serbia,Media Scrutiny,3.0,3.0,0.0,3,3
SEN,Senegal,Senegal,Media Scrutiny,3.0,3.060433942973986,0.4308148117932062,10,1
SAU,Saudi Arabia,Saudi Arabia,Media Scrutiny,3.0,2.9998355449116567,0.09585875555055579,10,1
STP,São Tomé and Principe,São Tomé and Principe,Media Scrutiny,1.0,1.0,0.0,1,1
SMR,San Marino,San Marino,Media Scrutiny,10.0,10.0,0.0,10,10
WSM,Samoa,Samoa,Media Scrutiny,10.0,10.0,0.0,10,10
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Media Scrutiny,3.0,3.0,0.0,3,3
LCA,Saint Lucia,Saint Lucia,Media Scrutiny,3.0,3.0,0.0,3,3
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,Media Scrutiny,1.0,1.0,0.0,1,1
RWA,Rwanda,Rwanda,Media Scrutiny,3.0,3.257276995305164,0.8046263550002106,6,3
RUS,Russia,Russia,Media Scrutiny,10.0,9.974002510134307,0.3218691130821316,10,1
ROU,Romania,Romania,Media Scrutiny,3.0,3.021266146063553,0.24335294350579695,6,1
QAT,Qatar,Qatar,Media Scrutiny,6.0,5.878306878306878,0.5797937579599037,10,3
PRT,Portugal,Portugal,Media Scrutiny,6.0,6.165209244222361,0.8817683367470647,10,3
POL,Poland,Poland,Media Scrutiny,8.0,7.949288486416559,0.48672310275589575,10,3
PHL,Philippines,Philippines,Media Scrutiny,8.0,7.973333333333334,0.25528658764233064,10,5
PER,Peru,Peru,Media Scrutiny,8.0,8.01164885741299,0.31327188549353,10,5
PRY,Paraguay,Paraguay,Media Scrutiny,6.0,6.128327473631341,0.6252321840897939,10,6
PNG,Papua New Guinea,Papua New Guinea,Media Scrutiny,3.0,3.1244924888347545,0.9596408032271504,10,1
PAN,Panama,Panama,Media Scrutiny,3.0,3.101134215500945,0.7489829097686113,10,1
PLW,Palau,Palau,Media Scrutiny,3.0,3.3125,1.7929985359726315,10,1
PAK,Pakistan,Pakistan,Media Scrutiny,6.0,6.022995547931218,0.73953518262632,10,3
OMN,Oman,Oman,Media Scrutiny,3.0,2.999196572040707,0.18801644798369502,10,1
NOR,Norway,Norway,Media Scrutiny,6.0,6.090992889122992,0.7196846425839913,10,5
PRK,North Korea,North Korea,Media Scrutiny,1.0,1.691004207892642,2.1832217549015054,10,1
