SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Other Important Delineated Areas,1.0,1.9896163515138265,1.982269575940959,6,1
ZMB,Zambia,Zambia,Other Important Delineated Areas,6.0,5.365097349354483,1.6492992236678943,6,1
YEM,Yemen,Yemen,Other Important Delineated Areas,6.0,4.182485299120377,2.3932094375248574,6,1
VNM,Vietnam,Vietnam,Other Important Delineated Areas,6.0,6.17881013830984,1.4255590422376827,10,1
VEN,Venezuela,Venezuela,Other Important Delineated Areas,7.0,7.926012421085049,2.1097273252487154,10,1
VAT,Vatican,Vatican,Other Important Delineated Areas,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Other Important Delineated Areas,6.0,7.313953488372093,1.8135683351789644,10,6
UZB,Uzbekistan,Uzbekistan,Other Important Delineated Areas,6.0,5.938126891803668,0.5409240299183553,6,1
URY,Uruguay,Uruguay,Other Important Delineated Areas,1.0,1.0243925588458618,0.29529516146050694,6,1
FSM,Federated States of Micronesia,Federated States of Micronesia,Other Important Delineated Areas,1.0,1.8846153846153846,1.4761416201842683,5,1
MHL,Marshall Islands,Marshall Islands,Other Important Delineated Areas,1.0,1.0,0.0,1,1
US1,United States of America,United States of America,Other Important Delineated Areas,6.0,5.306764993803051,3.474219961687515,10,1
GB1,United Kingdom,Jersey,Other Important Delineated Areas,1.0,2.0,1.647508942095828,6,1
GB1,United Kingdom,Guernsey,Other Important Delineated Areas,1.0,1.0,0.0,1,1
GB1,United Kingdom,Isle of Man,Other Important Delineated Areas,1.0,1.2575757575757576,0.9262273767016923,6,1
GB1,United Kingdom,United Kingdom,Other Important Delineated Areas,1.0,1.0852114114523048,0.6174786651023416,10,1
ARE,United Arab Emirates,United Arab Emirates,Other Important Delineated Areas,1.0,1.9525537259279933,1.89376919008083,6,1
UKR,Ukraine,Ukraine,Other Important Delineated Areas,1.0,1.5838610425387285,1.5972430242108961,6,1
UGA,Uganda,Uganda,Other Important Delineated Areas,6.0,6.257002457002457,0.9690512381733307,10,1
TKM,Turkmenistan,Turkmenistan,Other Important Delineated Areas,6.0,5.65895301686027,1.2589512840123305,10,1
TUR,Turkey,Turkey,Other Important Delineated Areas,6.0,5.945981821869066,0.5179566597528041,10,1
TUN,Tunisia,Tunisia,Other Important Delineated Areas,6.0,4.472010841238403,2.289091306336009,6,1
TTO,Trinidad and Tobago,Trinidad and Tobago,Other Important Delineated Areas,6.0,6.0,0.0,6,6
TON,Tonga,Tonga,Other Important Delineated Areas,6.0,6.0,0.0,6,6
TGO,Togo,Togo,Other Important Delineated Areas,6.0,4.503872808805545,2.2497192113888955,6,1
TLS,East Timor,East Timor,Other Important Delineated Areas,6.0,6.0,0.0,6,6
THA,Thailand,Thailand,Other Important Delineated Areas,6.0,6.95890999742113,2.099423338170612,10,1
TZA,United Republic of Tanzania,United Republic of Tanzania,Other Important Delineated Areas,6.0,6.145201045686543,0.8128371807281634,10,1
TJK,Tajikistan,Tajikistan,Other Important Delineated Areas,6.0,6.0,0.0,6,6
TWN,Taiwan,Taiwan,Other Important Delineated Areas,6.0,6.0,0.0,6,6
SYR,Syria,Syria,Other Important Delineated Areas,6.0,3.9557773380366514,2.440221722974932,8,1
CHE,Switzerland,Switzerland,Other Important Delineated Areas,6.0,5.508653326122229,1.4568076604837563,6,1
SWE,Sweden,Sweden,Other Important Delineated Areas,1.0,4.36627063656395,3.9792029826852007,10,1
SWZ,eSwatini,eSwatini,Other Important Delineated Areas,6.0,5.604519774011299,1.3155231052966876,6,1
SUR,Suriname,Suriname,Other Important Delineated Areas,10.0,9.711582381729201,0.987365341833525,10,6
SDS,South Sudan,South Sudan,Other Important Delineated Areas,6.0,5.31801083358411,1.6915904344422372,6,1
SDN,Sudan,Sudan,Other Important Delineated Areas,1.0,1.4250070848290195,1.3868364098223618,6,1
LKA,Sri Lanka,Sri Lanka,Other Important Delineated Areas,6.0,4.344472093849983,2.3299779411416477,6,1
ESP,Spain,Spain,Other Important Delineated Areas,6.0,5.588639850942569,1.3582687374869336,6,1
KOR,South Korea,South Korea,Other Important Delineated Areas,1.0,1.071223709369025,0.48841959105538785,6,1
ZAF,South Africa,South Africa,Other Important Delineated Areas,6.0,4.566419701554837,2.2519958865594405,10,1
SOM,Somalia,Somalia,Other Important Delineated Areas,6.0,5.801107729155232,0.9557135158381451,6,1
SOL,Somaliland,Somaliland,Other Important Delineated Areas,6.0,5.350041197473222,1.6371118664709037,6,1
SLB,Solomon Islands,Solomon Islands,Other Important Delineated Areas,6.0,7.689029918404351,1.905362300438351,10,6
