SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Physical Risk,7.0,7.237730899551863,0.8978262385850261,9,5
ZMB,Zambia,Zambia,Physical Risk,8.0,8.109275768508304,1.0092228664928167,10,5
YEM,Yemen,Yemen,Physical Risk,10.0,9.469747776643826,0.830290444622186,10,8
VNM,Vietnam,Vietnam,Physical Risk,8.0,8.049566540930448,0.3810301162593295,10,7
VEN,Venezuela,Venezuela,Physical Risk,8.0,7.062952317404917,1.2554513678259194,9,3
VAT,Vatican,Vatican,Physical Risk,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Physical Risk,7.0,7.488372093023256,0.499864773493132,8,7
UZB,Uzbekistan,Uzbekistan,Physical Risk,8.0,8.32126535699448,0.6117719987794841,10,7
URY,Uruguay,Uruguay,Physical Risk,8.0,7.815110098709187,0.9492551166113472,10,5
FSM,Federated States of Micronesia,Federated States of Micronesia,Physical Risk,7.0,7.0,0.0,7,7
MHL,Marshall Islands,Marshall Islands,Physical Risk,7.0,7.0,0.0,7,7
US1,United States of America,United States of America,Physical Risk,7.0,6.91800161352447,1.7040457768276174,10,3
GB1,United Kingdom,Jersey,Physical Risk,7.0,6.785714285714286,0.6738557951469002,8,6
GB1,United Kingdom,Guernsey,Physical Risk,6.5,6.5,0.5,7,6
GB1,United Kingdom,Isle of Man,Physical Risk,5.0,5.181818181818182,0.4231587892051194,7,5
GB1,United Kingdom,United Kingdom,Physical Risk,6.0,6.679716756315108,1.1144851660664028,10,5
ARE,United Arab Emirates,United Arab Emirates,Physical Risk,10.0,9.72843985487022,0.44476424396175623,10,9
UKR,Ukraine,Ukraine,Physical Risk,6.0,5.910629315587993,1.1276882863537785,10,5
UGA,Uganda,Uganda,Physical Risk,7.0,6.511842751842752,0.876351771471633,8,5
TKM,Turkmenistan,Turkmenistan,Physical Risk,8.0,8.285191621695784,0.7381763635812532,10,5
TUR,Turkey,Turkey,Physical Risk,8.0,8.225899227521616,0.47385228967050574,10,5
TUN,Tunisia,Tunisia,Physical Risk,10.0,9.689982278744917,0.6014339944505507,10,8
TTO,Trinidad and Tobago,Trinidad and Tobago,Physical Risk,8.0,8.087155963302752,0.28206347045216895,9,8
TON,Tonga,Tonga,Physical Risk,5.0,5.0,0.0,5,5
TGO,Togo,Togo,Physical Risk,8.0,8.153281695882592,0.7168026126249953,10,7
TLS,East Timor,East Timor,Physical Risk,7.0,7.238244514106583,0.4260094665670015,8,7
THA,Thailand,Thailand,Physical Risk,8.0,7.688730336112783,0.6814391899822266,9,5
TZA,United Republic of Tanzania,United Republic of Tanzania,Physical Risk,6.0,6.0999875513506785,0.9060216001245975,8,5
TJK,Tajikistan,Tajikistan,Physical Risk,8.0,8.367529266789894,0.9785968277589886,10,6
TWN,Taiwan,Taiwan,Physical Risk,7.0,7.102392877017251,0.4039039529933356,10,7
SYR,Syria,Syria,Physical Risk,9.0,8.556913017293297,0.9302483314177576,10,6
CHE,Switzerland,Switzerland,Physical Risk,7.0,6.731476473769606,1.249159386190335,10,5
SWE,Sweden,Sweden,Physical Risk,7.0,6.910610875510724,1.228337192941718,10,5
SWZ,eSwatini,eSwatini,Physical Risk,7.0,6.667796610169492,1.0503333898429668,8,5
SUR,Suriname,Suriname,Physical Risk,5.0,5.063621533442088,0.271899727810259,9,5
SDS,South Sudan,South Sudan,Physical Risk,7.0,6.855063195907313,1.0430212908178171,9,5
SDN,Sudan,Sudan,Physical Risk,8.0,8.142298790855847,0.619943719443312,10,7
LKA,Sri Lanka,Sri Lanka,Physical Risk,7.0,7.446498400284394,0.5513767821863407,9,7
ESP,Spain,Spain,Physical Risk,8.0,7.854833406400702,0.9511712505030931,10,5
KOR,South Korea,South Korea,Physical Risk,7.0,7.281548757170172,0.577833493784538,10,6
ZAF,South Africa,South Africa,Physical Risk,7.0,7.470774138727807,0.6597793919233202,10,5
SOM,Somalia,Somalia,Physical Risk,7.0,7.163315203832144,0.9441906059145367,9,5
SOL,Somaliland,Somaliland,Physical Risk,8.0,7.55300741554518,0.9342604065372939,9,5
SLB,Solomon Islands,Solomon Islands,Physical Risk,7.0,7.00815956482321,0.5188439656272462,8,5
SVK,Slovakia,Slovakia,Physical Risk,7.0,7.8228964923606625,1.6532433716951584,10,5
SVN,Slovenia,Slovenia,Physical Risk,6.0,6.126984126984127,0.884342112837087,10,5
SGP,Singapore,Singapore,Physical Risk,8.0,8.0,0.0,8,8
SLE,Sierra Leone,Sierra Leone,Physical Risk,7.0,7.094682230869001,0.32530180967152333,9,7
SYC,Seychelles,Seychelles,Physical Risk,9.0,9.0,0.0,9,9
SRB,Republic of Serbia,Republic of Serbia,Physical Risk,8.0,8.40876027830487,1.2591445823081238,10,5
SEN,Senegal,Senegal,Physical Risk,10.0,9.729183232988754,0.6504459648077987,10,8
SAU,Saudi Arabia,Saudi Arabia,Physical Risk,10.0,9.390046355778027,0.7117793270917087,10,8
STP,São Tomé and Principe,São Tomé and Principe,Physical Risk,5.0,5.4,0.5333333333333333,7,5
SMR,San Marino,San Marino,Physical Risk,8.0,8.0,0.0,8,8
WSM,Samoa,Samoa,Physical Risk,7.0,7.0,0.0,7,7
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Physical Risk,5.0,5.214285714285714,0.5578749768504754,7,5
LCA,Saint Lucia,Saint Lucia,Physical Risk,5.0,5.208333333333333,0.40611643103370687,6,5
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,Physical Risk,5.0,5.454545454545454,0.4979295977319692,6,5
RWA,Rwanda,Rwanda,Physical Risk,8.0,7.725821596244131,0.44609932377190675,8,7
RUS,Russia,Russia,Physical Risk,5.0,5.513215135821348,0.8910479811709149,10,4
ROU,Romania,Romania,Physical Risk,8.0,8.161681646284563,1.8592978668189897,10,5
QAT,Qatar,Qatar,Physical Risk,10.0,9.37037037037037,0.8526566246830621,10,8
PRT,Portugal,Portugal,Physical Risk,8.0,7.753279200499688,0.562210594131118,10,6
POL,Poland,Poland,Physical Risk,10.0,9.30668391548081,1.0483262632790429,10,5
PHL,Philippines,Philippines,Physical Risk,8.0,7.908078431372549,0.47463240030274717,10,6
PER,Peru,Peru,Physical Risk,6.0,5.9699769877089395,1.016186946940266,9,5
PRY,Paraguay,Paraguay,Physical Risk,8.0,8.075238573581116,0.9522315806900442,9,5
PNG,Papua New Guinea,Papua New Guinea,Physical Risk,6.0,6.129770604953309,1.2200362524634796,8,4
PAN,Panama,Panama,Physical Risk,7.0,6.93887838689351,0.8302986471344602,9,5
PLW,Palau,Palau,Physical Risk,7.0,7.0,0.0,7,7
PAK,Pakistan,Pakistan,Physical Risk,10.0,9.214189437568926,0.9461416539300535,10,6
OMN,Oman,Oman,Physical Risk,9.0,8.706815747188003,0.8374577253093156,10,7
NOR,Norway,Norway,Physical Risk,5.0,5.684730327266679,1.2136104955663818,10,4
PRK,North Korea,North Korea,Physical Risk,7.0,6.719435914932332,1.1244038010861448,9,5
NGA,Nigeria,Nigeria,Physical Risk,10.0,9.473848813852374,0.8891547036288784,10,5
