SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Plant,8.0,8.039895070499508,0.34649822940757724,10,6
ZMB,Zambia,Zambia,Plant,10.0,9.847073556158502,0.710789693522333,10,6
YEM,Yemen,Yemen,Plant,6.0,5.9978130922875055,0.05616123334189224,10,5
VNM,Vietnam,Vietnam,Plant,8.0,8.048573886572695,0.3167762855581655,10,5
VEN,Venezuela,Venezuela,Plant,1.0,1.0970589744905814,0.6601036828452419,10,1
VAT,Vatican,Vatican,Plant,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Plant,1.0,1.0348837209302326,0.5592285886702814,10,1
UZB,Uzbekistan,Uzbekistan,Plant,6.0,5.921004213899935,0.46879328489969785,6,3
URY,Uruguay,Uruguay,Plant,1.0,1.0674829157175398,0.3839287138273741,10,1
FSM,Federated States of Micronesia,Federated States of Micronesia,Plant,1.0,1.0,0.0,1,1
MHL,Marshall Islands,Marshall Islands,Plant,1.0,3.25,3.897114317029974,10,1
US1,United States of America,United States of America,Plant,3.0,2.9976889738447903,0.35085194149763416,10,1
GB1,United Kingdom,Jersey,Plant,6.0,5.714285714285714,0.45175395145262565,6,5
GB1,United Kingdom,Guernsey,Plant,6.0,6.0,0.0,6,6
GB1,United Kingdom,Isle of Man,Plant,1.0,1.0,0.0,1,1
GB1,United Kingdom,United Kingdom,Plant,1.0,1.011949342956356,0.3277213752719145,10,1
ARE,United Arab Emirates,United Arab Emirates,Plant,3.0,3.4052469997209043,1.0365335104213542,10,1
UKR,Ukraine,Ukraine,Plant,6.0,6.023898966047726,0.2946116387689373,10,3
UGA,Uganda,Uganda,Plant,8.0,8.014742014742014,0.3970144970138799,10,6
TKM,Turkmenistan,Turkmenistan,Plant,3.0,3.2221409189304553,0.983715718423466,10,1
TUR,Turkey,Turkey,Plant,6.0,5.979037997087074,0.44739837175512015,10,1
TUN,Tunisia,Tunisia,Plant,6.0,5.996038778275826,0.1574613153667104,10,5
TTO,Trinidad and Tobago,Trinidad and Tobago,Plant,1.0,1.0412844036697249,0.6081572420362666,10,1
TON,Tonga,Tonga,Plant,10.0,10.0,0.0,10,10
TGO,Togo,Togo,Plant,6.0,5.9555646147574395,1.1150960835660806,8,3
TLS,East Timor,East Timor,Plant,3.0,3.330721003134796,1.3042118101258402,8,1
THA,Thailand,Thailand,Plant,8.0,7.997206223674031,0.07779807441371149,10,5
TZA,United Republic of Tanzania,United Republic of Tanzania,Plant,10.0,9.937756753392257,0.44080412367715166,10,6
TJK,Tajikistan,Tajikistan,Plant,6.0,6.027623742041487,0.3082971891673927,10,6
TWN,Taiwan,Taiwan,Plant,10.0,9.954924874791319,0.20746893332762584,10,9
SYR,Syria,Syria,Plant,3.0,3.2747139292781555,0.8404428485582772,6,1
CHE,Switzerland,Switzerland,Plant,1.0,1.4616008653326122,1.021807553710166,6,1
SWE,Sweden,Sweden,Plant,1.0,1.003986137100971,0.18936563737846385,10,1
SWZ,eSwatini,eSwatini,Plant,3.0,4.8474576271186445,2.3746321224836264,10,3
