SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Political Situation,10.0,9.78964914198273,0.8773687406477867,10,4
ZMB,Zambia,Zambia,Political Situation,7.0,7.094695727362176,0.4648485257369689,10,4
YEM,Yemen,Yemen,Political Situation,10.0,9.869806094182826,0.5589256197292671,10,6
VNM,Vietnam,Vietnam,Political Situation,7.0,7.103037522334723,0.4450159716130696,10,5
VEN,Venezuela,Venezuela,Political Situation,10.0,9.890032335882564,0.5779083374402946,10,5
VAT,Vatican,Vatican,Political Situation,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Political Situation,5.0,5.01937984496124,0.31068254926126737,10,5
UZB,Uzbekistan,Uzbekistan,Political Situation,8.0,8.020386966585553,0.1948194068378746,9,7
URY,Uruguay,Uruguay,Political Situation,2.0,2.2065299924069857,0.9097772479568831,10,1
FSM,Federated States of Micronesia,Federated States of Micronesia,Political Situation,4.0,3.3076923076923075,0.9514859136040755,4,1
MHL,Marshall Islands,Marshall Islands,Political Situation,1.0,3.25,3.897114317029974,10,1
US1,United States of America,United States of America,Political Situation,3.0,3.0044322259022547,0.3189575708476984,10,1
GB1,United Kingdom,Jersey,Political Situation,2.0,2.357142857142857,0.6102859818083951,3,1
GB1,United Kingdom,Guernsey,Political Situation,2.0,2.0,0.0,2,2
GB1,United Kingdom,Isle of Man,Political Situation,5.0,5.0,0.0,5,5
GB1,United Kingdom,United Kingdom,Political Situation,2.0,2.0014979233335604,0.36558633731830903,10,1
ARE,United Arab Emirates,United Arab Emirates,Political Situation,6.0,6.13815238626849,0.4018567597686801,10,5
UKR,Ukraine,Ukraine,Political Situation,7.0,6.972111910128439,0.4653867012745405,10,2
UGA,Uganda,Uganda,Political Situation,8.0,7.989287469287469,0.3355778812928615,10,6
