SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Pollination,6.0,4.686031260247021,1.563101445553569,6,1
ZMB,Zambia,Zambia,Pollination,3.0,2.2339664271445185,1.3247654853701587,6,1
YEM,Yemen,Yemen,Pollination,1.0,2.589687515186859,3.1667829033389925,63,1
VNM,Vietnam,Vietnam,Pollination,6.0,6.848851829792866,1.9083073803039818,63,1
VEN,Venezuela,Venezuela,Pollination,1.0,2.8301852897397732,2.706887996088737,10,1
VAT,Vatican,Vatican,Pollination,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Pollination,1.0,1.0348837209302326,0.5592285886702814,10,1
UZB,Uzbekistan,Uzbekistan,Pollination,4.0,3.65778384473856,2.699412712013038,63,1
URY,Uruguay,Uruguay,Pollination,5.0,4.552581624905088,2.1960841664809383,10,1
FSM,Federated States of Micronesia,Federated States of Micronesia,Pollination,1.0,1.0,0.0,1,1
MHL,Marshall Islands,Marshall Islands,Pollination,1.0,3.25,3.897114317029974,10,1
US1,United States of America,United States of America,Pollination,1.0,3.2126993867061917,2.980123322820157,63,1
GB1,United Kingdom,Jersey,Pollination,6.0,5.714285714285714,0.45175395145262565,6,5
GB1,United Kingdom,Guernsey,Pollination,6.0,6.0,0.0,6,6
GB1,United Kingdom,Isle of Man,Pollination,1.0,1.0,0.0,1,1
GB1,United Kingdom,United Kingdom,Pollination,7.0,6.704738884727991,3.419602535215297,63,1
ARE,United Arab Emirates,United Arab Emirates,Pollination,1.0,2.4889757186715045,2.2518832346275732,10,1
UKR,Ukraine,Ukraine,Pollination,10.0,8.995313226718185,1.7775807788611335,63,1
UGA,Uganda,Uganda,Pollination,6.0,5.8848157248157245,0.9981311298038161,10,1
TKM,Turkmenistan,Turkmenistan,Pollination,3.0,3.5653830909478947,2.4103014784277397,10,1
TUR,Turkey,Turkey,Pollination,8.0,8.387068822477461,1.8113111970756954,63,1
TUN,Tunisia,Tunisia,Pollination,1.0,4.453976858125717,4.1565318586446205,63,1
TTO,Trinidad and Tobago,Trinidad and Tobago,Pollination,6.0,5.977064220183486,0.33786513446459254,10,5
TON,Tonga,Tonga,Pollination,10.0,10.0,0.0,10,10
TGO,Togo,Togo,Pollination,6.0,6.032613126783531,0.314994839355754,10,5
TLS,East Timor,East Timor,Pollination,6.0,5.9655172413793105,0.18246560765962694,6,5
THA,Thailand,Thailand,Pollination,6.0,7.16676695607324,1.7942732502668648,10,1
TZA,United Republic of Tanzania,United Republic of Tanzania,Pollination,6.0,4.740794223826715,1.7342157482642395,10,1
TJK,Tajikistan,Tajikistan,Pollination,6.0,5.407065105771205,3.3882778174403048,10,1
TWN,Taiwan,Taiwan,Pollination,10.0,9.954924874791319,0.20746893332762584,10,9
SYR,Syria,Syria,Pollination,8.0,6.772778112363417,4.7405625804875955,63,1
CHE,Switzerland,Switzerland,Pollination,6.0,6.314223904813413,2.296025666723198,10,1
SWE,Sweden,Sweden,Pollination,1.0,2.168469655531319,2.197720918780177,10,1
SWZ,eSwatini,eSwatini,Pollination,6.0,5.925423728813559,0.4447788329995044,6,3
SUR,Suriname,Suriname,Pollination,1.0,1.2287112561174551,0.7833240355598046,10,1
SDS,South Sudan,South Sudan,Pollination,3.0,2.5817032801685222,1.669531673691637,6,1
SDN,Sudan,Sudan,Pollination,1.0,2.821686661628566,2.2801921085357066,10,1
LKA,Sri Lanka,Sri Lanka,Pollination,10.0,8.716317099182367,1.5071368368959988,10,5
ESP,Spain,Spain,Pollination,8.0,7.487998684787374,2.0391737269833,10,1
KOR,South Korea,South Korea,Pollination,10.0,9.263862332695984,1.403301441528498,10,1
ZAF,South Africa,South Africa,Pollination,6.0,3.9306510040100773,2.3943124061642034,10,1
SOM,Somalia,Somalia,Pollination,1.0,2.8992066264158476,2.3116585281371136,10,1
SOL,Somaliland,Somaliland,Pollination,1.0,1.4057951112331777,1.1167666430391527,10,1
SLB,Solomon Islands,Solomon Islands,Pollination,1.0,1.0326382592928378,0.5409982233481667,10,1
SVK,Slovakia,Slovakia,Pollination,7.0,7.624488917581235,1.7711635336096823,10,6
SVN,Slovenia,Slovenia,Pollination,6.0,6.12358276643991,0.8732153672587518,10,3
