SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Pollution,2.0,1.9505956935184172,0.21671068497574486,2,1
ZMB,Zambia,Zambia,Pollution,4.0,3.1446375860938014,0.9895449625101492,4,1
YEM,Yemen,Yemen,Pollution,5.0,5.398114399572338,1.449455338223353,9,3
VNM,Vietnam,Vietnam,Pollution,6.0,6.016345708424327,1.0026423501027282,10,5
VEN,Venezuela,Venezuela,Pollution,4.0,3.2285582302520144,1.1702621211755362,8,1
VAT,Vatican,Vatican,Pollution,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Pollution,1.0,1.0,0.0,1,1
UZB,Uzbekistan,Uzbekistan,Pollution,7.0,7.070686687637249,0.35653619416499766,8,4
URY,Uruguay,Uruguay,Pollution,3.0,3.0198367501898256,0.22276778465023456,10,3
FSM,Federated States of Micronesia,Federated States of Micronesia,Pollution,1.0,1.0,0.0,1,1
MHL,Marshall Islands,Marshall Islands,Pollution,1.0,1.0,0.0,1,1
US1,United States of America,United States of America,Pollution,3.0,2.8361058657463767,0.8311096413369599,10,1
GB1,United Kingdom,Jersey,Pollution,6.0,5.714285714285714,0.5890150893739515,7,5
GB1,United Kingdom,Guernsey,Pollution,5.5,5.5,0.5,6,5
GB1,United Kingdom,Isle of Man,Pollution,1.0,1.2272727272727273,0.7938295089351355,4,1
GB1,United Kingdom,United Kingdom,Pollution,5.0,4.857527064751141,0.8241757720331002,10,3
ARE,United Arab Emirates,United Arab Emirates,Pollution,8.0,7.910689366452694,0.9170784158917182,9,6
UKR,Ukraine,Ukraine,Pollution,5.0,5.017745340059389,0.4761943481970972,10,2
UGA,Uganda,Uganda,Pollution,3.0,3.155773955773956,0.7275618656267845,5,1
TKM,Turkmenistan,Turkmenistan,Pollution,7.0,7.036373060154273,0.46097125174008374,10,5
TUR,Turkey,Turkey,Pollution,5.0,5.3556534724654785,0.54983549671139,10,4
TUN,Tunisia,Tunisia,Pollution,6.0,5.864693005316377,0.739101045569153,8,5
TTO,Trinidad and Tobago,Trinidad and Tobago,Pollution,3.0,3.2522935779816513,0.7075083985335121,8,3
TON,Tonga,Tonga,Pollution,5.0,5.0,0.0,5,5
TGO,Togo,Togo,Pollution,6.0,5.7867916836526705,0.41746036403995623,8,5
TLS,East Timor,East Timor,Pollution,3.0,3.219435736677116,0.6639850680814408,5,2
THA,Thailand,Thailand,Pollution,5.0,4.468408836929425,0.6440010918524842,10,3
TZA,United Republic of Tanzania,United Republic of Tanzania,Pollution,2.0,2.069488360512884,0.6980447517416402,5,1
TJK,Tajikistan,Tajikistan,Pollution,5.0,5.043643458615732,1.3100419272328108,7,2
TWN,Taiwan,Taiwan,Pollution,5.0,4.560378408458542,0.6523357897373121,10,4
SYR,Syria,Syria,Pollution,5.0,5.254839542286845,1.0290107161361064,8,4
CHE,Switzerland,Switzerland,Pollution,6.0,5.849918875067604,0.8882541282421619,7,5
SWE,Sweden,Sweden,Pollution,2.0,2.5100926776875974,0.5869433178653691,10,2
SWZ,eSwatini,eSwatini,Pollution,3.0,2.784180790960452,0.4113894481499154,3,2
SUR,Suriname,Suriname,Pollution,5.0,4.900326264274062,0.3316131286970063,8,4
SDS,South Sudan,South Sudan,Pollution,4.0,3.6216145049653927,0.7885164626760706,5,2
SDN,Sudan,Sudan,Pollution,4.0,4.175762799924429,0.6511986898384607,8,4
LKA,Sri Lanka,Sri Lanka,Pollution,4.0,4.067543547813722,0.3709916601683466,10,4
ESP,Spain,Spain,Pollution,5.0,4.787319158263919,0.7325937797003074,10,1
