SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Pressures on Biodiversity,4.0,4.590337741829708,1.096381924086955,9,2
ZMB,Zambia,Zambia,Pressures on Biodiversity,5.0,5.153135156086943,1.415830744450079,10,1
YEM,Yemen,Yemen,Pressures on Biodiversity,3.0,2.890508820527774,1.1019454310160803,7,1
VNM,Vietnam,Vietnam,Pressures on Biodiversity,7.0,6.951889352127589,1.2352236574344324,10,2
VEN,Venezuela,Venezuela,Pressures on Biodiversity,3.0,3.641430991120464,0.7970083705700276,8,2
VAT,Vatican,Vatican,Pressures on Biodiversity,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Pressures on Biodiversity,2.0,2.0426356589147288,0.20203430278949064,3,2
UZB,Uzbekistan,Uzbekistan,Pressures on Biodiversity,3.0,3.942785922013176,2.065343696811466,8,1
URY,Uruguay,Uruguay,Pressures on Biodiversity,5.0,5.431093394077449,1.7248566292389078,10,3
FSM,Federated States of Micronesia,Federated States of Micronesia,Pressures on Biodiversity,2.0,2.0,0.0,2,2
MHL,Marshall Islands,Marshall Islands,Pressures on Biodiversity,2.0,2.0,0.0,2,2
US1,United States of America,United States of America,Pressures on Biodiversity,6.0,6.4217137130817985,1.8964350990614993,10,1
GB1,United Kingdom,Jersey,Pressures on Biodiversity,7.0,6.785714285714286,0.6738557951469002,8,6
GB1,United Kingdom,Guernsey,Pressures on Biodiversity,6.5,6.5,0.5,7,6
GB1,United Kingdom,Isle of Man,Pressures on Biodiversity,2.0,2.393939393939394,0.967326648455295,6,2
GB1,United Kingdom,United Kingdom,Pressures on Biodiversity,6.0,6.490229454619731,0.9370224251182591,10,4
ARE,United Arab Emirates,United Arab Emirates,Pressures on Biodiversity,3.0,3.3767792352777004,0.7916230465506041,8,2
UKR,Ukraine,Ukraine,Pressures on Biodiversity,5.0,5.204983721512647,1.3659569100519018,10,3
UGA,Uganda,Uganda,Pressures on Biodiversity,5.0,5.138083538083538,1.6029761211914046,10,1
TKM,Turkmenistan,Turkmenistan,Pressures on Biodiversity,4.0,4.485777005396506,1.8514705997118972,10,1
TUR,Turkey,Turkey,Pressures on Biodiversity,5.0,5.420770266034919,1.134603169731267,10,2
TUN,Tunisia,Tunisia,Pressures on Biodiversity,4.0,4.6566246221202965,1.5240153879357277,10,2
TTO,Trinidad and Tobago,Trinidad and Tobago,Pressures on Biodiversity,3.0,3.2477064220183487,0.6793948103329768,7,3
TON,Tonga,Tonga,Pressures on Biodiversity,4.0,4.0,0.0,4,4
TGO,Togo,Togo,Pressures on Biodiversity,7.0,6.514879739094986,0.8746805111263455,8,5
TLS,East Timor,East Timor,Pressures on Biodiversity,4.0,4.244514106583072,1.1663085130473185,8,2
THA,Thailand,Thailand,Pressures on Biodiversity,6.0,5.982334737385026,0.7869317411619808,10,3
TZA,United Republic of Tanzania,United Republic of Tanzania,Pressures on Biodiversity,5.0,5.379484625918088,1.2555852595998407,9,1
TJK,Tajikistan,Tajikistan,Pressures on Biodiversity,4.0,3.920312179092216,1.9702595253272333,8,1
TWN,Taiwan,Taiwan,Pressures on Biodiversity,5.0,5.072899276572064,0.38722662625773696,10,5
SYR,Syria,Syria,Pressures on Biodiversity,5.0,4.97048954658866,1.249860283492757,9,3
CHE,Switzerland,Switzerland,Pressures on Biodiversity,6.0,5.8193618171984856,0.9330384562930609,8,5
SWE,Sweden,Sweden,Pressures on Biodiversity,5.0,4.7868523911286305,1.0426071394433754,10,2
SWZ,eSwatini,eSwatini,Pressures on Biodiversity,5.0,6.0214689265536725,1.9434351584594056,9,3
SUR,Suriname,Suriname,Pressures on Biodiversity,4.0,4.3,0.8026566817615791,7,2
SDS,South Sudan,South Sudan,Pressures on Biodiversity,2.0,2.3862097502257,1.4183805939945848,6,1
SDN,Sudan,Sudan,Pressures on Biodiversity,3.0,3.8156527489136596,1.0141403585657227,8,1
LKA,Sri Lanka,Sri Lanka,Pressures on Biodiversity,6.0,5.780305723426946,0.8227629263319224,8,5
ESP,Spain,Spain,Pressures on Biodiversity,7.0,6.925032880315651,1.126784350925873,10,3
KOR,South Korea,South Korea,Pressures on Biodiversity,6.0,5.9753027405991075,1.069089717571968,10,4
ZAF,South Africa,South Africa,Pressures on Biodiversity,6.0,5.778446952192126,1.428150196707065,10,3
SOM,Somalia,Somalia,Pressures on Biodiversity,1.0,1.6129434658949153,0.9224888090170427,6,1
SOL,Somaliland,Somaliland,Pressures on Biodiversity,1.0,1.6855259544081296,1.184205218214196,5,1
SLB,Solomon Islands,Solomon Islands,Pressures on Biodiversity,5.0,5.334542157751587,0.9090827791549001,6,2
SVK,Slovakia,Slovakia,Pressures on Biodiversity,6.0,5.898644286636539,0.5324142323275944,8,5
SVN,Slovenia,Slovenia,Pressures on Biodiversity,6.0,5.799886621315193,0.8638494167444191,10,4
SGP,Singapore,Singapore,Pressures on Biodiversity,7.0,7.181818181818182,0.385694607919935,8,7
SLE,Sierra Leone,Sierra Leone,Pressures on Biodiversity,5.0,5.2701037613488975,0.5762269284065712,7,1
SYC,Seychelles,Seychelles,Pressures on Biodiversity,2.0,2.0,0.0,2,2
SRB,Republic of Serbia,Republic of Serbia,Pressures on Biodiversity,6.0,6.206989247311828,0.8207510979848072,9,4
SEN,Senegal,Senegal,Pressures on Biodiversity,4.0,4.150744064523458,1.0021539126587315,8,2
SAU,Saudi Arabia,Saudi Arabia,Pressures on Biodiversity,4.0,3.9916539042665815,0.5759857612741276,8,2
STP,São Tomé and Principe,São Tomé and Principe,Pressures on Biodiversity,5.0,4.977777777777778,0.14740554623801777,5,4
SMR,San Marino,San Marino,Pressures on Biodiversity,8.0,8.0,0.0,8,8
WSM,Samoa,Samoa,Pressures on Biodiversity,2.0,2.0,0.0,2,2
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Pressures on Biodiversity,4.0,4.142857142857143,0.3499271061118826,5,4
LCA,Saint Lucia,Saint Lucia,Pressures on Biodiversity,4.0,4.208333333333333,0.40611643103370687,5,4
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,Pressures on Biodiversity,2.0,2.909090909090909,1.2398346997259868,5,2
RWA,Rwanda,Rwanda,Pressures on Biodiversity,6.0,5.953990610328638,0.38363903699956825,7,5
RUS,Russia,Russia,Pressures on Biodiversity,4.0,3.9208113215712865,1.684692929814228,10,1
ROU,Romania,Romania,Pressures on Biodiversity,5.0,5.3838711261725845,0.8919765599386236,8,3
QAT,Qatar,Qatar,Pressures on Biodiversity,2.0,2.252204585537919,0.8022617326022852,8,2
PRT,Portugal,Portugal,Pressures on Biodiversity,7.0,6.801217988757027,0.6590965486280776,10,3
POL,Poland,Poland,Pressures on Biodiversity,7.0,6.632916486991519,0.9349045885494448,10,4
PHL,Philippines,Philippines,Pressures on Biodiversity,5.0,5.190509803921569,0.8187149991931766,10,3
PER,Peru,Peru,Pressures on Biodiversity,5.0,5.024207503077225,0.8788195000624811,8,3
PRY,Paraguay,Paraguay,Pressures on Biodiversity,5.0,5.518985434455048,1.3152187181352002,9,3
PNG,Papua New Guinea,Papua New Guinea,Pressures on Biodiversity,5.0,5.294204222492895,1.7944163029127855,9,2
PAN,Panama,Panama,Pressures on Biodiversity,5.0,4.530875866414619,0.8053214172583197,8,2
