SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Protected,6.0,5.023390534484643,2.7395803540903274,10,1
ZMB,Zambia,Zambia,Protected,6.0,6.178419153820925,2.0230074403806335,10,1
YEM,Yemen,Yemen,Protected,1.0,1.1470573941779656,0.7650898691707633,8,1
VNM,Vietnam,Vietnam,Protected,6.0,5.060750446694461,2.3652379468657676,10,1
VEN,Venezuela,Venezuela,Protected,6.0,6.908586973258738,2.638604442399015,10,1
VAT,Vatican,Vatican,Protected,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Protected,5.0,4.492248062015504,1.5532966893455684,6,1
UZB,Uzbekistan,Uzbekistan,Protected,1.0,2.755208024215087,2.733931527142202,10,1
URY,Uruguay,Uruguay,Protected,1.0,2.408788914198937,1.945107225109709,8,1
FSM,Federated States of Micronesia,Federated States of Micronesia,Protected,3.0,3.4615384615384617,1.0462669622104188,7,3
MHL,Marshall Islands,Marshall Islands,Protected,6.0,6.0,0.0,6,6
US1,United States of America,United States of America,Protected,3.0,5.171592036561449,3.0668985562578057,10,1
GB1,United Kingdom,Jersey,Protected,7.0,6.714285714285714,0.5890150893739515,8,6
GB1,United Kingdom,Guernsey,Protected,6.5,6.5,0.5,7,6
GB1,United Kingdom,Isle of Man,Protected,3.0,3.257575757575758,0.6350997550040814,6,3
GB1,United Kingdom,United Kingdom,Protected,8.0,7.4365084768843195,1.6373696528405581,10,1
ARE,United Arab Emirates,United Arab Emirates,Protected,6.0,6.060284677644432,2.9398556882847053,10,1
UKR,Ukraine,Ukraine,Protected,6.0,5.202407785052413,1.8789660255900502,10,1
UGA,Uganda,Uganda,Protected,6.0,5.463980343980344,2.4804800358920147,10,1
TKM,Turkmenistan,Turkmenistan,Protected,1.0,2.884447696576115,2.6317421131059797,10,1
TUR,Turkey,Turkey,Protected,1.0,1.4658468686049297,1.1794672046401309,8,1
TUN,Tunisia,Tunisia,Protected,3.0,3.833837172938601,2.328113444918775,10,1
TTO,Trinidad and Tobago,Trinidad and Tobago,Protected,8.0,7.738532110091743,0.7360205742139208,8,3
TON,Tonga,Tonga,Protected,8.0,8.0,0.0,8,8
TGO,Togo,Togo,Protected,6.0,5.639217284957195,2.2667330677256374,10,1
TLS,East Timor,East Timor,Protected,6.0,5.8652037617554855,0.8996755976748954,8,3
THA,Thailand,Thailand,Protected,8.0,6.586907934324766,3.1690986553195892,10,1
TZA,United Republic of Tanzania,United Republic of Tanzania,Protected,6.0,6.245263288933151,2.3781386977836605,10,1
TJK,Tajikistan,Tajikistan,Protected,3.0,5.45871842267406,3.568533678572658,10,1
TWN,Taiwan,Taiwan,Protected,8.0,7.426822481914302,2.6623811372875603,10,3
SYR,Syria,Syria,Protected,1.0,1.2499354727695087,0.6601276506490147,3,1
CHE,Switzerland,Switzerland,Protected,8.0,7.346403461330449,1.5605029945525544,10,3
SWE,Sweden,Sweden,Protected,6.0,6.087008514831751,2.6337954113414956,10,3
SWZ,eSwatini,eSwatini,Protected,8.0,5.67909604519774,2.5777981400145213,8,1
SUR,Suriname,Suriname,Protected,3.0,4.579119086460032,3.269517308839406,10,1
SDS,South Sudan,South Sudan,Protected,3.0,4.320380680108336,3.3597514040435366,10,1
SDN,Sudan,Sudan,Protected,1.0,1.3309559795956925,1.241150260811243,10,1
LKA,Sri Lanka,Sri Lanka,Protected,10.0,8.794880910060433,2.1100748866829804,10,3
ESP,Spain,Spain,Protected,6.0,6.878671635247699,1.6295001257509492,10,1
KOR,South Korea,South Korea,Protected,8.0,6.8507010834926705,1.9418369823531836,8,3
ZAF,South Africa,South Africa,Protected,3.0,4.394970259835125,2.9675532582229267,10,1
SOM,Somalia,Somalia,Protected,1.0,1.054637992116162,0.47559948533111696,6,1
SOL,Somaliland,Somaliland,Protected,1.0,1.0832188959077176,0.5550657263772697,6,1
SLB,Solomon Islands,Solomon Islands,Protected,1.0,2.4877606527651857,1.7974457471066483,6,1
SVK,Slovakia,Slovakia,Protected,6.0,7.014633096621476,1.1747472885877515,10,6
SVN,Slovenia,Slovenia,Protected,8.0,8.94047619047619,1.0126047998728938,10,3
SGP,Singapore,Singapore,Protected,3.0,3.0,0.0,3,3
SLE,Sierra Leone,Sierra Leone,Protected,6.0,5.715629053177691,1.8680193599972472,8,1
SYC,Seychelles,Seychelles,Protected,10.0,10.0,0.0,10,10
