SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Provisioning Services,6.0,6.163515138266477,1.5660270916570511,9,4
ZMB,Zambia,Zambia,Provisioning Services,6.0,6.020125823667969,1.5874050985956423,8,1
YEM,Yemen,Yemen,Provisioning Services,9.0,8.570296933469407,0.764122531230398,10,6
VNM,Vietnam,Vietnam,Provisioning Services,7.0,7.02243398848521,0.9196922428620014,10,4
VEN,Venezuela,Venezuela,Provisioning Services,7.0,6.637376174100498,1.5500522393691747,10,3
VAT,Vatican,Vatican,Provisioning Services,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Provisioning Services,8.0,7.858527131782946,0.6627878643576958,10,7
UZB,Uzbekistan,Uzbekistan,Provisioning Services,8.0,8.532791263576474,0.7343893547080491,10,6
URY,Uruguay,Uruguay,Provisioning Services,7.0,6.6305998481397115,1.3130201398739012,10,4
FSM,Federated States of Micronesia,Federated States of Micronesia,Provisioning Services,8.0,8.423076923076923,0.49404740687173576,9,8
MHL,Marshall Islands,Marshall Islands,Provisioning Services,9.0,9.25,0.4330127018922193,10,9
US1,United States of America,United States of America,Provisioning Services,7.0,6.799896478389036,1.492653858670871,10,3
GB1,United Kingdom,Jersey,Provisioning Services,8.5,8.5,0.5,9,8
GB1,United Kingdom,Guernsey,Provisioning Services,8.0,8.0,0.0,8,8
GB1,United Kingdom,Isle of Man,Provisioning Services,8.0,8.151515151515152,0.3585502898848252,9,8
GB1,United Kingdom,United Kingdom,Provisioning Services,8.0,7.161265064342616,1.4722309584561566,10,4
ARE,United Arab Emirates,United Arab Emirates,Provisioning Services,9.0,9.375383756628523,0.5056501432368692,10,7
UKR,Ukraine,Ukraine,Provisioning Services,5.0,5.2826016958248365,1.1071002516560557,10,4
UGA,Uganda,Uganda,Provisioning Services,7.0,6.775036855036855,1.2215131133602266,8,5
TKM,Turkmenistan,Turkmenistan,Provisioning Services,8.0,8.504009268575262,0.815547995845691,10,5
TUR,Turkey,Turkey,Provisioning Services,7.0,7.339613945170627,1.4972487660025557,10,4
TUN,Tunisia,Tunisia,Provisioning Services,9.0,8.55290315855311,1.0156392849833704,10,6
TTO,Trinidad and Tobago,Trinidad and Tobago,Provisioning Services,8.0,8.123853211009175,0.3430567082254722,10,8
TON,Tonga,Tonga,Provisioning Services,5.0,5.0,0.0,5,5
TGO,Togo,Togo,Provisioning Services,5.0,6.010191602119853,1.3185535457057453,9,5
TLS,East Timor,East Timor,Provisioning Services,8.0,7.9498432601880875,0.21826827818845407,8,7
THA,Thailand,Thailand,Provisioning Services,8.0,7.935184389237514,0.9834497824260591,10,4
TZA,United Republic of Tanzania,United Republic of Tanzania,Provisioning Services,5.0,5.712411303373584,1.4853369625528958,8,4
TJK,Tajikistan,Tajikistan,Provisioning Services,8.0,7.999383857054837,0.6017360643522685,10,7
TWN,Taiwan,Taiwan,Provisioning Services,7.0,6.675570395102949,0.6949445958407541,10,6
SYR,Syria,Syria,Provisioning Services,9.0,8.60234018755915,0.9542587086946276,10,7
CHE,Switzerland,Switzerland,Provisioning Services,5.0,5.271498107084911,0.9522703366556667,8,4
SWE,Sweden,Sweden,Provisioning Services,7.0,6.473265199915848,1.690539587046251,10,4
SWZ,eSwatini,eSwatini,Provisioning Services,7.0,6.68135593220339,0.7003972826462531,7,5
SUR,Suriname,Suriname,Provisioning Services,8.0,7.3707993474714515,1.27302116427724,10,4
SDS,South Sudan,South Sudan,Provisioning Services,6.0,6.272381883839904,1.1113976511165728,9,4
SDN,Sudan,Sudan,Provisioning Services,8.0,8.219121953523521,1.3456584764250437,10,5
LKA,Sri Lanka,Sri Lanka,Provisioning Services,7.0,7.450764308567366,0.560721329885928,10,7
ESP,Spain,Spain,Provisioning Services,8.0,7.833324199912319,1.4335255045922972,10,4
KOR,South Korea,South Korea,Provisioning Services,7.0,6.328393881453155,1.6293877473511762,10,4
ZAF,South Africa,South Africa,Provisioning Services,7.0,7.272476558190844,1.0715915105808416,10,4
SOM,Somalia,Somalia,Provisioning Services,8.0,7.752058280524924,1.150016381430032,10,4
