SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Range Rarity,3.0,3.823150071046016,1.8210419466462695,10,3
ZMB,Zambia,Zambia,Range Rarity,3.0,4.351918661856346,1.7691825733850128,10,1
YEM,Yemen,Yemen,Range Rarity,3.0,3.0258055110074356,2.665007416863298,10,1
VNM,Vietnam,Vietnam,Range Rarity,10.0,8.956720270001986,1.8139543778306157,10,3
VEN,Venezuela,Venezuela,Range Rarity,7.0,7.445542267617923,2.356958161635235,10,3
VAT,Vatican,Vatican,Range Rarity,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Range Rarity,10.0,9.753875968992247,0.6405881624871277,10,8
UZB,Uzbekistan,Uzbekistan,Range Rarity,1.0,1.9595228203454211,1.097896557539899,6,1
URY,Uruguay,Uruguay,Range Rarity,6.0,5.52249430523918,2.52607263972651,10,3
FSM,Federated States of Micronesia,Federated States of Micronesia,Range Rarity,10.0,10.0,0.0,10,10
MHL,Marshall Islands,Marshall Islands,Range Rarity,7.0,6.75,0.4330127018922193,7,6
US1,United States of America,United States of America,Range Rarity,3.0,2.712691109391882,2.1251319860851208,10,1
GB1,United Kingdom,Jersey,Range Rarity,4.0,3.9285714285714284,0.7985957062499249,5,3
GB1,United Kingdom,Guernsey,Range Rarity,3.5,3.5,0.5,4,3
GB1,United Kingdom,Isle of Man,Range Rarity,3.0,3.242424242424242,0.5789385810467516,5,3
GB1,United Kingdom,United Kingdom,Range Rarity,3.0,2.7824947232246204,1.7491971992282767,8,1
ARE,United Arab Emirates,United Arab Emirates,Range Rarity,3.0,4.0558191459670665,3.1536535333885056,10,1
UKR,Ukraine,Ukraine,Range Rarity,1.0,1.2571643232800258,0.9030793531786496,6,1
UGA,Uganda,Uganda,Range Rarity,6.0,6.96982800982801,2.6426428808071676,10,1
TKM,Turkmenistan,Turkmenistan,Range Rarity,1.0,1.6468794780328668,0.9601683039356056,10,1
TUR,Turkey,Turkey,Range Rarity,3.0,3.301543113143194,1.7505735276673766,10,1
TUN,Tunisia,Tunisia,Range Rarity,3.0,3.3630772438236214,2.0909279692821054,10,1
TTO,Trinidad and Tobago,Trinidad and Tobago,Range Rarity,10.0,10.0,0.0,10,10
TON,Tonga,Tonga,Range Rarity,10.0,10.0,0.0,10,10
TGO,Togo,Togo,Range Rarity,3.0,4.875662454137791,2.5136461684444282,10,3
TLS,East Timor,East Timor,Range Rarity,10.0,10.0,0.0,10,10
THA,Thailand,Thailand,Range Rarity,8.0,7.5024499269320035,2.3053311522588333,10,3
TZA,United Republic of Tanzania,United Republic of Tanzania,Range Rarity,6.0,6.2655296900286315,2.8331990227476624,10,1
TJK,Tajikistan,Tajikistan,Range Rarity,3.0,2.7395769151776546,1.5063215549523965,10,1
TWN,Taiwan,Taiwan,Range Rarity,10.0,9.989983305509181,0.17624617828045813,10,6
SYR,Syria,Syria,Range Rarity,2.0,3.1373999827927386,2.8319165854092514,10,1
CHE,Switzerland,Switzerland,Range Rarity,3.0,2.7996214169821525,0.5980225820560111,3,1
SWE,Sweden,Sweden,Range Rarity,1.0,1.0752494103838872,0.433177827719584,8,1
SWZ,eSwatini,eSwatini,Range Rarity,7.0,7.303954802259887,1.511999521041419,10,6
SUR,Suriname,Suriname,Range Rarity,6.0,6.602936378466558,1.3909253286982342,10,6
SDS,South Sudan,South Sudan,Range Rarity,3.0,3.716859765272344,1.6036958360400626,10,3
SDN,Sudan,Sudan,Range Rarity,1.0,2.1426412242584547,1.4063720254211487,10,1
LKA,Sri Lanka,Sri Lanka,Range Rarity,10.0,9.841450408816211,0.6072458798514213,10,6
ESP,Spain,Spain,Range Rarity,3.0,3.9858888645330994,1.890510033942702,10,1
KOR,South Korea,South Korea,Range Rarity,6.0,5.908062460165711,2.1603926433426675,10,1
ZAF,South Africa,South Africa,Range Rarity,4.0,5.324458490481656,2.6434349920204223,10,3
SOM,Somalia,Somalia,Range Rarity,3.0,4.434509256025148,1.86889125503711,10,3
SOL,Somaliland,Somaliland,Range Rarity,6.0,5.613430376270255,2.187101288157036,10,3
SLB,Solomon Islands,Solomon Islands,Range Rarity,10.0,10.0,0.0,10,10
SVK,Slovakia,Slovakia,Range Rarity,1.0,1.904024101570906,0.9926775972018116,3,1
SVN,Slovenia,Slovenia,Range Rarity,3.0,2.1609977324263037,1.0057309263117957,6,1
SGP,Singapore,Singapore,Range Rarity,10.0,10.0,0.0,10,10
SLE,Sierra Leone,Sierra Leone,Range Rarity,6.0,6.701686121919585,1.3642117434576218,10,3
SYC,Seychelles,Seychelles,Range Rarity,10.0,10.0,0.0,10,10
SRB,Republic of Serbia,Republic of Serbia,Range Rarity,1.0,1.3089816571790007,0.7210850196815525,3,1
SEN,Senegal,Senegal,Range Rarity,3.0,3.39418380097694,0.9955131768883839,6,3
SAU,Saudi Arabia,Saudi Arabia,Range Rarity,1.0,1.361091981786599,1.0150904114003874,10,1
STP,São Tomé and Principe,São Tomé and Principe,Range Rarity,10.0,10.0,0.0,10,10
SMR,San Marino,San Marino,Range Rarity,3.0,3.0,0.0,3,3
WSM,Samoa,Samoa,Range Rarity,10.0,10.0,0.0,10,10
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Range Rarity,10.0,10.0,0.0,10,10
LCA,Saint Lucia,Saint Lucia,Range Rarity,10.0,10.0,0.0,10,10
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,Range Rarity,10.0,10.0,0.0,10,10
RWA,Rwanda,Rwanda,Range Rarity,10.0,9.425352112676057,0.8840344420869621,10,7
RUS,Russia,Russia,Range Rarity,1.0,1.0454810369451377,0.3810995036393884,10,1
ROU,Romania,Romania,Range Rarity,1.0,1.7635676047345414,0.9727845753442053,5,1
QAT,Qatar,Qatar,Range Rarity,1.0,4.774250440917108,4.270629784838395,10,1
PRT,Portugal,Portugal,Range Rarity,3.0,3.2065896314803246,1.1846721675328988,10,3
POL,Poland,Poland,Range Rarity,1.0,1.2703751617076326,0.7059597952764586,6,1
PHL,Philippines,Philippines,Range Rarity,10.0,9.974196078431373,0.3288137335288329,10,3
PER,Peru,Peru,Range Rarity,10.0,8.839128030397632,1.6527550344775968,10,6
PRY,Paraguay,Paraguay,Range Rarity,6.0,4.953842290306379,1.9406899033834601,10,3
PNG,Papua New Guinea,Papua New Guinea,Range Rarity,10.0,9.633526187576127,0.9532487296103873,10,6
