SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Regulating & Supporting Services - Enabling,8.0,7.392228658869822,1.0458913288332945,9,5
ZMB,Zambia,Zambia,Regulating & Supporting Services - Enabling,5.0,5.799576612302096,1.2200892785028712,9,3
YEM,Yemen,Yemen,Regulating & Supporting Services - Enabling,10.0,9.25980463624435,0.9559751756479631,10,6
VNM,Vietnam,Vietnam,Regulating & Supporting Services - Enabling,8.0,7.4168486532989215,1.3024838529540452,10,4
VEN,Venezuela,Venezuela,Regulating & Supporting Services - Enabling,5.0,5.680105733203305,1.7517013379818869,10,1
VAT,Vatican,Vatican,Regulating & Supporting Services - Enabling,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Regulating & Supporting Services - Enabling,4.0,3.947674418604651,0.8463180735359811,7,3
UZB,Uzbekistan,Uzbekistan,Regulating & Supporting Services - Enabling,8.0,8.41067719152472,0.8263646047852151,10,5
URY,Uruguay,Uruguay,Regulating & Supporting Services - Enabling,8.0,7.328682611996963,1.3178715825999938,10,5
FSM,Federated States of Micronesia,Federated States of Micronesia,Regulating & Supporting Services - Enabling,5.0,5.1923076923076925,0.39411349099844606,6,5
MHL,Marshall Islands,Marshall Islands,Regulating & Supporting Services - Enabling,4.0,4.0,0.0,4,4
US1,United States of America,United States of America,Regulating & Supporting Services - Enabling,5.0,5.261650319890607,3.1718021064605,10,1
GB1,United Kingdom,Jersey,Regulating & Supporting Services - Enabling,6.0,5.857142857142857,0.8329931278350429,8,5
GB1,United Kingdom,Guernsey,Regulating & Supporting Services - Enabling,5.5,5.5,0.5,6,5
GB1,United Kingdom,Isle of Man,Regulating & Supporting Services - Enabling,5.0,5.181818181818182,0.4231587892051194,7,5
GB1,United Kingdom,United Kingdom,Regulating & Supporting Services - Enabling,6.0,6.63365561380813,2.9370901481175964,10,1
ARE,United Arab Emirates,United Arab Emirates,Regulating & Supporting Services - Enabling,8.0,8.81998325425621,0.9725350915646487,10,6
UKR,Ukraine,Ukraine,Regulating & Supporting Services - Enabling,8.0,7.733837787556796,1.3621057423177316,10,5
UGA,Uganda,Uganda,Regulating & Supporting Services - Enabling,5.0,5.483144963144963,1.0138529113803607,10,5
TKM,Turkmenistan,Turkmenistan,Regulating & Supporting Services - Enabling,8.0,8.768803926948992,0.8621899150883153,10,5
