SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Regulating Services - Mitigating,8.0,8.012897584435457,0.26949674076314184,10,6
ZMB,Zambia,Zambia,Regulating Services - Mitigating,8.0,8.866603059125197,1.0903486576281245,10,6
YEM,Yemen,Yemen,Regulating Services - Mitigating,6.0,6.631773339165087,1.086816708979905,10,3
VNM,Vietnam,Vietnam,Regulating Services - Mitigating,8.0,8.692277149096684,0.9779207948604126,10,5
VEN,Venezuela,Venezuela,Regulating Services - Mitigating,6.0,5.528101421752297,1.8125660546553521,10,3
VAT,Vatican,Vatican,Regulating Services - Mitigating,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Regulating Services - Mitigating,10.0,9.2984496124031,0.9107867368485498,10,5
UZB,Uzbekistan,Uzbekistan,Regulating Services - Mitigating,6.0,6.538488931093833,1.047177540687499,10,3
URY,Uruguay,Uruguay,Regulating Services - Mitigating,6.0,6.451879271070615,1.2378338382387655,10,1
FSM,Federated States of Micronesia,Federated States of Micronesia,Regulating Services - Mitigating,8.0,7.846153846153846,0.455083060238432,8,6
MHL,Marshall Islands,Marshall Islands,Regulating Services - Mitigating,5.0,6.25,2.165063509461097,10,5
US1,United States of America,United States of America,Regulating Services - Mitigating,8.0,6.994285342200728,2.697008089859607,10,1
GB1,United Kingdom,Jersey,Regulating Services - Mitigating,6.0,5.714285714285714,0.45175395145262565,6,5
GB1,United Kingdom,Guernsey,Regulating Services - Mitigating,6.0,6.0,0.0,6,6
GB1,United Kingdom,Isle of Man,Regulating Services - Mitigating,1.0,1.0,0.0,1,1
GB1,United Kingdom,United Kingdom,Regulating Services - Mitigating,3.0,4.134098182065772,1.4819536668039424,10,1
ARE,United Arab Emirates,United Arab Emirates,Regulating Services - Mitigating,3.0,3.7940273513815237,1.6940071171996178,10,1
UKR,Ukraine,Ukraine,Regulating Services - Mitigating,6.0,6.023183428142106,0.28778932340233526,10,3
UGA,Uganda,Uganda,Regulating Services - Mitigating,8.0,7.467223587223587,0.9787330257828941,8,3
TKM,Turkmenistan,Turkmenistan,Regulating Services - Mitigating,6.0,5.312143662916553,2.2851421945263186,10,1
TUR,Turkey,Turkey,Regulating Services - Mitigating,8.0,7.496948802566324,0.9250975514747409,10,5
TUN,Tunisia,Tunisia,Regulating Services - Mitigating,6.0,6.605232982382987,1.0670240491732412,10,5
TTO,Trinidad and Tobago,Trinidad and Tobago,Regulating Services - Mitigating,8.0,7.995412844036697,0.17913416687859302,10,7
TON,Tonga,Tonga,Regulating Services - Mitigating,10.0,10.0,0.0,10,10
TGO,Togo,Togo,Regulating Services - Mitigating,8.0,8.247452099470037,0.8737687920762536,10,5
TLS,East Timor,East Timor,Regulating Services - Mitigating,8.0,7.978056426332288,0.14649932847082034,8,7
THA,Thailand,Thailand,Regulating Services - Mitigating,8.0,7.9042379437806245,0.4283354427989547,10,5
TZA,United Republic of Tanzania,United Republic of Tanzania,Regulating Services - Mitigating,8.0,7.72339101207519,0.9670904249641795,10,3
TJK,Tajikistan,Tajikistan,Regulating Services - Mitigating,8.0,7.803963852947217,0.6375952681344544,10,6
TWN,Taiwan,Taiwan,Regulating Services - Mitigating,10.0,9.954924874791319,0.20746893332762584,10,9
SYR,Syria,Syria,Regulating Services - Mitigating,5.0,5.295534715650004,2.3629943776816,10,3
CHE,Switzerland,Switzerland,Regulating Services - Mitigating,6.0,6.229583558680368,1.001632463999057,10,3
SWE,Sweden,Sweden,Regulating Services - Mitigating,3.0,2.9982283835106793,0.17713446429789903,10,1
SWZ,eSwatini,eSwatini,Regulating Services - Mitigating,8.0,7.632768361581921,0.761836702340409,10,6
SUR,Suriname,Suriname,Regulating Services - Mitigating,6.0,5.265905383360522,1.2803301868888295,10,1
SDS,South Sudan,South Sudan,Regulating Services - Mitigating,8.0,7.701474571170629,0.9590020101293943,10,6
SDN,Sudan,Sudan,Regulating Services - Mitigating,8.0,8.207254864915926,1.0964183840343622,10,3
LKA,Sri Lanka,Sri Lanka,Regulating Services - Mitigating,6.0,6.778528261642375,0.9845993457586678,10,5
ESP,Spain,Spain,Regulating Services - Mitigating,8.0,7.755808855765015,1.026711535549189,10,1
KOR,South Korea,South Korea,Regulating Services - Mitigating,8.0,8.027884002549394,0.7590667490004778,10,5
ZAF,South Africa,South Africa,Regulating Services - Mitigating,8.0,7.9509548158196806,0.37562312076187876,10,3
SOM,Somalia,Somalia,Regulating Services - Mitigating,8.0,7.645227284067661,0.7691978844522973,10,5
SOL,Somaliland,Somaliland,Regulating Services - Mitigating,6.0,6.299642955232079,0.7141773655660755,10,5
SLB,Solomon Islands,Solomon Islands,Regulating Services - Mitigating,8.0,7.99184043517679,1.0223816983819658,10,5
SVK,Slovakia,Slovakia,Regulating Services - Mitigating,6.0,5.999784807402626,0.014667865881602732,6,5
SVN,Slovenia,Slovenia,Regulating Services - Mitigating,6.0,5.918367346938775,0.4880922752286285,10,3
SGP,Singapore,Singapore,Regulating Services - Mitigating,6.0,5.954545454545454,0.20829889522526546,6,5
SLE,Sierra Leone,Sierra Leone,Regulating Services - Mitigating,8.0,7.428015564202335,0.9162425835289981,10,5
SYC,Seychelles,Seychelles,Regulating Services - Mitigating,10.0,10.0,0.0,10,10
SRB,Republic of Serbia,Republic of Serbia,Regulating Services - Mitigating,6.0,6.738931056293485,0.9520422449171992,8,6
SEN,Senegal,Senegal,Regulating Services - Mitigating,10.0,9.718732250369193,0.6840867442249066,10,6
SAU,Saudi Arabia,Saudi Arabia,Regulating Services - Mitigating,6.0,5.974458069091694,0.5165695397511746,10,1
STP,São Tomé and Principe,São Tomé and Principe,Regulating Services - Mitigating,3.0,2.9555555555555557,0.29481109247603554,3,1
SMR,San Marino,San Marino,Regulating Services - Mitigating,8.0,8.0,0.0,8,8
WSM,Samoa,Samoa,Regulating Services - Mitigating,10.0,10.0,0.0,10,10
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Regulating Services - Mitigating,3.0,3.0,0.0,3,3
LCA,Saint Lucia,Saint Lucia,Regulating Services - Mitigating,3.0,3.0,0.0,3,3
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,Regulating Services - Mitigating,8.0,8.0,0.0,8,8
RWA,Rwanda,Rwanda,Regulating Services - Mitigating,8.0,7.842253521126761,0.51228897320269,8,6
RUS,Russia,Russia,Regulating Services - Mitigating,3.0,4.389991488625053,1.9496053622006435,10,1
ROU,Romania,Romania,Regulating Services - Mitigating,6.0,6.360394872550464,0.8940048956584404,8,3
QAT,Qatar,Qatar,Regulating Services - Mitigating,3.0,3.123456790123457,0.6968789386884785,10,1
PRT,Portugal,Portugal,Regulating Services - Mitigating,6.0,5.89631480324797,2.0774792924853154,10,1
POL,Poland,Poland,Regulating Services - Mitigating,6.0,5.99787264625557,0.1590400424755347,10,1
PHL,Philippines,Philippines,Regulating Services - Mitigating,8.0,8.620470588235294,1.100390560841854,10,5
PER,Peru,Peru,Regulating Services - Mitigating,6.0,6.451165777690565,0.9947914223945385,10,3
PRY,Paraguay,Paraguay,Regulating Services - Mitigating,9.0,8.512004018081367,1.617934254727528,10,6
PNG,Papua New Guinea,Papua New Guinea,Regulating Services - Mitigating,3.0,4.67037149817296,1.8559861190888731,10,1
PAN,Panama,Panama,Regulating Services - Mitigating,6.0,5.528985507246377,1.5271986261689463,10,1
PLW,Palau,Palau,Regulating Services - Mitigating,8.0,8.0625,0.5555121510822243,10,7
PAK,Pakistan,Pakistan,Regulating Services - Mitigating,8.0,8.835906547400237,1.0664759794539658,10,3
OMN,Oman,Oman,Regulating Services - Mitigating,6.0,6.244309051955008,0.8042767092245572,10,3
NOR,Norway,Norway,Regulating Services - Mitigating,3.0,4.533003895041792,1.7656143892871272,10,1
PRK,North Korea,North Korea,Regulating Services - Mitigating,6.0,6.969521210053451,0.9979982059117679,10,5
NGA,Nigeria,Nigeria,Regulating Services - Mitigating,8.0,8.886038292354243,1.012008344620248,10,5
NER,Niger,Niger,Regulating Services - Mitigating,6.0,7.272995024147519,1.7080095106975324,10,6
NIC,Nicaragua,Nicaragua,Regulating Services - Mitigating,6.0,6.9541381128097,0.9985959258538187,10,5
NZ1,New Zealand,New Zealand,Regulating Services - Mitigating,8.0,7.515961652500494,0.8949531351780214,10,5
NL1,Netherlands,Netherlands,Regulating Services - Mitigating,3.0,3.567659162430404,1.6325364694728783,10,1
NL1,Netherlands,Aruba,Regulating Services - Mitigating,6.0,6.0,0.0,6,6
NL1,Netherlands,Curaçao,Regulating Services - Mitigating,6.0,5.7,0.45825756949558405,6,5
NPL,Nepal,Nepal,Regulating Services - Mitigating,8.0,8.15669014084507,1.1834265932337404,10,6
NRU,Nauru,Nauru,Regulating Services - Mitigating,5.0,5.0,0.0,5,5
NAM,Namibia,Namibia,Regulating Services - Mitigating,6.0,6.007620367163145,0.5806190106443662,10,1
MOZ,Mozambique,Mozambique,Regulating Services - Mitigating,8.0,8.3703551575892,0.85662613342909,10,5
MAR,Morocco,Morocco,Regulating Services - Mitigating,6.0,5.69010192803635,1.8366943612151907,10,1
SAH,Western Sahara,Western Sahara,Regulating Services - Mitigating,8.0,6.008708904855214,2.381420373787853,8,1
MNE,Montenegro,Montenegro,Regulating Services - Mitigating,6.0,6.882408278457197,0.981628532841411,8,5
MNG,Mongolia,Mongolia,Regulating Services - Mitigating,3.0,3.7217516746889863,1.6070375183192893,10,3
MDA,Moldova,Moldova,Regulating Services - Mitigating,3.0,3.8786972416085077,1.3367426286176203,6,3
MCO,Monaco,Monaco,Regulating Services - Mitigating,10.0,10.0,0.0,10,10
MEX,Mexico,Mexico,Regulating Services - Mitigating,8.0,8.514976888763297,1.214485078286236,10,5
MUS,Mauritius,Mauritius,Regulating Services - Mitigating,10.0,10.0,0.0,10,10
MRT,Mauritania,Mauritania,Regulating Services - Mitigating,8.0,8.329887958009488,0.8994946135298378,10,1
MLT,Malta,Malta,Regulating Services - Mitigating,3.0,3.0,0.0,3,3
