SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Reputational Risk,10.0,9.936167887200787,0.3107928585247156,10,7
ZMB,Zambia,Zambia,Reputational Risk,8.0,8.501952950296669,0.722934305872408,10,8
YEM,Yemen,Yemen,Reputational Risk,8.0,8.203382417261992,0.5807428125299723,9,4
VNM,Vietnam,Vietnam,Reputational Risk,7.0,7.051154787902853,0.8842573240211866,10,2
VEN,Venezuela,Venezuela,Reputational Risk,8.0,8.085330801211313,1.0143364251367213,10,6
VAT,Vatican,Vatican,Reputational Risk,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Reputational Risk,7.0,7.422480620155039,1.2697274510744496,9,4
UZB,Uzbekistan,Uzbekistan,Reputational Risk,7.0,6.911092646447861,0.5738177654663532,10,5
URY,Uruguay,Uruguay,Reputational Risk,5.0,5.269172361427486,1.3180103956696854,10,4
FSM,Federated States of Micronesia,Federated States of Micronesia,Reputational Risk,7.0,6.961538461538462,0.8076923076923077,9,5
MHL,Marshall Islands,Marshall Islands,Reputational Risk,9.0,9.0,0.0,9,9
US1,United States of America,United States of America,Reputational Risk,7.0,7.137219109338908,1.2415817448844688,10,4
GB1,United Kingdom,Jersey,Reputational Risk,8.5,8.5,0.5,9,8
GB1,United Kingdom,Guernsey,Reputational Risk,8.0,8.0,0.0,8,8
GB1,United Kingdom,Isle of Man,Reputational Risk,6.0,6.181818181818182,0.4231587892051194,8,6
GB1,United Kingdom,United Kingdom,Reputational Risk,8.0,7.523694423639954,1.4457697522031172,10,4
ARE,United Arab Emirates,United Arab Emirates,Reputational Risk,8.0,7.774490650293051,0.8349383744645126,9,6
UKR,Ukraine,Ukraine,Reputational Risk,6.0,6.2137132839612175,0.5525215710881803,9,4
UGA,Uganda,Uganda,Reputational Risk,9.0,9.257395577395577,0.4863625186403452,10,8
TKM,Turkmenistan,Turkmenistan,Reputational Risk,7.0,6.852769901521388,0.6257779902371441,10,5
TUR,Turkey,Turkey,Reputational Risk,8.0,8.019321177706901,0.19731384159135337,10,6
TUN,Tunisia,Tunisia,Reputational Risk,7.0,6.830397164599187,0.5848299583144404,10,6
TTO,Trinidad and Tobago,Trinidad and Tobago,Reputational Risk,8.0,8.123853211009175,0.3430567082254722,10,8
TON,Tonga,Tonga,Reputational Risk,6.0,6.0,0.0,6,6
TGO,Togo,Togo,Reputational Risk,8.0,8.317162657969833,0.5877009079066398,9,7
TLS,East Timor,East Timor,Reputational Risk,8.0,7.952978056426332,0.4200860892751534,9,7
THA,Thailand,Thailand,Reputational Risk,8.0,8.130834694403852,0.8919474902580172,10,7
TZA,United Republic of Tanzania,United Republic of Tanzania,Reputational Risk,8.0,8.35844640856467,0.6826338490642854,10,7
TJK,Tajikistan,Tajikistan,Reputational Risk,7.0,7.763606490039022,0.9756652016720341,10,6
TWN,Taiwan,Taiwan,Reputational Risk,9.0,9.371730662214803,0.48326698313059513,10,9
SYR,Syria,Syria,Reputational Risk,9.0,8.572485588918523,0.4993914296366188,10,7
CHE,Switzerland,Switzerland,Reputational Risk,6.0,5.9410492157923205,1.0904408793056493,8,3
SWE,Sweden,Sweden,Reputational Risk,6.0,5.510602017428277,2.088483942606943,10,2
SWZ,eSwatini,eSwatini,Reputational Risk,9.0,9.11864406779661,0.8494214534114713,10,8
SUR,Suriname,Suriname,Reputational Risk,8.0,7.9623164763458405,0.8202469593933946,10,6
