SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Resource Scarcity: Food - Water - Air,10.0,9.904087878456663,0.5356803617111805,10,5
ZMB,Zambia,Zambia,Resource Scarcity: Food - Water - Air,8.0,8.094874623572558,0.4068683756015144,10,6
YEM,Yemen,Yemen,Resource Scarcity: Food - Water - Air,7.0,7.373135053700734,0.8439231606595603,10,5
VNM,Vietnam,Vietnam,Resource Scarcity: Food - Water - Air,4.0,4.053206273575541,1.4240348312402167,10,1
VEN,Venezuela,Venezuela,Resource Scarcity: Food - Water - Air,3.0,3.387850946979418,0.8471643501604795,10,1
VAT,Vatican,Vatican,Resource Scarcity: Food - Water - Air,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Resource Scarcity: Food - Water - Air,5.0,5.01937984496124,0.31068254926126737,10,5
UZB,Uzbekistan,Uzbekistan,Resource Scarcity: Food - Water - Air,8.0,7.667725087542287,1.4229005263628394,10,4
URY,Uruguay,Uruguay,Resource Scarcity: Food - Water - Air,5.0,5.001423690205011,0.0843589007233801,10,5
FSM,Federated States of Micronesia,Federated States of Micronesia,Resource Scarcity: Food - Water - Air,5.0,5.0,0.0,5,5
MHL,Marshall Islands,Marshall Islands,Resource Scarcity: Food - Water - Air,6.0,6.583333333333333,2.0190069065976193,10,5
US1,United States of America,United States of America,Resource Scarcity: Food - Water - Air,3.0,3.9873809584247057,1.616870841840097,10,1
GB1,United Kingdom,Jersey,Resource Scarcity: Food - Water - Air,3.0,3.2142857142857144,0.7726181304565691,4,1
GB1,United Kingdom,Guernsey,Resource Scarcity: Food - Water - Air,3.5,3.5,0.5,4,3
GB1,United Kingdom,Isle of Man,Resource Scarcity: Food - Water - Air,3.0,2.9696969696969697,0.2443108408575318,3,1
GB1,United Kingdom,United Kingdom,Resource Scarcity: Food - Water - Air,2.0,1.949887655749983,0.9978228262066087,10,1
ARE,United Arab Emirates,United Arab Emirates,Resource Scarcity: Food - Water - Air,8.0,8.19257605358638,0.6630308968244581,10,5
UKR,Ukraine,Ukraine,Resource Scarcity: Food - Water - Air,4.0,4.3315623770169225,1.2231700146157667,10,1
UGA,Uganda,Uganda,Resource Scarcity: Food - Water - Air,10.0,9.942702702702702,0.32239821175994815,10,5
TKM,Turkmenistan,Turkmenistan,Resource Scarcity: Food - Water - Air,8.0,8.069392359523157,1.013191792382079,10,5
TUR,Turkey,Turkey,Resource Scarcity: Food - Water - Air,6.0,6.30299957596652,1.4987639676068412,10,1
TUN,Tunisia,Tunisia,Resource Scarcity: Food - Water - Air,8.0,7.667987073908058,0.8272903621537826,10,5
TTO,Trinidad and Tobago,Trinidad and Tobago,Resource Scarcity: Food - Water - Air,5.0,5.022935779816514,0.33786513446459254,10,5
TON,Tonga,Tonga,Resource Scarcity: Food - Water - Air,10.0,10.0,0.0,10,10
TGO,Togo,Togo,Resource Scarcity: Food - Water - Air,8.0,7.999592335915206,0.020186577094398608,8,7
TLS,East Timor,East Timor,Resource Scarcity: Food - Water - Air,3.0,2.959247648902821,0.29874460127196134,4,1
THA,Thailand,Thailand,Resource Scarcity: Food - Water - Air,6.0,5.968881629846128,0.9399001480572743,10,3
TZA,United Republic of Tanzania,United Republic of Tanzania,Resource Scarcity: Food - Water - Air,8.0,8.015635503547864,0.3532559480241471,10,5
TJK,Tajikistan,Tajikistan,Resource Scarcity: Food - Water - Air,6.0,6.721092626822756,1.4881778103298697,10,5
TWN,Taiwan,Taiwan,Resource Scarcity: Food - Water - Air,8.0,7.985531441291041,0.17907170739793082,10,5
SYR,Syria,Syria,Resource Scarcity: Food - Water - Air,8.0,7.980297685623333,1.1391407232517572,10,5
CHE,Switzerland,Switzerland,Resource Scarcity: Food - Water - Air,3.0,2.8777717685235262,0.6737672956432182,4,2
SWE,Sweden,Sweden,Resource Scarcity: Food - Water - Air,1.0,1.4779932014217223,0.7125664525789231,10,1
SWZ,eSwatini,eSwatini,Resource Scarcity: Food - Water - Air,10.0,7.922033898305084,2.771448526800383,10,4
SUR,Suriname,Suriname,Resource Scarcity: Food - Water - Air,3.0,2.9862969004893962,0.24728507554532414,10,1
SDS,South Sudan,South Sudan,Resource Scarcity: Food - Water - Air,10.0,9.884705085765875,0.44800444813686996,10,8
SDN,Sudan,Sudan,Resource Scarcity: Food - Water - Air,8.0,8.296063196674854,0.5073124764619799,10,6
LKA,Sri Lanka,Sri Lanka,Resource Scarcity: Food - Water - Air,4.0,4.627444009953786,1.1128249749923775,10,1
ESP,Spain,Spain,Resource Scarcity: Food - Water - Air,8.0,7.2190925032880315,1.7826473131271585,10,1
KOR,South Korea,South Korea,Resource Scarcity: Food - Water - Air,4.0,3.825525812619503,0.5664778813513253,10,1
ZAF,South Africa,South Africa,Resource Scarcity: Food - Water - Air,7.0,6.377170882962389,1.4299492442096038,10,1
SOM,Somalia,Somalia,Resource Scarcity: Food - Water - Air,10.0,9.941919065914874,0.305006524892142,10,8
SOL,Somaliland,Somaliland,Resource Scarcity: Food - Water - Air,10.0,9.936830541060148,0.31289727263982653,10,8
SLB,Solomon Islands,Solomon Islands,Resource Scarcity: Food - Water - Air,2.0,1.9501359927470534,0.9311071601106541,10,1
SVK,Slovakia,Slovakia,Resource Scarcity: Food - Water - Air,3.0,3.248547449967721,0.4321708170182992,4,3
SVN,Slovenia,Slovenia,Resource Scarcity: Food - Water - Air,3.0,2.9682539682539684,0.2566819306158131,10,1
SGP,Singapore,Singapore,Resource Scarcity: Food - Water - Air,3.0,3.0,0.0,3,3
SLE,Sierra Leone,Sierra Leone,Resource Scarcity: Food - Water - Air,10.0,9.986381322957198,0.11590171991133448,10,9
SYC,Seychelles,Seychelles,Resource Scarcity: Food - Water - Air,10.0,10.0,0.0,10,10
SRB,Republic of Serbia,Republic of Serbia,Resource Scarcity: Food - Water - Air,3.0,3.1347248576850095,0.4203125289072591,6,3
SEN,Senegal,Senegal,Resource Scarcity: Food - Water - Air,8.0,8.036464841531297,0.27032714935405333,10,5
SAU,Saudi Arabia,Saudi Arabia,Resource Scarcity: Food - Water - Air,8.0,8.078167559178135,0.3190661467068355,10,5
STP,São Tomé and Principe,São Tomé and Principe,Resource Scarcity: Food - Water - Air,8.0,7.977777777777778,0.14740554623801777,8,7
SMR,San Marino,San Marino,Resource Scarcity: Food - Water - Air,5.0,5.0,0.0,5,5
WSM,Samoa,Samoa,Resource Scarcity: Food - Water - Air,10.0,10.0,0.0,10,10
