SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Risk Preparation,10.0,9.945403869275331,0.39093303849125016,10,6
ZMB,Zambia,Zambia,Risk Preparation,10.0,10.035600345866007,3.232871678829952,63,1
YEM,Yemen,Yemen,Risk Preparation,8.0,7.713660883510716,1.3356195456298443,10,1
VNM,Vietnam,Vietnam,Risk Preparation,6.0,6.055522467076964,0.7541567096249865,10,3
VEN,Venezuela,Venezuela,Risk Preparation,6.0,5.997869937894575,0.0881559566346608,10,5
VAT,Vatican,Vatican,Risk Preparation,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Risk Preparation,1.0,1.0348837209302326,0.5592285886702814,10,1
UZB,Uzbekistan,Uzbekistan,Risk Preparation,6.0,5.678022434565849,1.087546293962263,8,1
URY,Uruguay,Uruguay,Risk Preparation,3.0,3.1593583902809415,0.665581686118101,10,1
FSM,Federated States of Micronesia,Federated States of Micronesia,Risk Preparation,1.0,1.0,0.0,1,1
MHL,Marshall Islands,Marshall Islands,Risk Preparation,1.0,3.25,3.897114317029974,10,1
US1,United States of America,United States of America,Risk Preparation,1.0,1.0222902556145024,0.40109970731500005,10,1
GB1,United Kingdom,Jersey,Risk Preparation,1.0,1.0,0.0,1,1
GB1,United Kingdom,Guernsey,Risk Preparation,1.0,1.0,0.0,1,1
GB1,United Kingdom,Isle of Man,Risk Preparation,1.0,1.0,0.0,1,1
GB1,United Kingdom,United Kingdom,Risk Preparation,1.0,1.011949342956356,0.3277213752719145,10,1
ARE,United Arab Emirates,United Arab Emirates,Risk Preparation,1.0,1.015071169411108,0.3679855765550516,10,1
UKR,Ukraine,Ukraine,Risk Preparation,3.0,3.017655897821187,0.2530474568832016,10,1
UGA,Uganda,Uganda,Risk Preparation,10.0,10.007567567567568,2.5739656169571057,63,1
TKM,Turkmenistan,Turkmenistan,Risk Preparation,1.0,1.3023567791700967,2.461673209325512,63,1
TUR,Turkey,Turkey,Risk Preparation,3.0,3.0611898748179422,0.5612156895457183,10,1
TUN,Tunisia,Tunisia,Risk Preparation,6.0,5.911706452621703,0.64704021583033,10,1
TTO,Trinidad and Tobago,Trinidad and Tobago,Risk Preparation,3.0,3.0045871559633026,0.5289569658881866,10,1
TON,Tonga,Tonga,Risk Preparation,10.0,10.0,0.0,10,10
TGO,Togo,Togo,Risk Preparation,10.0,9.99021606196494,0.11732371217927999,10,8
TLS,East Timor,East Timor,Risk Preparation,1.0,1.688087774294671,3.869122495163187,63,1
THA,Thailand,Thailand,Risk Preparation,6.0,6.083125590991146,0.4658562588850423,10,3
TZA,United Republic of Tanzania,United Republic of Tanzania,Risk Preparation,8.0,8.04703099713681,0.28906621928856935,10,6
TJK,Tajikistan,Tajikistan,Risk Preparation,8.0,8.055452865064694,0.7922436333739717,10,3
TWN,Taiwan,Taiwan,Risk Preparation,3.0,2.9838619922092375,0.2589865073781512,10,1
SYR,Syria,Syria,Risk Preparation,8.0,7.82483007829304,0.8737451660000036,8,3
CHE,Switzerland,Switzerland,Risk Preparation,1.0,1.1917252568956191,0.5871958996538633,3,1
SWE,Sweden,Sweden,Risk Preparation,1.0,1.003986137100971,0.18936563737846385,10,1
SWZ,eSwatini,eSwatini,Risk Preparation,8.0,8.054237288135592,0.2995224262176958,10,8
SUR,Suriname,Suriname,Risk Preparation,6.0,5.9195758564437195,0.6151102896142742,10,1
SDS,South Sudan,South Sudan,Risk Preparation,1.0,2.1465543183869995,6.5129071148953255,63,1
SDN,Sudan,Sudan,Risk Preparation,10.0,9.926967220857737,2.7145976472780227,63,1
LKA,Sri Lanka,Sri Lanka,Risk Preparation,6.0,5.985780305723427,0.16803924793876848,10,5
ESP,Spain,Spain,Risk Preparation,1.0,1.0561705392371767,0.4212037558854929,10,1
KOR,South Korea,South Korea,Risk Preparation,3.0,2.9192160611854683,0.4302982170681389,10,1
ZAF,South Africa,South Africa,Risk Preparation,8.0,7.994588631654269,0.19347581164045946,10,5
SOM,Somalia,Somalia,Risk Preparation,1.0,1.68260066862931,5.015539063436649,63,1
SOL,Somaliland,Somaliland,Risk Preparation,1.0,1.385608349354573,3.8347349968259805,63,1
SLB,Solomon Islands,Solomon Islands,Risk Preparation,8.0,7.9582955575702625,0.32719250774493164,10,5
SVK,Slovakia,Slovakia,Risk Preparation,3.0,2.8954163976759197,0.440858262960257,3,1
SVN,Slovenia,Slovenia,Risk Preparation,1.0,1.0147392290249433,0.2537885053895986,10,1
SGP,Singapore,Singapore,Risk Preparation,3.0,3.0,0.0,3,3
SLE,Sierra Leone,Sierra Leone,Risk Preparation,10.0,9.986381322957198,0.11590171991133448,10,9
SYC,Seychelles,Seychelles,Risk Preparation,10.0,10.0,0.0,10,10
SRB,Republic of Serbia,Republic of Serbia,Risk Preparation,6.0,5.824952561669829,0.8572367908128803,6,1
SEN,Senegal,Senegal,Risk Preparation,10.0,9.991366579575145,0.0925142393181874,10,9
SAU,Saudi Arabia,Saudi Arabia,Risk Preparation,1.0,1.110688552898007,0.8263339237759615,10,1
STP,São Tomé and Principe,São Tomé and Principe,Risk Preparation,1.0,1.0,0.0,1,1
SMR,San Marino,San Marino,Risk Preparation,3.0,3.0,0.0,3,3
WSM,Samoa,Samoa,Risk Preparation,10.0,10.0,0.0,10,10
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Risk Preparation,1.0,1.0,0.0,1,1
LCA,Saint Lucia,Saint Lucia,Risk Preparation,1.0,1.0,0.0,1,1
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,Risk Preparation,1.0,1.0,0.0,1,1
RWA,Rwanda,Rwanda,Risk Preparation,10.0,9.99906103286385,0.03062818108976543,10,9
RUS,Russia,Russia,Risk Preparation,3.0,3.0302191318397553,0.5109809658914787,10,1
ROU,Romania,Romania,Risk Preparation,6.0,5.9442561760227886,0.4243075210760707,6,1
QAT,Qatar,Qatar,Risk Preparation,1.0,1.0158730158730158,0.3776310239165181,10,1
PRT,Portugal,Portugal,Risk Preparation,3.0,3.094003747657714,1.1434719355733194,10,1
POL,Poland,Poland,Risk Preparation,3.0,2.981256288630157,0.30167845829671613,10,1
PHL,Philippines,Philippines,Risk Preparation,8.0,7.973333333333334,0.25528658764233064,10,5
PER,Peru,Peru,Risk Preparation,6.0,6.017963858215745,0.22748472024017383,10,3
