SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Sites of International Interest,1.0,2.5170510438299267,3.3197144281198963,10,1
ZMB,Zambia,Zambia,Sites of International Interest,1.0,1.7302245147440294,2.4163581745172,10,1
YEM,Yemen,Yemen,Sites of International Interest,1.0,1.0706614180881566,0.781873490613345,10,1
VNM,Vietnam,Vietnam,Sites of International Interest,1.0,2.160677652041559,2.941467626107186,10,1
VEN,Venezuela,Venezuela,Sites of International Interest,1.0,1.634091259046348,2.263722281160823,10,1
VAT,Vatican,Vatican,Sites of International Interest,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Sites of International Interest,1.0,1.0,0.0,1,1
UZB,Uzbekistan,Uzbekistan,Sites of International Interest,1.0,1.2182028607038993,1.3700517485605712,10,1
URY,Uruguay,Uruguay,Sites of International Interest,1.0,3.044134396355353,3.728831387205371,10,1
FSM,Federated States of Micronesia,Federated States of Micronesia,Sites of International Interest,10.0,8.923076923076923,2.0925339244208376,10,1
MHL,Marshall Islands,Marshall Islands,Sites of International Interest,10.0,10.0,0.0,10,10
US1,United States of America,United States of America,Sites of International Interest,1.0,1.5134958850711462,2.0561191185340997,10,1
GB1,United Kingdom,Jersey,Sites of International Interest,10.0,10.0,0.0,10,10
GB1,United Kingdom,Guernsey,Sites of International Interest,10.0,10.0,0.0,10,10
GB1,United Kingdom,Isle of Man,Sites of International Interest,10.0,10.0,0.0,10,10
GB1,United Kingdom,United Kingdom,Sites of International Interest,10.0,8.627493701913256,3.1669681630049564,10,1
ARE,United Arab Emirates,United Arab Emirates,Sites of International Interest,1.0,3.5768908735696345,3.9973674900136626,10,1
UKR,Ukraine,Ukraine,Sites of International Interest,1.0,2.4098422238918107,3.228053086470077,10,1
UGA,Uganda,Uganda,Sites of International Interest,1.0,3.1986240786240785,3.8090746519190146,10,1
TKM,Turkmenistan,Turkmenistan,Sites of International Interest,1.0,1.049056373669929,0.6379864313836349,10,1
TUR,Turkey,Turkey,Sites of International Interest,1.0,2.1728397337807195,2.9613098101459974,10,1
TUN,Tunisia,Tunisia,Sites of International Interest,10.0,6.702282914625248,4.2708727943520275,10,1
TTO,Trinidad and Tobago,Trinidad and Tobago,Sites of International Interest,1.0,1.31651376146789,1.1111621952363877,10,1
TON,Tonga,Tonga,Sites of International Interest,1.0,1.0,0.0,1,1
TGO,Togo,Togo,Sites of International Interest,1.0,4.205462698736241,4.240643848837728,10,1
TLS,East Timor,East Timor,Sites of International Interest,1.0,1.1849529780564263,0.8602831317388794,6,1
THA,Thailand,Thailand,Sites of International Interest,1.0,2.66487578440643,3.4277679687037486,10,1
TZA,United Republic of Tanzania,United Republic of Tanzania,Sites of International Interest,1.0,4.017726876633885,4.200221634836216,10,1
TJK,Tajikistan,Tajikistan,Sites of International Interest,1.0,4.723454508112549,4.387596445238669,10,1
TWN,Taiwan,Taiwan,Sites of International Interest,1.0,1.105731775180857,0.6957662581537923,10,1
SYR,Syria,Syria,Sites of International Interest,1.0,1.1864406779661016,1.2546046326264768,10,1
CHE,Switzerland,Switzerland,Sites of International Interest,10.0,8.754191454840454,2.9974552048073924,10,1
SWE,Sweden,Sweden,Sites of International Interest,10.0,6.917564470231307,4.198823961128709,10,1
SWZ,eSwatini,eSwatini,Sites of International Interest,4.0,5.144632768361582,4.299190175437224,10,1
SUR,Suriname,Suriname,Sites of International Interest,1.0,3.6365415986949428,4.011448028147354,10,1
SDS,South Sudan,South Sudan,Sites of International Interest,1.0,2.6758576587421006,3.468875546431051,10,1
SDN,Sudan,Sudan,Sites of International Interest,1.0,1.3202460797279425,1.649672655841276,10,1
LKA,Sri Lanka,Sri Lanka,Sites of International Interest,10.0,6.505865623889086,4.337157194945463,10,1
ESP,Spain,Spain,Sites of International Interest,1.0,4.0759809294169225,4.174830065303859,10,1
KOR,South Korea,South Korea,Sites of International Interest,1.0,4.374123645634162,4.248262076334767,10,1
ZAF,South Africa,South Africa,Sites of International Interest,1.0,2.8069647143006216,3.559408733082442,10,1
SOM,Somalia,Somalia,Sites of International Interest,1.0,1.0072351679057931,0.181466356258819,10,1
SOL,Somaliland,Somaliland,Sites of International Interest,1.0,1.0690744301016204,0.6433757657456193,10,1
SLB,Solomon Islands,Solomon Islands,Sites of International Interest,1.0,1.5929283771532186,1.832571439040146,10,1
SVK,Slovakia,Slovakia,Sites of International Interest,10.0,6.579728857327308,4.292265639579463,10,1
SVN,Slovenia,Slovenia,Sites of International Interest,1.0,4.284013605442177,4.206726418044972,10,1
SGP,Singapore,Singapore,Sites of International Interest,1.0,1.0,0.0,1,1
SLE,Sierra Leone,Sierra Leone,Sites of International Interest,1.0,1.3988326848249026,1.7747175838666638,10,1
SYC,Seychelles,Seychelles,Sites of International Interest,10.0,10.0,0.0,10,10
SRB,Republic of Serbia,Republic of Serbia,Sites of International Interest,1.0,1.9024351676154332,2.640271082315555,10,1
SEN,Senegal,Senegal,Sites of International Interest,1.0,3.727933658979893,4.06458986023667,10,1
SAU,Saudi Arabia,Saudi Arabia,Sites of International Interest,1.0,1.0120360567781193,0.2832716650284723,10,1
STP,São Tomé and Principe,São Tomé and Principe,Sites of International Interest,10.0,10.0,0.0,10,10
SMR,San Marino,San Marino,Sites of International Interest,10.0,10.0,0.0,10,10
WSM,Samoa,Samoa,Sites of International Interest,10.0,10.0,0.0,10,10
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Sites of International Interest,10.0,10.0,0.0,10,10
LCA,Saint Lucia,Saint Lucia,Sites of International Interest,10.0,10.0,0.0,10,10
