SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Socioeconomic Factors,10.0,9.955459613072467,0.24792279294372155,10,8
ZMB,Zambia,Zambia,Socioeconomic Factors,9.0,9.027430752258566,0.18312835431394853,10,8
YEM,Yemen,Yemen,Socioeconomic Factors,8.0,8.265393400398503,0.4935156457397963,10,5
VNM,Vietnam,Vietnam,Socioeconomic Factors,6.0,5.9117199391172,0.9432383178037638,10,5
VEN,Venezuela,Venezuela,Socioeconomic Factors,7.0,7.032284555766566,0.27633045149306207,10,5
VAT,Vatican,Vatican,Socioeconomic Factors,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Socioeconomic Factors,7.0,6.875968992248062,0.4823674166233813,10,5
UZB,Uzbekistan,Uzbekistan,Socioeconomic Factors,7.0,7.142649415395573,0.7806735120504351,8,4
URY,Uruguay,Uruguay,Socioeconomic Factors,5.0,5.108295368261199,0.44361613125220395,10,5
FSM,Federated States of Micronesia,Federated States of Micronesia,Socioeconomic Factors,7.0,6.730769230769231,0.5921078583977174,7,5
MHL,Marshall Islands,Marshall Islands,Socioeconomic Factors,6.0,6.583333333333333,2.0190069065976193,10,5
US1,United States of America,United States of America,Socioeconomic Factors,7.0,7.179616616874022,0.574037815702233,10,1
GB1,United Kingdom,Jersey,Socioeconomic Factors,3.0,3.2142857142857144,0.7726181304565691,4,1
GB1,United Kingdom,Guernsey,Socioeconomic Factors,3.5,3.5,0.5,4,3
GB1,United Kingdom,Isle of Man,Socioeconomic Factors,5.0,5.0,0.0,5,5
GB1,United Kingdom,United Kingdom,Socioeconomic Factors,4.0,3.997685027575407,0.4753701736515651,10,1
ARE,United Arab Emirates,United Arab Emirates,Socioeconomic Factors,9.0,9.154619034328775,0.6287246936743522,10,5
UKR,Ukraine,Ukraine,Socioeconomic Factors,5.0,5.482880755608028,0.689275976472357,10,2
UGA,Uganda,Uganda,Socioeconomic Factors,9.0,9.01002457002457,0.23854132765263025,10,7
TKM,Turkmenistan,Turkmenistan,Socioeconomic Factors,7.0,6.827708161834202,0.6979907141207852,10,5
TUR,Turkey,Turkey,Socioeconomic Factors,7.0,7.34875831935252,0.5532691919702044,10,5
TUN,Tunisia,Tunisia,Socioeconomic Factors,7.0,6.831543834045658,0.7678366422117976,10,5
TTO,Trinidad and Tobago,Trinidad and Tobago,Socioeconomic Factors,7.0,6.967889908256881,0.3087057129980044,10,5
TON,Tonga,Tonga,Socioeconomic Factors,10.0,10.0,0.0,10,10
TGO,Togo,Togo,Socioeconomic Factors,8.0,7.914390542193233,0.2797864874163843,8,7
TLS,East Timor,East Timor,Socioeconomic Factors,5.0,5.1426332288401255,0.5008149724586826,7,5
THA,Thailand,Thailand,Socioeconomic Factors,7.0,7.193501246454053,0.4117700848628086,10,5
TZA,United Republic of Tanzania,United Republic of Tanzania,Socioeconomic Factors,8.0,8.018847255072824,0.20746270149387902,10,6
TJK,Tajikistan,Tajikistan,Socioeconomic Factors,7.0,6.8771821729307865,1.1535932361852321,10,5
TWN,Taiwan,Taiwan,Socioeconomic Factors,9.0,9.000556483027268,0.023583327880263873,10,9
SYR,Syria,Syria,Socioeconomic Factors,8.0,8.502796179987955,0.5471535632526986,10,7
CHE,Switzerland,Switzerland,Socioeconomic Factors,3.0,2.981611681990265,0.2614338269160275,4,2
SWE,Sweden,Sweden,Socioeconomic Factors,2.0,1.5420925005259487,0.5866903311870835,10,1
SWZ,eSwatini,eSwatini,Socioeconomic Factors,10.0,8.98870056497175,1.3629011121178638,10,7
SUR,Suriname,Suriname,Socioeconomic Factors,6.0,5.999021207177814,0.17697573922592416,10,5
SDS,South Sudan,South Sudan,Socioeconomic Factors,10.0,9.928678904604274,0.276116669915309,10,8
SDN,Sudan,Sudan,Socioeconomic Factors,9.0,9.01126487814094,0.19197893114102182,10,8
LKA,Sri Lanka,Sri Lanka,Socioeconomic Factors,5.0,5.352648418059012,0.5191576106555216,10,5
ESP,Spain,Spain,Socioeconomic Factors,5.0,5.117711530030689,1.0059597623582632,10,1
KOR,South Korea,South Korea,Socioeconomic Factors,7.0,6.556883365200765,0.52239408168657,10,5
ZAF,South Africa,South Africa,Socioeconomic Factors,9.0,8.386234552257719,0.7362484774642923,10,5
SOM,Somalia,Somalia,Socioeconomic Factors,10.0,9.941919065914874,0.305006524892142,10,8
SOL,Somaliland,Somaliland,Socioeconomic Factors,10.0,9.932436143916506,0.3430077198966054,10,6
SLB,Solomon Islands,Solomon Islands,Socioeconomic Factors,7.0,6.925657298277425,0.3947799672442827,10,5
SVK,Slovakia,Slovakia,Socioeconomic Factors,2.0,2.299117710350764,0.5390349917381514,4,2
SVN,Slovenia,Slovenia,Socioeconomic Factors,4.0,3.930839002267574,0.3980980564070921,10,1
SGP,Singapore,Singapore,Socioeconomic Factors,7.0,6.954545454545454,0.20829889522526546,7,6
SLE,Sierra Leone,Sierra Leone,Socioeconomic Factors,9.0,8.920557717250324,0.27162421632064754,10,8
SYC,Seychelles,Seychelles,Socioeconomic Factors,10.0,10.0,0.0,10,10
SRB,Republic of Serbia,Republic of Serbia,Socioeconomic Factors,4.0,4.191650853889943,0.4274942001088692,6,3
SEN,Senegal,Senegal,Socioeconomic Factors,7.0,7.016812450301034,0.18568311309495597,10,5
SAU,Saudi Arabia,Saudi Arabia,Socioeconomic Factors,8.0,8.034473897893948,0.1927437232026256,10,5
STP,São Tomé and Principe,São Tomé and Principe,Socioeconomic Factors,7.0,6.888888888888889,0.3784308081316978,7,5
SMR,San Marino,San Marino,Socioeconomic Factors,4.0,4.0,0.0,4,4
WSM,Samoa,Samoa,Socioeconomic Factors,10.0,10.0,0.0,10,10
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Socioeconomic Factors,5.0,5.0,0.0,5,5
LCA,Saint Lucia,Saint Lucia,Socioeconomic Factors,5.0,5.0,0.0,5,5
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,Socioeconomic Factors,7.0,6.818181818181818,0.385694607919935,7,6
RWA,Rwanda,Rwanda,Socioeconomic Factors,7.0,7.184976525821596,0.5554337850633575,9,7
RUS,Russia,Russia,Socioeconomic Factors,5.0,5.085190496112177,0.44299769489370755,10,1
ROU,Romania,Romania,Socioeconomic Factors,5.0,5.102450763714946,0.32708307221168,6,4
QAT,Qatar,Qatar,Socioeconomic Factors,9.0,8.964726631393297,0.1937949817062038,10,8
PRT,Portugal,Portugal,Socioeconomic Factors,5.0,4.730793254216115,0.9829819552777735,10,1
POL,Poland,Poland,Socioeconomic Factors,4.0,4.1458962196349,0.4483556171045338,10,1
PHL,Philippines,Philippines,Socioeconomic Factors,8.0,7.973333333333334,0.25528658764233064,10,5
PER,Peru,Peru,Socioeconomic Factors,8.0,7.978557539647145,0.3268392243895551,10,5
PRY,Paraguay,Paraguay,Socioeconomic Factors,5.0,5.621044701155198,0.7739409176149122,7,5
PNG,Papua New Guinea,Papua New Guinea,Socioeconomic Factors,7.0,6.9842671538773855,0.21621288457126686,10,5
PAN,Panama,Panama,Socioeconomic Factors,7.0,7.005671077504726,0.4109013562598908,10,5
PLW,Palau,Palau,Socioeconomic Factors,7.0,7.0,0.9354143466934853,10,5
PAK,Pakistan,Pakistan,Socioeconomic Factors,9.0,9.03929257035494,0.19429015484538129,10,9
OMN,Oman,Oman,Socioeconomic Factors,8.0,7.592059453668988,0.5735545308802124,10,5
NOR,Norway,Norway,Socioeconomic Factors,2.0,1.9382060629582911,1.4995460763753656,10,1
PRK,North Korea,North Korea,Socioeconomic Factors,7.0,7.073808711475037,0.4137270093200988,10,5
NGA,Nigeria,Nigeria,Socioeconomic Factors,7.0,7.023900938238959,0.15797778740350973,8,5
NER,Niger,Niger,Socioeconomic Factors,8.0,7.991548368213084,0.1540999836339829,9,7
NIC,Nicaragua,Nicaragua,Socioeconomic Factors,6.0,6.025478826216833,0.2581667558684271,10,5
NZ1,New Zealand,New Zealand,Socioeconomic Factors,4.0,4.000642419450484,0.6400897953129735,10,1
NL1,Netherlands,Netherlands,Socioeconomic Factors,2.0,2.8094892277898813,1.6383999508668197,10,1
NL1,Netherlands,Aruba,Socioeconomic Factors,5.0,5.0,0.0,5,5
NL1,Netherlands,Curaçao,Socioeconomic Factors,5.0,5.0,0.0,5,5
NPL,Nepal,Nepal,Socioeconomic Factors,8.0,8.211393360160965,0.5675727292728772,10,8
NRU,Nauru,Nauru,Socioeconomic Factors,7.0,7.0,0.0,7,7
NAM,Namibia,Namibia,Socioeconomic Factors,9.0,9.008758473947251,0.1598606681717888,10,8
MOZ,Mozambique,Mozambique,Socioeconomic Factors,10.0,9.943070730304774,0.3094327476635942,10,7
MAR,Morocco,Morocco,Socioeconomic Factors,7.0,6.574450448237751,0.660095224185676,10,5
SAH,Western Sahara,Western Sahara,Socioeconomic Factors,7.0,6.770738079686479,0.47115517343524166,8,5
MNE,Montenegro,Montenegro,Socioeconomic Factors,4.0,3.952022577610536,0.2683582213309566,5,1
MNG,Mongolia,Mongolia,Socioeconomic Factors,4.0,4.462678359733192,0.860623526510832,9,4
MDA,Moldova,Moldova,Socioeconomic Factors,5.0,5.0827517447657025,0.27550661245047253,6,5
MCO,Monaco,Monaco,Socioeconomic Factors,3.0,3.0,0.0,3,3
MEX,Mexico,Mexico,Socioeconomic Factors,7.0,7.339795732999616,0.5686827332736849,10,5
MUS,Mauritius,Mauritius,Socioeconomic Factors,10.0,10.0,0.0,10,10
MRT,Mauritania,Mauritania,Socioeconomic Factors,7.0,7.04770364388816,0.2385259860007363,8,5
MLT,Malta,Malta,Socioeconomic Factors,6.0,6.0,0.0,6,6
MLI,Mali,Mali,Socioeconomic Factors,7.0,7.041811606681591,0.23039567417326362,9,7
MDV,Maldives,Maldives,Socioeconomic Factors,10.0,10.0,0.0,10,10
MYS,Malaysia,Malaysia,Socioeconomic Factors,7.0,6.989922424418183,0.15174358611797634,10,5
MWI,Malawi,Malawi,Socioeconomic Factors,8.0,8.144394110985278,0.4672228468085557,10,8
MDG,Madagascar,Madagascar,Socioeconomic Factors,7.0,6.995725125574436,0.17498092895661288,10,5
MKD,North Macedonia,North Macedonia,Socioeconomic Factors,5.0,5.280674038967878,0.44932852437535725,6,5
LUX,Luxembourg,Luxembourg,Socioeconomic Factors,3.0,3.053639846743295,0.22530560042895262,4,3
LTU,Lithuania,Lithuania,Socioeconomic Factors,3.0,3.256910374536317,0.6231746997898119,10,1
LIE,Liechtenstein,Liechtenstein,Socioeconomic Factors,3.0,2.8181818181818183,0.385694607919935,3,2
LBY,Libya,Libya,Socioeconomic Factors,8.0,7.9123912007716175,0.4916950247199998,10,5
LBR,Liberia,Liberia,Socioeconomic Factors,9.0,8.958364129095836,0.1997556636449025,9,8
LSO,Lesotho,Lesotho,Socioeconomic Factors,8.0,7.9921875,0.08804240366863003,8,7
LBN,Lebanon,Lebanon,Socioeconomic Factors,9.0,8.889983579638752,0.34770866161094055,9,5
LVA,Latvia,Latvia,Socioeconomic Factors,4.0,4.012884594024214,0.3249254029843153,10,1
LAO,Laos,Laos,Socioeconomic Factors,7.0,6.991002811621368,0.25597568086728223,9,5
KGZ,Kyrgyzstan,Kyrgyzstan,Socioeconomic Factors,5.0,5.068872565536761,0.9887026870795556,9,4
KWT,Kuwait,Kuwait,Socioeconomic Factors,9.0,8.807892004153686,0.39395750250277806,9,8
KIR,Kiribati,Kiribati,Socioeconomic Factors,10.0,8.951219512195122,1.7101022578495713,10,5
KEN,Kenya,Kenya,Socioeconomic Factors,10.0,9.940109184328838,0.32197924896202207,10,8
JOR,Jordan,Jordan,Socioeconomic Factors,9.0,8.593479968578162,0.5146142964471312,9,7
JPN,Japan,Japan,Socioeconomic Factors,4.0,3.9482994291227786,0.47420869564431245,10,1
JAM,Jamaica,Jamaica,Socioeconomic Factors,7.0,6.964497041420119,0.20526091898615692,7,5
ITA,Italy,Italy,Socioeconomic Factors,4.0,4.1262363574351975,1.013408026499377,10,1
IS1,Israel,Palestine,Socioeconomic Factors,8.0,8.248648648648649,0.7261976581581561,10,7
IRL,Ireland,Ireland,Socioeconomic Factors,3.0,3.0193266832917707,0.29501349647679387,10,1
