SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Soil Condition,10.0,9.379221772871352,0.946127292806952,10,6
ZMB,Zambia,Zambia,Soil Condition,8.0,8.262530188735502,0.6690595694557872,10,6
YEM,Yemen,Yemen,Soil Condition,10.0,9.991300967099189,0.09286204675432361,10,9
VNM,Vietnam,Vietnam,Soil Condition,8.0,8.402819138376017,1.0967081825090195,10,3
VEN,Venezuela,Venezuela,Soil Condition,8.0,7.140584098958066,1.7099804874955606,10,1
VAT,Vatican,Vatican,Soil Condition,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Soil Condition,1.0,1.0348837209302326,0.5592285886702814,10,1
UZB,Uzbekistan,Uzbekistan,Soil Condition,10.0,9.789987536352307,0.6472397368464727,10,6
URY,Uruguay,Uruguay,Soil Condition,8.0,8.55960516324981,0.9940296316733034,10,3
FSM,Federated States of Micronesia,Federated States of Micronesia,Soil Condition,1.0,1.0,0.0,1,1
MHL,Marshall Islands,Marshall Islands,Soil Condition,1.0,3.25,3.897114317029974,10,1
US1,United States of America,United States of America,Soil Condition,6.0,5.061109756084102,3.7476893809579708,10,1
GB1,United Kingdom,Jersey,Soil Condition,6.0,5.714285714285714,0.45175395145262565,6,5
GB1,United Kingdom,Guernsey,Soil Condition,6.0,6.0,0.0,6,6
GB1,United Kingdom,Isle of Man,Soil Condition,1.0,1.0,0.0,1,1
GB1,United Kingdom,United Kingdom,Soil Condition,1.0,2.2884864165588614,1.7220703188969924,10,1
ARE,United Arab Emirates,United Arab Emirates,Soil Condition,10.0,9.972090427016466,0.16471377817113592,10,9
UKR,Ukraine,Ukraine,Soil Condition,3.0,4.076473113663196,1.8806947076634546,10,1
UGA,Uganda,Uganda,Soil Condition,6.0,6.535626535626536,1.7817208748167532,10,1
TKM,Turkmenistan,Turkmenistan,Soil Condition,10.0,9.995609622244581,0.06611431266060394,10,9
TUR,Turkey,Turkey,Soil Condition,8.0,8.342711233199978,1.253849299911083,10,1
TUN,Tunisia,Tunisia,Soil Condition,10.0,9.984050870426353,0.12527870864392904,10,9
TTO,Trinidad and Tobago,Trinidad and Tobago,Soil Condition,10.0,9.86697247706422,0.3396044774106348,10,9
TON,Tonga,Tonga,Soil Condition,10.0,10.0,0.0,10,10
TGO,Togo,Togo,Soil Condition,8.0,8.190379127598858,0.5581158052806694,10,7
TLS,East Timor,East Timor,Soil Condition,3.0,3.092476489028213,1.393864683993473,8,1
THA,Thailand,Thailand,Soil Condition,6.0,5.951130404882662,3.1121576850274124,10,1
TZA,United Republic of Tanzania,United Republic of Tanzania,Soil Condition,8.0,7.7142786007718165,1.2290222681676155,10,1
TJK,Tajikistan,Tajikistan,Soil Condition,6.0,7.064592318751283,2.14019737333439,10,3
TWN,Taiwan,Taiwan,Soil Condition,1.0,1.3984418475236506,0.886024440062409,10,1
SYR,Syria,Syria,Soil Condition,10.0,9.115288651811063,1.1348663527908576,10,3
CHE,Switzerland,Switzerland,Soil Condition,3.0,2.7060573282855596,0.7064342157642003,5,1
SWE,Sweden,Sweden,Soil Condition,6.0,5.345498433226667,1.7910776432768047,10,1
SWZ,eSwatini,eSwatini,Soil Condition,3.0,3.161581920903955,0.7500612293731357,6,1
SUR,Suriname,Suriname,Soil Condition,10.0,9.909298531810768,0.3977034365452887,10,8
SDS,South Sudan,South Sudan,Soil Condition,8.0,8.100850135419801,0.7023192734304753,10,3
SDN,Sudan,Sudan,Soil Condition,10.0,9.980930001889288,0.18639115580810175,10,6
LKA,Sri Lanka,Sri Lanka,Soil Condition,1.0,1.722360469249911,1.083463841088564,10,1
ESP,Spain,Spain,Soil Condition,8.0,6.869218544498027,2.2937785169287936,10,1
KOR,South Korea,South Korea,Soil Condition,1.0,1.5992670490758445,0.9299181200913396,10,1
ZAF,South Africa,South Africa,Soil Condition,10.0,8.14990831979249,2.5100817035323764,10,1
SOM,Somalia,Somalia,Soil Condition,8.0,8.956539094855547,0.9926918612849925,10,5
SOL,Somaliland,Somaliland,Soil Condition,10.0,9.26380115352925,0.957503934839693,10,5
SLB,Solomon Islands,Solomon Islands,Soil Condition,1.0,1.0326382592928378,0.5409982233481667,10,1
SVK,Slovakia,Slovakia,Soil Condition,6.0,5.125887669464171,1.8301774026085658,8,1
SVN,Slovenia,Slovenia,Soil Condition,1.0,1.260204081632653,1.0316879391086053,10,1
SGP,Singapore,Singapore,Soil Condition,1.0,1.0,0.0,1,1
SLE,Sierra Leone,Sierra Leone,Soil Condition,6.0,5.989299610894942,0.6150529822167361,10,3
SYC,Seychelles,Seychelles,Soil Condition,10.0,10.0,0.0,10,10
SRB,Republic of Serbia,Republic of Serbia,Soil Condition,3.0,3.2988614800759013,1.5389293596873161,6,1
SEN,Senegal,Senegal,Soil Condition,10.0,9.788935590139726,0.6027166268882675,10,6
SAU,Saudi Arabia,Saudi Arabia,Soil Condition,10.0,9.99681368266335,0.0563574726055029,10,9
STP,São Tomé and Principe,São Tomé and Principe,Soil Condition,1.0,1.0,0.0,1,1
SMR,San Marino,San Marino,Soil Condition,8.0,8.0,0.0,8,8
WSM,Samoa,Samoa,Soil Condition,10.0,10.0,0.0,10,10
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Soil Condition,1.0,1.0,0.0,1,1
LCA,Saint Lucia,Saint Lucia,Soil Condition,1.0,1.0,0.0,1,1
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,Soil Condition,1.0,1.0,0.0,1,1
RWA,Rwanda,Rwanda,Soil Condition,3.0,2.876056338028169,2.1064710129221873,6,1
RUS,Russia,Russia,Soil Condition,3.0,3.1596780103579105,2.620907212361386,10,1
ROU,Romania,Romania,Soil Condition,6.0,6.59967585089141,1.3088080947110972,8,1
QAT,Qatar,Qatar,Soil Condition,10.0,9.91710758377425,0.2757195378604981,10,9
PRT,Portugal,Portugal,Soil Condition,8.0,6.685196752029981,2.2766005705965786,10,1
POL,Poland,Poland,Soil Condition,6.0,6.09544343826362,1.3888105771392727,10,1
PHL,Philippines,Philippines,Soil Condition,8.0,7.196941176470588,1.6922541112173282,10,1
PER,Peru,Peru,Soil Condition,3.0,4.093636833936886,2.3831842628782396,10,1
PRY,Paraguay,Paraguay,Soil Condition,8.0,7.98407835258664,0.19588340479923017,10,6
PNG,Papua New Guinea,Papua New Guinea,Soil Condition,1.0,1.044204222492895,0.5112665942145632,10,1
PAN,Panama,Panama,Soil Condition,8.0,7.983616887208569,1.8568108994963943,10,1
PLW,Palau,Palau,Soil Condition,1.0,1.5625,2.178553132241672,10,1
PAK,Pakistan,Pakistan,Soil Condition,8.0,8.668892701057876,1.3811531356206914,10,5
OMN,Oman,Oman,Soil Condition,10.0,9.98707820032137,0.1129372691882277,10,9
NOR,Norway,Norway,Soil Condition,6.0,5.569369169566001,4.358968254555427,10,1
PRK,North Korea,North Korea,Soil Condition,1.0,1.392926191288525,1.0062603996662878,10,1
NGA,Nigeria,Nigeria,Soil Condition,10.0,8.858119962368736,1.6562377950360434,10,1
NER,Niger,Niger,Soil Condition,10.0,10.0,0.0,10,10
NIC,Nicaragua,Nicaragua,Soil Condition,8.0,6.932349323493235,1.3033184528551662,10,1
NZ1,New Zealand,New Zealand,Soil Condition,3.0,2.883376161296699,2.2392786416126462,10,1
NL1,Netherlands,Netherlands,Soil Condition,3.0,2.8094892277898813,1.8954179114087328,10,1
NL1,Netherlands,Aruba,Soil Condition,6.0,6.0,0.0,6,6
NL1,Netherlands,Curaçao,Soil Condition,6.0,5.7,0.45825756949558405,6,5
NPL,Nepal,Nepal,Soil Condition,6.0,5.543385311871227,3.2731729215351852,10,1
NRU,Nauru,Nauru,Soil Condition,1.0,1.0,0.0,1,1
NAM,Namibia,Namibia,Soil Condition,10.0,9.901801177693107,0.41874673326300216,10,5
MOZ,Mozambique,Mozambique,Soil Condition,8.0,7.190695254525042,1.1714401051814776,10,1
MAR,Morocco,Morocco,Soil Condition,10.0,9.206527078472307,1.1878888136922157,10,1
SAH,Western Sahara,Western Sahara,Soil Condition,10.0,9.998911386893099,0.032976173647124206,10,9
MNE,Montenegro,Montenegro,Soil Condition,1.0,1.0,0.0,1,1
MNG,Mongolia,Mongolia,Soil Condition,6.0,6.592411409309699,1.8649593378503018,10,1
MDA,Moldova,Moldova,Soil Condition,6.0,6.370555001661682,0.8967707609284028,8,3
MCO,Monaco,Monaco,Soil Condition,6.0,6.0,0.0,6,6
MEX,Mexico,Mexico,Soil Condition,8.0,8.333800940597056,1.7711343139542661,10,1
MUS,Mauritius,Mauritius,Soil Condition,10.0,10.0,0.0,10,10
MRT,Mauritania,Mauritania,Soil Condition,10.0,9.998223478348642,0.042111347902672076,10,9
MLT,Malta,Malta,Soil Condition,6.0,6.0,0.0,6,6
MLI,Mali,Mali,Soil Condition,10.0,9.994213879800242,0.10249646561025806,10,8
MDV,Maldives,Maldives,Soil Condition,10.0,10.0,0.0,10,10
MYS,Malaysia,Malaysia,Soil Condition,1.0,1.006525048937867,0.23309404014671214,10,1
MWI,Malawi,Malawi,Soil Condition,8.0,7.698565496413741,0.8905367481714919,10,3
MDG,Madagascar,Madagascar,Soil Condition,6.0,4.604574115635353,1.9995259019456273,10,1
MKD,North Macedonia,North Macedonia,Soil Condition,3.0,2.9310163243812535,1.6050150371099647,8,1
LUX,Luxembourg,Luxembourg,Soil Condition,3.0,3.5019157088122603,1.0814511361799035,6,2
LTU,Lithuania,Lithuania,Soil Condition,6.0,5.296039248534163,1.2694625272877984,10,1
