SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Tree Cover Loss,3.0,3.1854847524319596,2.157839656529257,10,1
ZMB,Zambia,Zambia,Tree Cover Loss,8.0,6.687080712006917,2.887666547330025,10,1
YEM,Yemen,Yemen,Tree Cover Loss,1.0,1.000437381542499,0.06273948182664917,10,1
VNM,Vietnam,Vietnam,Tree Cover Loss,9.0,8.223347230494342,2.4307931661066546,10,1
VEN,Venezuela,Venezuela,Tree Cover Loss,3.0,3.1252373864394603,2.168804277452581,10,1
VAT,Vatican,Vatican,Tree Cover Loss,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Tree Cover Loss,1.0,1.0348837209302326,0.5592285886702814,10,1
UZB,Uzbekistan,Uzbekistan,Tree Cover Loss,1.0,1.0,0.0,1,1
URY,Uruguay,Uruguay,Tree Cover Loss,6.0,5.581814730447988,3.098507302560366,10,1
FSM,Federated States of Micronesia,Federated States of Micronesia,Tree Cover Loss,1.0,1.0,0.0,1,1
MHL,Marshall Islands,Marshall Islands,Tree Cover Loss,1.0,3.25,3.897114317029974,10,1
US1,United States of America,United States of America,Tree Cover Loss,1.0,3.0311745729733546,2.941909402005023,10,1
GB1,United Kingdom,Jersey,Tree Cover Loss,3.0,2.857142857142857,0.5150787536377127,3,1
GB1,United Kingdom,Guernsey,Tree Cover Loss,3.0,3.0,0.0,3,3
GB1,United Kingdom,Isle of Man,Tree Cover Loss,1.0,1.0,0.0,1,1
GB1,United Kingdom,United Kingdom,Tree Cover Loss,3.0,4.1420984544154695,2.3857632556663906,10,1
ARE,United Arab Emirates,United Arab Emirates,Tree Cover Loss,1.0,1.015071169411108,0.3679855765550516,10,1
UKR,Ukraine,Ukraine,Tree Cover Loss,3.0,3.5740402847840866,2.4901618423069447,10,1
UGA,Uganda,Uganda,Tree Cover Loss,6.0,5.252874692874693,3.3703775831639686,10,1
TKM,Turkmenistan,Turkmenistan,Tree Cover Loss,1.0,1.0071343638525565,0.25329503651952534,10,1
TUR,Turkey,Turkey,Tree Cover Loss,3.0,3.3659224571818367,2.823348708696519,10,1
