SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Tropical Cyclones,3.0,3.015247568040223,0.20550223575221063,6,3
ZMB,Zambia,Zambia,Tropical Cyclones,3.0,2.9998807358597452,0.01544390030316524,3,1
YEM,Yemen,Yemen,Tropical Cyclones,3.0,2.9978130922875055,0.08620152932018342,10,1
VNM,Vietnam,Vietnam,Tropical Cyclones,10.0,8.7676527033287,1.8505692335280717,10,1
VEN,Venezuela,Venezuela,Tropical Cyclones,3.0,3.433660113945491,1.149547748703831,10,1
VAT,Vatican,Vatican,Tropical Cyclones,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Tropical Cyclones,10.0,9.763565891472869,0.4248917754583068,10,9
UZB,Uzbekistan,Uzbekistan,Tropical Cyclones,1.0,1.7737254436465073,0.9737740977586253,3,1
URY,Uruguay,Uruguay,Tropical Cyclones,1.0,1.0025626423690206,0.1518460213020842,10,1
FSM,Federated States of Micronesia,Federated States of Micronesia,Tropical Cyclones,10.0,9.538461538461538,0.4985185152621431,10,9
MHL,Marshall Islands,Marshall Islands,Tropical Cyclones,5.0,6.25,2.165063509461097,10,5
US1,United States of America,United States of America,Tropical Cyclones,3.0,2.963322668473696,2.2342951596190264,10,1
GB1,United Kingdom,Jersey,Tropical Cyclones,1.0,1.0,0.0,1,1
GB1,United Kingdom,Guernsey,Tropical Cyclones,1.0,1.0,0.0,1,1
GB1,United Kingdom,Isle of Man,Tropical Cyclones,1.0,1.0,0.0,1,1
GB1,United Kingdom,United Kingdom,Tropical Cyclones,1.0,1.011949342956356,0.3277213752719145,10,1
ARE,United Arab Emirates,United Arab Emirates,Tropical Cyclones,3.0,2.9972090427016465,0.3332751281326308,10,1
UKR,Ukraine,Ukraine,Tropical Cyclones,1.0,1.002575936460234,0.15223926134036075,10,1
UGA,Uganda,Uganda,Tropical Cyclones,1.0,1.8713513513513513,0.9904010514158363,3,1
TKM,Turkmenistan,Turkmenistan,Tropical Cyclones,3.0,2.0140553065642246,1.0239743385206368,10,1
TUR,Turkey,Turkey,Tropical Cyclones,1.0,1.0068029719216092,0.24734685538230694,10,1
TUN,Tunisia,Tunisia,Tropical Cyclones,1.0,1.009381840925675,0.2904282172791068,10,1
TTO,Trinidad and Tobago,Trinidad and Tobago,Tropical Cyclones,8.0,7.995412844036697,0.17913416687859302,10,7
TON,Tonga,Tonga,Tropical Cyclones,10.0,10.0,0.0,10,10
TGO,Togo,Togo,Tropical Cyclones,1.0,1.0,0.0,1,1
TLS,East Timor,East Timor,Tropical Cyclones,8.0,8.098746081504702,0.4630195918338116,10,7
THA,Thailand,Thailand,Tropical Cyclones,6.0,6.319350124645405,1.889030400436448,10,1
TZA,United Republic of Tanzania,United Republic of Tanzania,Tropical Cyclones,3.0,2.999825718909498,0.07109234312252079,10,1
TJK,Tajikistan,Tajikistan,Tropical Cyclones,3.0,3.0,0.0,3,3
TWN,Taiwan,Taiwan,Tropical Cyclones,10.0,9.954924874791319,0.20746893332762584,10,9
SYR,Syria,Syria,Tropical Cyclones,1.0,1.0,0.0,1,1
CHE,Switzerland,Switzerland,Tropical Cyclones,1.0,1.0,0.0,1,1
SWE,Sweden,Sweden,Tropical Cyclones,1.0,1.003986137100971,0.18936563737846385,10,1
SWZ,eSwatini,eSwatini,Tropical Cyclones,3.0,3.0,0.0,3,3
SUR,Suriname,Suriname,Tropical Cyclones,3.0,3.0,0.14336892712824972,10,1
SDS,South Sudan,South Sudan,Tropical Cyclones,1.0,1.0245636473066506,0.21985413070219426,3,1
SDN,Sudan,Sudan,Tropical Cyclones,1.0,1.0002125448705839,0.04373623966383139,10,1
LKA,Sri Lanka,Sri Lanka,Tropical Cyclones,6.0,6.444009953785994,0.8504262889810913,10,5
ESP,Spain,Spain,Tropical Cyclones,1.0,1.009864094695309,0.2977911212471313,10,1
KOR,South Korea,South Korea,Tropical Cyclones,10.0,9.957934990439771,0.20073750155595554,10,9
ZAF,South Africa,South Africa,Tropical Cyclones,3.0,2.688928310549932,0.7418943489073597,10,1
SOM,Somalia,Somalia,Tropical Cyclones,3.0,2.998403273289756,0.09735509902355677,10,1
