SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Water Condition,5.0,5.7539621816591975,1.2759565975862621,8,5
ZMB,Zambia,Zambia,Water Condition,5.0,4.39181251677152,0.9139322308121277,5,1
YEM,Yemen,Yemen,Water Condition,5.0,6.530932594644506,1.789236872651628,10,3
VNM,Vietnam,Vietnam,Water Condition,5.0,4.378068956389385,1.3751890768778483,8,1
VEN,Venezuela,Venezuela,Water Condition,5.0,3.935867166247498,2.6183172416772327,10,1
VAT,Vatican,Vatican,Water Condition,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Water Condition,5.0,4.292635658914729,0.9242763935921428,5,3
UZB,Uzbekistan,Uzbekistan,Water Condition,8.0,7.508783904089263,1.8443650916730043,10,5
URY,Uruguay,Uruguay,Water Condition,5.0,4.836085801063022,0.7580196505790558,8,3
FSM,Federated States of Micronesia,Federated States of Micronesia,Water Condition,5.0,4.923076923076923,0.2664693550105965,5,4
MHL,Marshall Islands,Marshall Islands,Water Condition,2.0,2.0,0.0,2,2
US1,United States of America,United States of America,Water Condition,5.0,4.3870074860030615,3.0514341945419554,10,1
GB1,United Kingdom,Jersey,Water Condition,10.0,9.857142857142858,0.3499271061118826,10,9
GB1,United Kingdom,Guernsey,Water Condition,10.0,10.0,0.0,10,10
GB1,United Kingdom,Isle of Man,Water Condition,5.0,5.181818181818182,0.4231587892051194,7,5
GB1,United Kingdom,United Kingdom,Water Condition,8.0,6.743038060870157,3.378620473152984,10,1
ARE,United Arab Emirates,United Arab Emirates,Water Condition,8.0,6.758303097962601,1.6081958038327127,10,3
UKR,Ukraine,Ukraine,Water Condition,8.0,7.580533791277593,1.3101605401525882,10,5
UGA,Uganda,Uganda,Water Condition,5.0,5.03990171990172,0.3515916636635884,8,3
TKM,Turkmenistan,Turkmenistan,Water Condition,8.0,7.680203664745877,1.6821288576715463,10,5
TUR,Turkey,Turkey,Water Condition,10.0,8.975830091628104,1.2034539230589079,10,3
TUN,Tunisia,Tunisia,Water Condition,10.0,8.922443448347753,1.6826354811942565,10,5
TTO,Trinidad and Tobago,Trinidad and Tobago,Water Condition,5.0,4.995412844036697,0.06757302689291851,5,4
TON,Tonga,Tonga,Water Condition,3.0,3.0,0.0,3,3
TGO,Togo,Togo,Water Condition,5.0,5.017121891561353,0.2110684489844835,8,5
TLS,East Timor,East Timor,Water Condition,3.0,3.365203761755486,0.7384508094515027,5,3
THA,Thailand,Thailand,Water Condition,5.0,4.412318404538812,1.200547697750856,10,1
TZA,United Republic of Tanzania,United Republic of Tanzania,Water Condition,5.0,4.53601394248724,0.8541483606138371,8,1
