SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Water Scarcity,5.0,4.818778008525522,1.379056291499603,7,2
ZMB,Zambia,Zambia,Water Scarcity,3.0,3.1136289096275975,0.7965824956049187,5,1
YEM,Yemen,Yemen,Water Scarcity,7.0,7.343684696505807,0.8523004106557341,10,5
VNM,Vietnam,Vietnam,Water Scarcity,3.0,3.5279597644100322,1.4287836106345557,10,1
VEN,Venezuela,Venezuela,Water Scarcity,2.0,2.1825950828927785,1.5211543267155425,10,1
VAT,Vatican,Vatican,Water Scarcity,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Water Scarcity,2.0,2.7693798449612403,1.0670870673034032,10,1
UZB,Uzbekistan,Uzbekistan,Water Scarcity,8.0,7.640156685856727,1.4818880005572554,10,4
URY,Uruguay,Uruguay,Water Scarcity,2.0,2.031036446469248,0.36202248180918867,10,1
FSM,Federated States of Micronesia,Federated States of Micronesia,Water Scarcity,5.0,5.0,0.0,5,5
MHL,Marshall Islands,Marshall Islands,Water Scarcity,5.0,6.25,2.165063509461097,10,5
US1,United States of America,United States of America,Water Scarcity,2.0,3.101057178583608,2.2618049315968203,10,1
GB1,United Kingdom,Jersey,Water Scarcity,3.0,3.2142857142857144,0.7726181304565691,4,1
GB1,United Kingdom,Guernsey,Water Scarcity,3.5,3.5,0.5,4,3
GB1,United Kingdom,Isle of Man,Water Scarcity,3.0,2.9696969696969697,0.2443108408575318,3,1
GB1,United Kingdom,United Kingdom,Water Scarcity,2.0,1.907673452713284,0.9948052312946941,10,1
ARE,United Arab Emirates,United Arab Emirates,Water Scarcity,8.0,8.177783979905108,0.6781448493715209,10,5
UKR,Ukraine,Ukraine,Water Scarcity,4.0,4.31721584200923,1.2373636737466627,10,1
UGA,Uganda,Uganda,Water Scarcity,5.0,5.086879606879607,0.8749418191969671,7,2
TKM,Turkmenistan,Turkmenistan,Water Scarcity,8.0,8.058934723619622,1.0012200121990817,10,5
TUR,Turkey,Turkey,Water Scarcity,6.0,6.279106211168673,1.5279794408324583,10,1
TUN,Tunisia,Tunisia,Water Scarcity,8.0,7.667987073908058,0.8272903621537826,10,5
TTO,Trinidad and Tobago,Trinidad and Tobago,Water Scarcity,5.0,5.022935779816514,0.33786513446459254,10,5
TON,Tonga,Tonga,Water Scarcity,10.0,10.0,0.0,10,10
TGO,Togo,Togo,Water Scarcity,4.0,4.487566245413779,0.5151083740040212,7,1
TLS,East Timor,East Timor,Water Scarcity,1.0,1.1442006269592477,0.5263191254531692,4,1
THA,Thailand,Thailand,Water Scarcity,6.0,5.423450528668443,1.6561424341031914,10,1
TZA,United Republic of Tanzania,United Republic of Tanzania,Water Scarcity,3.0,2.918859703722146,1.1510425215664877,10,1
TJK,Tajikistan,Tajikistan,Water Scarcity,6.0,6.235777367015815,1.2758179961848655,9,4
TWN,Taiwan,Taiwan,Water Scarcity,2.0,2.456872565386756,0.7823553695199743,10,1
SYR,Syria,Syria,Water Scarcity,8.0,7.941409274713929,1.166478795133389,10,5
CHE,Switzerland,Switzerland,Water Scarcity,3.0,2.8561384532179557,0.6854482328456982,4,2
SWE,Sweden,Sweden,Water Scarcity,1.0,1.4774395712688095,0.712160547508164,10,1
SWZ,eSwatini,eSwatini,Water Scarcity,4.0,4.0790960451977405,0.2698886081920042,5,4
SUR,Suriname,Suriname,Water Scarcity,1.0,1.4298531810766721,0.6280990855870826,10,1
SDS,South Sudan,South Sudan,Water Scarcity,6.0,5.90103069515498,1.0193473672067463,9,2
SDN,Sudan,Sudan,Water Scarcity,8.0,7.543182032873607,1.2403894830420346,10,2
LKA,Sri Lanka,Sri Lanka,Water Scarcity,4.0,4.576253110558123,1.204756202395847,10,1
ESP,Spain,Spain,Water Scarcity,8.0,7.217284085927225,1.7874272992898266,10,1
KOR,South Korea,South Korea,Water Scarcity,4.0,3.6108986615678775,0.792111213103486,10,1
ZAF,South Africa,South Africa,Water Scarcity,7.0,6.310848079187847,1.4317099815839376,10,1
SOM,Somalia,Somalia,Water Scarcity,7.0,6.905992714934385,1.1627866375992764,10,3
SOL,Somaliland,Somaliland,Water Scarcity,7.0,7.209969788519637,0.8056000945927096,10,1
SLB,Solomon Islands,Solomon Islands,Water Scarcity,2.0,1.9501359927470534,0.9311071601106541,10,1
SVK,Slovakia,Slovakia,Water Scarcity,3.0,2.779642780288358,0.8223207182594742,4,1
SVN,Slovenia,Slovenia,Water Scarcity,2.0,1.8741496598639455,0.39127475289168767,10,1
SGP,Singapore,Singapore,Water Scarcity,3.0,3.0,0.0,3,3
SLE,Sierra Leone,Sierra Leone,Water Scarcity,3.0,2.9610894941634243,0.2998760764907649,10,1
SYC,Seychelles,Seychelles,Water Scarcity,10.0,10.0,0.0,10,10
SRB,Republic of Serbia,Republic of Serbia,Water Scarcity,2.0,2.3477229601518026,0.7953411556448329,6,1
SEN,Senegal,Senegal,Water Scarcity,7.0,6.291037146427354,1.124750863188478,10,1
SAU,Saudi Arabia,Saudi Arabia,Water Scarcity,7.0,7.397169316791892,0.899476049063995,10,4
STP,São Tomé and Principe,São Tomé and Principe,Water Scarcity,4.0,3.577777777777778,0.6142344427149001,4,1
SMR,San Marino,San Marino,Water Scarcity,5.0,5.0,0.0,5,5
WSM,Samoa,Samoa,Water Scarcity,10.0,10.0,0.0,10,10
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Water Scarcity,4.0,3.857142857142857,0.3499271061118826,4,3
LCA,Saint Lucia,Saint Lucia,Water Scarcity,4.0,3.7916666666666665,0.4061164310337068,4,3
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,Water Scarcity,5.0,5.0,0.0,5,5
RWA,Rwanda,Rwanda,Water Scarcity,3.0,2.896713615023474,0.8756692934041226,4,1
RUS,Russia,Russia,Water Scarcity,2.0,2.289668344898224,1.2964178941378048,10,1
ROU,Romania,Romania,Water Scarcity,3.0,3.199548155788026,0.8078562919056557,5,1
QAT,Qatar,Qatar,Water Scarcity,9.0,8.943562610229277,0.32036686291808225,10,7
PRT,Portugal,Portugal,Water Scarcity,6.0,6.4184884447220485,1.0771642340101848,10,4
POL,Poland,Poland,Water Scarcity,2.0,2.7251113985913467,1.002792065865723,10,1
PHL,Philippines,Philippines,Water Scarcity,2.0,2.4953725490196077,1.0429681242809157,10,1
PER,Peru,Peru,Water Scarcity,3.0,3.606489822858876,1.9912780500710214,10,1
PRY,Paraguay,Paraguay,Water Scarcity,2.0,2.8287292817679557,1.6399392200462624,7,1
PNG,Papua New Guinea,Papua New Guinea,Water Scarcity,1.0,1.571762078765733,0.7896550104681878,10,1
PAN,Panama,Panama,Water Scarcity,3.0,2.59640831758034,0.886074983709062,10,1
PLW,Palau,Palau,Water Scarcity,5.0,5.3125,1.2103072956898178,10,5
PAK,Pakistan,Pakistan,Water Scarcity,7.0,6.299105501776743,1.8231297943056992,10,2
OMN,Oman,Oman,Water Scarcity,7.0,6.952129084092126,1.0799820806530664,10,5
NOR,Norway,Norway,Water Scarcity,1.0,2.064094922584312,1.667699307087766,10,1
PRK,North Korea,North Korea,Water Scarcity,2.0,2.558626179915842,1.2717807034446624,10,1
NGA,Nigeria,Nigeria,Water Scarcity,5.0,5.000813648961326,1.6222973246311179,9,1
NER,Niger,Niger,Water Scarcity,8.0,7.450881750329285,0.8055733607507972,9,5
NIC,Nicaragua,Nicaragua,Water Scarcity,3.0,3.0745036021788787,0.7012314985779042,10,1
NZ1,New Zealand,New Zealand,Water Scarcity,2.0,2.105455623641036,1.0748558815016636,10,1
NL1,Netherlands,Netherlands,Water Scarcity,3.0,3.7564754296780443,1.7299541303778418,10,1
NL1,Netherlands,Aruba,Water Scarcity,5.0,5.0,0.0,5,5
NL1,Netherlands,Curaçao,Water Scarcity,5.0,5.0,0.0,5,5
NPL,Nepal,Nepal,Water Scarcity,5.0,5.269869215291751,1.929623868175814,9,1
NRU,Nauru,Nauru,Water Scarcity,5.0,5.0,0.0,5,5
NAM,Namibia,Namibia,Water Scarcity,6.0,6.250828838636251,0.9886422306318249,10,2
MOZ,Mozambique,Mozambique,Water Scarcity,3.0,3.562857690517265,1.5897224969923074,10,1
MAR,Morocco,Morocco,Water Scarcity,8.0,7.47104875353064,0.9657924702654157,10,1
SAH,Western Sahara,Western Sahara,Water Scarcity,7.0,7.4448073154800785,0.5064914243264345,8,5
MNE,Montenegro,Montenegro,Water Scarcity,1.0,1.4007525870178739,0.6144079115525366,3,1
MNG,Mongolia,Mongolia,Water Scarcity,5.0,5.358804793395512,1.459352980607332,8,1
MDA,Moldova,Moldova,Water Scarcity,4.0,3.9072781655034894,0.983940607304315,5,2
MCO,Monaco,Monaco,Water Scarcity,4.0,4.0,0.0,4,4
MEX,Mexico,Mexico,Water Scarcity,6.0,5.865319015804452,1.89357051402481,10,1
MUS,Mauritius,Mauritius,Water Scarcity,10.0,10.0,0.0,10,10
MRT,Mauritania,Mauritania,Water Scarcity,8.0,7.665307358433431,0.5303759909182946,8,5
MLT,Malta,Malta,Water Scarcity,8.0,8.0,0.0,8,8
MLI,Mali,Mali,Water Scarcity,7.0,6.420268641294989,1.290253990859877,9,2
MDV,Maldives,Maldives,Water Scarcity,10.0,10.0,0.0,10,10
MYS,Malaysia,Malaysia,Water Scarcity,1.0,1.5470891031682739,0.8023593872745445,10,1
MWI,Malawi,Malawi,Water Scarcity,3.0,2.943374858437146,0.6324275462616303,5,2
MDG,Madagascar,Madagascar,Water Scarcity,3.0,3.1120373339033165,1.219266366674443,10,1
MKD,North Macedonia,North Macedonia,Water Scarcity,5.0,4.972617166929963,0.8859609767849003,7,2
LUX,Luxembourg,Luxembourg,Water Scarcity,4.0,3.8620689655172415,0.3448275862068966,4,3
LTU,Lithuania,Lithuania,Water Scarcity,3.0,2.6592078497068328,0.8922722730520745,10,1
LIE,Liechtenstein,Liechtenstein,Water Scarcity,2.0,2.090909090909091,0.28747978728803447,3,2
LBY,Libya,Libya,Water Scarcity,8.0,8.01657118287567,0.9648052851126724,10,5
LBR,Liberia,Liberia,Water Scarcity,2.0,1.9334811529933482,0.3254954005880004,3,1
LSO,Lesotho,Lesotho,Water Scarcity,4.0,4.047475961538462,0.6610967536536412,6,2
LBN,Lebanon,Lebanon,Water Scarcity,9.0,9.105090311986864,0.30666975448088674,10,9
LVA,Latvia,Latvia,Water Scarcity,2.0,2.15206042430301,0.954410613954968,10,1
LAO,Laos,Laos,Water Scarcity,3.0,3.465510777881912,0.7324841842998031,6,2
KGZ,Kyrgyzstan,Kyrgyzstan,Water Scarcity,6.0,5.91542556776063,1.4711287841052916,10,2
KWT,Kuwait,Kuwait,Water Scarcity,9.0,8.517133956386292,0.4997063413031223,9,8
KIR,Kiribati,Kiribati,Water Scarcity,10.0,8.536585365853659,2.27497050075337,10,5
KEN,Kenya,Kenya,Water Scarcity,4.0,4.073338150289017,1.2071660895932088,7,2
JOR,Jordan,Jordan,Water Scarcity,9.0,8.809701492537313,0.6886181539531048,10,7
JPN,Japan,Japan,Water Scarcity,2.0,1.7882125914609632,0.7885340566541891,10,1
JAM,Jamaica,Jamaica,Water Scarcity,4.0,3.899408284023669,0.3549309527684929,4,1
ITA,Italy,Italy,Water Scarcity,5.0,5.099548090040928,1.9447580048815643,10,1
IS1,Israel,Palestine,Water Scarcity,10.0,9.740540540540541,0.5860815640402075,10,8
IRL,Ireland,Ireland,Water Scarcity,1.0,1.171072319201995,0.44627703199206736,10,1
IRQ,Iraq,Iraq,Water Scarcity,7.0,7.095672156261968,1.1564849037405385,10,4
IRN,Iran,Iran,Water Scarcity,8.0,7.713192560015803,1.0743065754122647,10,4
IDN,Indonesia,Indonesia,Water Scarcity,1.0,1.713536707671605,1.299677534673025,10,1
IND,India,India,Water Scarcity,7.0,6.41623317645116,1.8031811829189535,10,1
ISL,Iceland,Iceland,Water Scarcity,2.0,1.8552526231511526,0.9919781226756903,10,1
HUN,Hungary,Hungary,Water Scarcity,3.0,2.6268833788112467,0.7345149333088418,4,1
HND,Honduras,Honduras,Water Scarcity,2.0,2.5519607843137253,0.8072259921383222,10,1
HTI,Haiti,Haiti,Water Scarcity,4.0,3.875796178343949,0.45726983683560685,4,1
GUY,Guyana,Guyana,Water Scarcity,2.0,2.176923936110801,0.8948861555824846,10,1
GNB,Guinea-Bissau,Guinea-Bissau,Water Scarcity,4.0,3.8384341637010677,0.43374111631924683,5,1
GIN,Guinea,Guinea,Water Scarcity,3.0,3.266962347834293,0.9001149894549381,10,1
GTM,Guatemala,Guatemala,Water Scarcity,2.0,2.36106590724166,0.9569781414808718,5,1
GRD,Grenada,Grenada,Water Scarcity,4.0,3.6153846153846154,0.48650425541051995,4,3
GRC,Greece,Greece,Water Scarcity,7.0,6.58968411751712,1.3041317027762214,10,1
GHA,Ghana,Ghana,Water Scarcity,5.0,5.290593286494926,0.7639295312588222,10,1
DEU,Germany,Germany,Water Scarcity,4.0,3.5547789851250133,1.0272839802052147,10,1
GEO,Georgia,Georgia,Water Scarcity,4.0,4.50274673233567,1.8900297809579516,10,1
