SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
ZWE,Zimbabwe,Zimbabwe,Wildfire Hazard,10.0,9.42425401683244,0.8936054901742783,10,8
ZMB,Zambia,Zambia,Wildfire Hazard,9.0,8.97790631801783,0.9883580740642994,10,7
YEM,Yemen,Yemen,Wildfire Hazard,1.0,2.4004956990814987,2.8248038322452955,10,1
VNM,Vietnam,Vietnam,Wildfire Hazard,6.0,6.5830189927867115,1.1642208309324713,10,1
VEN,Venezuela,Venezuela,Wildfire Hazard,6.0,5.930811476671971,2.0834208160865204,10,1
VAT,Vatican,Vatican,Wildfire Hazard,--,--,--,--,--
VUT,Vanuatu,Vanuatu,Wildfire Hazard,1.0,1.0348837209302326,0.5592285886702814,10,1
UZB,Uzbekistan,Uzbekistan,Wildfire Hazard,1.0,4.495311294438839,3.9270370828400174,10,1
URY,Uruguay,Uruguay,Wildfire Hazard,8.0,7.359908883826879,0.9305427377001304,10,5
FSM,Federated States of Micronesia,Federated States of Micronesia,Wildfire Hazard,1.0,1.0,0.0,1,1
MHL,Marshall Islands,Marshall Islands,Wildfire Hazard,1.0,3.25,3.897114317029974,10,1
US1,United States of America,United States of America,Wildfire Hazard,6.0,5.585979774658395,3.222587810700737,10,1
GB1,United Kingdom,Jersey,Wildfire Hazard,6.0,5.714285714285714,0.45175395145262565,6,5
GB1,United Kingdom,Guernsey,Wildfire Hazard,6.0,6.0,0.0,6,6
GB1,United Kingdom,Isle of Man,Wildfire Hazard,1.0,1.0,0.0,1,1
GB1,United Kingdom,United Kingdom,Wildfire Hazard,3.0,3.79515898413563,1.7961443124690226,10,1
ARE,United Arab Emirates,United Arab Emirates,Wildfire Hazard,1.0,1.015071169411108,0.3679855765550516,10,1
UKR,Ukraine,Ukraine,Wildfire Hazard,8.0,7.622589531680441,0.8000236340847462,10,5
UGA,Uganda,Uganda,Wildfire Hazard,8.0,7.870466830466831,1.908297549222623,10,1
TKM,Turkmenistan,Turkmenistan,Wildfire Hazard,1.0,4.3404981859203025,3.8025736463818656,10,1
TUR,Turkey,Turkey,Wildfire Hazard,8.0,7.98694714330488,0.7416224412622284,10,1
TUN,Tunisia,Tunisia,Wildfire Hazard,3.0,4.770353382674867,3.9335018797040147,10,1
TTO,Trinidad and Tobago,Trinidad and Tobago,Wildfire Hazard,1.0,1.0412844036697249,0.6081572420362666,10,1
TON,Tonga,Tonga,Wildfire Hazard,10.0,10.0,0.0,10,10
TGO,Togo,Togo,Wildfire Hazard,8.0,8.746840603342845,1.1150287170377986,10,1
TLS,East Timor,East Timor,Wildfire Hazard,6.0,6.241379310344827,0.7906463232538044,8,3
THA,Thailand,Thailand,Wildfire Hazard,8.0,7.0278518009112005,1.4886018130221137,10,1
TZA,United Republic of Tanzania,United Republic of Tanzania,Wildfire Hazard,8.0,7.668542263164447,1.1988240965537793,10,1
TJK,Tajikistan,Tajikistan,Wildfire Hazard,8.0,8.106181967549805,0.893727017424919,10,6
TWN,Taiwan,Taiwan,Wildfire Hazard,3.0,2.8152476349471343,1.972355158661586,10,1
SYR,Syria,Syria,Wildfire Hazard,4.0,5.044308698270671,3.9225288472990263,10,1
CHE,Switzerland,Switzerland,Wildfire Hazard,3.0,2.9177934018388316,1.2220934872832308,6,1
SWE,Sweden,Sweden,Wildfire Hazard,1.0,1.6495853310154684,1.069410367701821,10,1
SWZ,eSwatini,eSwatini,Wildfire Hazard,8.0,8.614689265536724,0.8827339654315898,10,8
SUR,Suriname,Suriname,Wildfire Hazard,6.0,5.323491027732463,1.2490464416417428,10,1
SDS,South Sudan,South Sudan,Wildfire Hazard,10.0,9.893921155582305,0.4370059292132638,10,8
SDN,Sudan,Sudan,Wildfire Hazard,6.0,5.447454184772341,4.359316333958377,10,1
LKA,Sri Lanka,Sri Lanka,Wildfire Hazard,8.0,7.61215783860647,0.788709927299274,10,5
ESP,Spain,Spain,Wildfire Hazard,8.0,7.799293073213503,1.3653067095925604,10,1
KOR,South Korea,South Korea,Wildfire Hazard,6.0,5.634321223709369,1.1662181971788157,10,1
ZAF,South Africa,South Africa,Wildfire Hazard,10.0,9.549365692222835,1.0068767850667022,10,1
SOM,Somalia,Somalia,Wildfire Hazard,8.0,8.669876752657053,1.3734366592065343,10,1
SOL,Somaliland,Somaliland,Wildfire Hazard,10.0,9.020461411700083,2.153985315545309,10,1
